psid	IMAGE_ID	Representative ID	Gene Symbol
215446_s_at	306812	L16895	---
216899_s_at	884333	AC_003999	---
217014_s_at	1456160	AC_004522	---
217293_at	415769	AF209975	---
201042_at	199945	AL031651	---
209122_at	435036	BC005127	ADFP
212285_s_at	810801	AW008051	AGRN
217419_x_at	810801	AK021586	AGRN
222108_at	253884	AC_004010	AMIGO2
205609_at	415769	NM_001146	ANGPT1
205608_s_at	415769	U83508	ANGPT1
213553_x_at	1472689	W79394	APOC1
220416_at	145643	NM_024837	ATP8B4
210347_s_at	1584563	AF080216	BCL11A
204950_at	683276	NM_014959	CARD8
213539_at	377560	NM_000732	CD3D
218062_x_at	321488	NM_012121	CDC42EP4
214721_x_at	321488	AL162074	CDC42EP4
202468_s_at	744647	NM_003798	CTNNAL1
212013_at	345601	D86983	D2S448
212012_at	345601	BF342851	D2S448
203139_at	2043415	NM_004938	DAPK1
209560_s_at	436121	U15979	DLK1
33768_at	1610168	L19267	DMWD
219452_at	786302	NM_022355	DPEP2
204642_at	26418	NM_001400	EDG1
220386_s_at	1558053	NM_019063	EML4
207111_at	66507	NM_001974	EMR1
211535_s_at	154472	M60485	FGFR1
202949_s_at	1606557	NM_001450	FHL2
219008_at	1492248	NM_021925	FLJ21820
222193_at	1492248	AK021672	FLJ21820
219218_at	297908	NM_024696	FLJ23058
206674_at	2542486	NM_004119	FLT3
202724_s_at	502360	NM_002015	FOXO1A
202723_s_at	502360	AW117498	FOXO1A
221942_s_at	2551468	AI719730	GUCY1A3
202947_s_at	344720	NM_002101	GYPC
213150_at	1592006	BF792917	HOXA10
213147_at	1592006	AI375919	HOXA10
206289_at	785930	NM_002141	HOXA4
205453_at	1526826	NM_002145	HOXB2
205600_x_at	150702	AI052747	HOXB5
205601_s_at	150702	NM_002147	HOXB5
202411_at	588915	NM_005532	IFI27
204864_s_at	2018581	NM_002184	IL6ST
33304_at	491751	U88964	ISG20
204698_at	491751	NM_002201	ISG20
204989_s_at	526134	BF305661	ITGB4
202860_at	347035	NM_014856	KIAA0476
212573_at	1534700	AF131747	KIAA0830
212570_at	1534700	AL573201	KIAA0830
212771_at	950479	AU150943	LOC221061
209679_s_at	68794	BC003379	LOC57228
204777_s_at	667482	NM_002371	MAL
202890_at	144834	AW242297	MAP7
214696_at	809533	AF070569	MGC14376
209191_at	2307420	BC002654	MGC4083
37005_at	898305	D28124	NBL1
209239_at	789357	M55643	NFKB1
202760_s_at	262695	NM_007203	PALM2
202759_s_at	262695	BE879367	PALM2
204082_at	448386	NM_006195	PBX3
220558_x_at	243614	NM_005705	PHEMX
212740_at	856174	BF740111	PIK3R4
211743_s_at	2555187	BC005929	PRG2
201934_at	428782	N92524	PRO2730
209324_s_at	565083	BF304996	RGS16
206298_at	1507723	NM_021226	RhoGAP2
204351_at	135221	NM_005980	S100P
204361_s_at	884333	AB014486	SCAP2
204362_at	884333	NM_003930	SCAP2
214433_s_at	80338	NM_003944	SELENBP1
35666_at	2488265	U38276	SEMA3F
201249_at	25389	AI091047	SLC2A1
201250_s_at	25389	NM_006516	SLC2A1
210854_x_at	488505	U17986	SLC6A8
213843_x_at	488505	AW276522	SLC6A8
202219_at	488505	NM_005629	SLC6A8
201195_s_at	755578	AB018009	SLC7A5
204955_at	785933	NM_006307	SRPX
208130_s_at	1574001	NM_030984	TBXAS1
212386_at	1603442	BF592782	TCF4
212387_at	1603442	BG495771	TCF4
212382_at	1603442	BF433429	TCF4
202242_at	307471	NM_004615	TM4SF2
202478_at	380462	NM_021643	TRB2
204141_at	2307420	NM_001069	TUBB
208977_x_at	2307420	BC004188	TUBB2
202154_x_at	2307420	NM_006086	TUBB4
204881_s_at	302540	NM_003358	UGCG
208623_s_at	755145	J05021	VIL2
208622_s_at	755145	AA670344	VIL2
