Gene Name	Gene ID	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)	Gene
204082_at	NM_006195	8.99	1645.77	183.09	4.70311	0.66	PBX3
214651_s_at	U41813	8.27	3785.53	457.58	7.10255	0.66	HOXA9
206847_s_at	AF026397	8.14	342.03	42	6.58511	0.66	HOXA7
213150_at	NM_018951	6.89	1240.12	180	5.3711	0.66	HOXA10
213844_at	NM_019102	6.3	3447.5	547.13	6.65044	0.66	HOXA5
205745_x_at	NM_003183	5.83	268.35	46	2.10421	0.66	ADAM17
209905_at	AI246769	5.81	2658.71	457.53	7.37015	0.66	HOXA9
213147_at	NM_018951	5.56	1285.39	231.34	4.22186	0.66	HOXA10
205453_at	NM_002145	5.43	1723.03	317.24	6.31372	0.66	HOXB2
216417_x_at	X16172	5.15	96.44	18.72	3.0446	0.66	
205382_s_at	NM_001928	5.14	7631.45	1485.89	3.258	0.66	DF
206289_at	NM_002141	5.08	353.37	69.54	4.15369	0.66	HOXA4
204069_at	NM_002398	4.98	1618.06	325.02	15.74985	0.66	MEIS1
203955_at	NM_014811	4.92	248.3	50.5	4.12327	0.66	KIAA0649
213110_s_at	AW052179	4.83	752.43	155.63	16.79413	0.66	COL4A5
219229_at	NM_013272	4.7	157.87	33.58	2.182	0.66	SLCO3A1
213532_at	AI797833	4.68	524.88	112.18	2.0937	0.66	LOC285148
205601_s_at	NM_002147	4.64	411.48	88.75	2.51111	0.66	HOXB5
205600_x_at	AI052747	4.59	406.11	88.54	2.29092	0.66	HOXB5
218409_s_at	NM_022365	4.57	392.27	85.9	2.03155	0.66	DNAJC1
205801_s_at	NM_015376	4.53	631.21	139.37	23.09343	0.66	
205366_s_at	NM_018952	4.37	802.94	183.79	6.93148	0.66	HOXB6
205780_at	NM_001197	4.36	638.3	146.34	5.48591	0.66	BIK
217963_s_at	NM_014380	4.14	3721.53	898.07	6.47896	0.66	NGFRAP1
217975_at	NM_016303	4.13	476.93	115.43	7.19951	0.66	WBP5
217940_s_at	NM_018210	4.11	332.16	80.88	2.16278	0.66	FLJ10769
208557_at	NM_024014	4.06	238.77	58.88	3.23779	0.66	HOXA6
213858_at	BE350026	4.04	68.7	17	2.74227	0.66	ZNF647
218601_at	NM_017920	4.03	184.42	45.72	2.3692	0.66	URG4
205624_at	NM_001870	3.95	5407.15	1370.11	12.60232	1.21	CPA3
202252_at	NM_002870	3.92	1426.41	363.51	2.56752	1.21	RAB13
206298_at	NM_021226	3.85	417.4	108.33	14.09293	1.21	ARHGAP22
204751_x_at	NM_004949	3.83	183.22	47.83	6.51859	1.57	DSC2
218404_at	NM_013322	3.81	618.61	162.19	2.50943	1.57	SNX10
218280_x_at	NM_003516	3.81	8379.93	2197.62	2.54512	1.57	HIST2H2AA
