Probe Set ID	Symbol	Description	Map	Fold Change	P
831_at	DDX10	DEAD/H (Asp-Glu-Ala-Asp=His) box polypeptide 10 (RNA helicase)	11q22-q23	0.59	1.46E-08
34361_at	PCSK7	proprotein convertase subtilisin/kexin type 7	11q23-q24	0.52	2.22E-06
1863_s_at	ATM	ataxia telangioctasia mulated (includes complementation groups A, C, and D)	11q22-q23	0.64	3.57E-06
40516_at	AHR	aryl hydrocarbon receptor	7p15	0.58	4.16E-05
41628_at	FUT8	fucosyltransferase 8 (alpha (1.6) fucosyltransferase)	14q24.3	0.52	4.59E-05
39966_at	CSPG5	chondroitin sulfate proteoglycan 5 (neuroglycan C)	3p21.3	0.71	4.66E-05
34554_at	GLRA2	gylcine receptor, alpha 2	Xp22.1-p21.3	0.55	4.77E-05
129_g_at	CTSK	cathepsin K (pycnodysostosis)	1q21	0.54	5.35E-05
36906_at	CNR1	cannabinoid receptor 1 (brain)	6q14-q15	2.86	7.19E-05
724_at	ADRBK2	BETA-ADRENERGIC RECEPTOR KINASE 2	22q12	0.67	1.70E-04
31383_at	NA	NA	6p22	0.64	2.20E-04
34936_at	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	3p22	0.67	2.34E-04
41177_at	FLJ12443	hypothetical protein FLJ12443	5p15.3	0.62	3.13E-04
40530_at		DKFZp434E033	4p14	1.51	3.92E-04
36579_at	UBE4A	ubiquitination factor E4A Formularende	11q23-q24	0.72	3.95E-04
32612_at	GSN	gelsolin (amyloidosis, Finnish type)	9q33	0.63	4.40E-04
36578_at	BIRC2	baculoviral IAP repeat-containing 2	11q22	0.73	5.51E-04
574_s_at	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	11q23	0.57	5.75E-04
41716_at	KIAA0856	KIAA0856 protein	15	0.68	6.04E-04
41556_s_at	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	4p16	1.85	6.89E-04
40506_s_at	PABPC	poly(A)-binding protein, cytoplasmic 4 (inducible form)	1p32-p36	0.78	7.29E-04
1094_g_at	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	11q23	0.64	7.55E-04
37685_at	PICALM	phosphatidylinositol binding clathrin assembly protein	11q14	0.75	7.72E-04
34808_at	KIAA0999	KIAA0999 protein	11q23	0.78	8.49E-04
32819_at	H2BFA	H2B histone family, member A	6p21.3	1.65	8.59E-04
32251_at	FLJ21174	hypothetical protein FLJ21174	X	1.36	8.87E-04
417_at	PRKCE	protein kinase C, epsilon	2	2.4	9.01E-04
