Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with 5q- and normal
224104_at	PRO0753	5	present at least in one case	present at least in one case
238030_at	ZNF268	5	present at least in one case	present at least in one case
209989_at	ZNF268	5	present at least in one case	present at least in one case
220866_at	ADAMTS6	5pter-qter	present at least in one case	present at least in one case
201330_at	RARS	5pter-q11	present at least in one case	present at least in one case
229416_at	CRR9	5pter-p15.3	present at least in one case	present at least in one case
226935_s_at	CRR9	5pter-p15.3	present at least in one case	present at least in one case
223020_at	CRR9	5pter-p15.3	present at least in one case	present at least in one case
203415_at	PDCD6	5pter-p15.2	present at least in one case	present at least in one case
219200_at	MGC5297	5p15.3-p15.2	present at least in one case	present at least in one case
203199_s_at	MTRR	5p15.3-p15.2	present at least in one case	present at least in one case
203200_s_at	MTRR	5p15.3-p15.2	present at least in one case	present at least in one case
228847_at	DKFZP564I1171	5p15.33	present at least in one case	present at least in one case
225458_at	DKFZP564I1171	5p15.33	present at least in one case	present at least in one case
225457_s_at	DKFZP564I1171	5p15.33	present at least in one case	present at least in one case
219531_at	FLJ10565	5p15.33	present at least in one case	present at least in one case
227008_at	FLJ12443	5p15.33	present at least in one case	present at least in one case
201818_at	FLJ12443	5p15.33	present at least in one case	present at least in one case
220155_s_at	FLJ13441	5p15.33	present at least in one case	present at least in one case
220837_at	FLJ20413	5p15.33	absent in all cases	absent in all cases
236255_at	KIAA1909	5p15.33	present at least in one case	absent in all cases
230441_at	KIAA1909	5p15.33	present at least in one case	present at least in one case
235219_at	LOC116349	5p15.33	present at least in one case	present at least in one case
226515_at	LOC133957	5p15.33	present at least in one case	present at least in one case
203606_at	NDUFS6	5p15.33	present at least in one case	present at least in one case
212630_at	SEC6	5p15.33	present at least in one case	present at least in one case
207199_at	TERT	5p15.33	present at least in one case	present at least in one case
204033_at	TRIP13	5p15.33	present at least in one case	present at least in one case
232417_x_at	ZDHHC11	5p15.33	absent in all cases	absent in all cases
221646_s_at	ZDHHC11	5p15.33	present at least in one case	present at least in one case
223076_s_at	FLJ20303	5p15.32	present at least in one case	present at least in one case
209654_at	KIAA0947	5p15.32	present at least in one case	present at least in one case
223247_at	MGC5309	5p15.32	present at least in one case	present at least in one case
213219_at	ADCY2	5p15.3	absent in all cases	absent in all cases
217688_at	ADCY2	5p15.3	absent in all cases	absent in all cases
217687_at	ADCY2	5p15.3	present at least in one case	present at least in one case
213217_at	ADCY2	5p15.3	present at least in one case	present at least in one case
229354_at	AHRR	5p15.3	present at least in one case	present at least in one case
230472_at	IRX1	5p15.3	present at least in one case	present at least in one case
220225_at	IRX4	5p15.3	absent in all cases	absent in all cases
224331_s_at	MRPL36	5p15.3	present at least in one case	present at least in one case
232201_at	NKD2	5p15.3	present at least in one case	present at least in one case
230197_s_at	p25	5p15.3	absent in all cases	absent in all cases
206179_s_at	p25	5p15.3	present at least in one case	present at least in one case
227643_at	p25	5p15.3	present at least in one case	present at least in one case
230104_s_at	p25	5p15.3	present at least in one case	present at least in one case
206836_at	SLC6A3	5p15.3	absent in all cases	absent in all cases
207212_at	SLC9A3	5p15.3	absent in all cases	absent in all cases
203651_at	ENDOFIN	5p15.2-q14.3	present at least in one case	present at least in one case
222848_at	FKSG14	5p15.2-q12.3	present at least in one case	present at least in one case
206280_at	CDH18	5p15.2-p15.1	absent in all cases	absent in all cases
221630_s_at	DDX4	5p15.2-p13.1	absent in all cases	absent in all cases
210021_s_at	UNG2	5p15.2-p13.1	absent in all cases	absent in all cases
219421_at	OSRF	5p15.2-p12	present at least in one case	present at least in one case
229068_at	CCT5	5p15.2	present at least in one case	present at least in one case
208696_at	CCT5	5p15.2	present at least in one case	present at least in one case
231772_x_at	CENPH	5p15.2	present at least in one case	present at least in one case
209618_at	CTNND2	5p15.2	absent in all cases	absent in all cases
209617_s_at	CTNND2	5p15.2	present at least in one case	present at least in one case
201095_at	DAP	5p15.2	present at least in one case	present at least in one case
243938_x_at	DNAH5	5p15.2	present at least in one case	present at least in one case
232381_s_at	DNAH5	5p15.2	present at least in one case	present at least in one case
219694_at	FLJ11127	5p15.2	present at least in one case	present at least in one case
219842_at	FLJ20051	5p15.2	present at least in one case	absent in all cases
225668_at	LOC134145	5p15.2	absent in all cases	absent in all cases
225670_at	LOC134145	5p15.2	present at least in one case	present at least in one case
227522_at	LOC134147	5p15.2	present at least in one case	present at least in one case
234981_x_at	LOC134147	5p15.2	present at least in one case	present at least in one case
205405_at	SEMA5A	5p15.2	absent in all cases	absent in all cases
215512_at	TEB4	5p15.2	present at least in one case	present at least in one case
201737_s_at	TEB4	5p15.2	present at least in one case	present at least in one case
201736_s_at	TEB4	5p15.2	present at least in one case	present at least in one case
216222_s_at	MYO10	5p15.1-p14.3	absent in all cases	absent in all cases
201976_s_at	MYO10	5p15.1-p14.3	present at least in one case	present at least in one case
228589_at	BASP1	5p15.1-p14	absent in all cases	absent in all cases
202391_at	BASP1	5p15.1-p14	present at least in one case	present at least in one case
205533_s_at	CDH6	5p15.1-p14	absent in all cases	absent in all cases
210602_s_at	CDH6	5p15.1-p14	absent in all cases	absent in all cases
205532_s_at	CDH6	5p15.1-p14	present at least in one case	present at least in one case
210601_at	CDH6	5p15.1-p14	present at least in one case	present at least in one case
221066_at	SALPR	5p15.1-p14	absent in all cases	absent in all cases
209010_s_at	TRIO	5p15.1-p14	present at least in one case	absent in all cases
209013_x_at	TRIO	5p15.1-p14	absent in all cases	absent in all cases
244527_at	TRIO	5p15.1-p14	absent in all cases	absent in all cases
208178_x_at	TRIO	5p15.1-p14	present at least in one case	present at least in one case
209012_at	TRIO	5p15.1-p14	present at least in one case	present at least in one case
209011_at	TRIO	5p15.1-p14	present at least in one case	present at least in one case
220076_at	ANKH	5p15.1	present at least in one case	present at least in one case
223094_s_at	ANKH	5p15.1	present at least in one case	present at least in one case
223093_at	ANKH	5p15.1	present at least in one case	present at least in one case
223092_at	ANKH	5p15.1	present at least in one case	present at least in one case
213249_at	FBXL7	5p15.1	present at least in one case	present at least in one case
213663_s_at	FLJ20152	5p15.1	present at least in one case	present at least in one case
213662_at	FLJ20152	5p15.1	present at least in one case	present at least in one case
218510_x_at	FLJ20152	5p15.1	present at least in one case	present at least in one case
218532_s_at	FLJ20152	5p15.1	present at least in one case	present at least in one case
228382_at	LOC90268	5p15.1	present at least in one case	present at least in one case
225152_at	ZPR9	5p15.1	present at least in one case	present at least in one case
238125_at	ADAMTS16	5p15	absent in all cases	absent in all cases
202466_at	POLS	5p15	present at least in one case	present at least in one case
226693_at	SDHA	5p15	present at least in one case	present at least in one case
230077_at	SDHA	5p15	present at least in one case	present at least in one case
201093_x_at	SDHA	5p15	present at least in one case	present at least in one case
222021_x_at	SDHA	5p15	present at least in one case	present at least in one case
218066_at	SLC12A7	5p15	present at least in one case	present at least in one case
211056_s_at	SRD5A1	5p15	present at least in one case	present at least in one case
210959_s_at	SRD5A1	5p15	present at least in one case	present at least in one case
204675_at	SRD5A1	5p15	present at least in one case	present at least in one case
221324_at	TAS2R1	5p15	absent in all cases	absent in all cases
220115_s_at	CDH10	5p14-p13	present at least in one case	present at least in one case
207149_at	CDH12	5p14-p13	absent in all cases	absent in all cases
205822_s_at	HMGCS1	5p14-p13	present at least in one case	present at least in one case
221750_at	HMGCS1	5p14-p13	present at least in one case	present at least in one case
219790_s_at	NPR3	5p14-p13	present at least in one case	present at least in one case
219789_at	NPR3	5p14-p13	present at least in one case	present at least in one case
210476_s_at	PRLR	5p14-p13	absent in all cases	absent in all cases
216638_s_at	PRLR	5p14-p13	present at least in one case	present at least in one case
211917_s_at	PRLR	5p14-p13	present at least in one case	present at least in one case
206346_at	PRLR	5p14-p13	present at least in one case	present at least in one case
206727_at	C9	5p14-p12	absent in all cases	absent in all cases
217342_x_at	FLJ11292	5p14.3-q13.3	present at least in one case	present at least in one case
220828_s_at	FLJ11292	5p14.3-q13.3	present at least in one case	present at least in one case
215187_at	FLJ11292	5p14.3-q13.3	present at least in one case	present at least in one case
217335_at	FLJ11292	5p14.3-q13.3	present at least in one case	present at least in one case
224421_x_at	PMCHL1	5p14.3	absent in all cases	absent in all cases
224419_x_at	PMCHL1	5p14.3	present at least in one case	present at least in one case
224418_x_at	PMCHL1	5p14.3	present at least in one case	present at least in one case
207729_at	CDH9	5p14	present at least in one case	present at least in one case
221151_at	PRDM9	5p14	absent in all cases	absent in all cases
220988_s_at	C1QTNF3	5p13-p12	present at least in one case	present at least in one case
231762_at	FGF10	5p13-p12	present at least in one case	present at least in one case
205498_at	GHR	5p13-p12	present at least in one case	present at least in one case
205876_at	LIFR	5p13-p12	present at least in one case	present at least in one case
202052_s_at	RAI14	5p13.3-p13.2	absent in all cases	absent in all cases
220953_s_at	3PAP	5p13.3	present at least in one case	present at least in one case
225232_at	3PAP	5p13.3	present at least in one case	present at least in one case
203738_at	FLJ11193	5p13.3	present at least in one case	present at least in one case
219054_at	FLJ14054	5p13.3	present at least in one case	present at least in one case
217803_at	GOLPH3	5p13.3	present at least in one case	present at least in one case
236124_at	LOC153546	5p13.3	present at least in one case	present at least in one case
224587_at	PC4	5p13.3	present at least in one case	present at least in one case
221727_at	PC4	5p13.3	present at least in one case	present at least in one case
214512_s_at	PC4	5p13.3	present at least in one case	present at least in one case
224586_x_at	PC4	5p13.3	present at least in one case	present at least in one case
212857_x_at	PC4	5p13.3	present at least in one case	present at least in one case
209493_at	PDZK3	5p13.3	present at least in one case	present at least in one case
207744_at	PRO0255	5p13.3	present at least in one case	present at least in one case
218269_at	RNASE3L	5p13.3	present at least in one case	present at least in one case
33148_at	ZFR	5p13.3	present at least in one case	present at least in one case
213286_at	ZFR	5p13.3	present at least in one case	present at least in one case
201856_s_at	ZFR	5p13.3	present at least in one case	present at least in one case
201857_at	ZFR	5p13.3	present at least in one case	present at least in one case
217113_at	AMACR	5p13.2-q11.1	absent in all cases	absent in all cases
217111_at	AMACR	5p13.2-q11.1	present at least in one case	present at least in one case
209424_s_at	AMACR	5p13.2-q11.1	present at least in one case	present at least in one case
209425_at	AMACR	5p13.2-q11.1	present at least in one case	present at least in one case
209426_s_at	AMACR	5p13.2-q11.1	present at least in one case	present at least in one case
239298_at	BRIX	5p13.2	absent in all cases	absent in all cases
219177_at	BRIX	5p13.2	present at least in one case	present at least in one case
238978_at	DKFZp434H2226	5p13.2	present at least in one case	present at least in one case
232893_at	DKFZp434H2226	5p13.2	present at least in one case	present at least in one case
232745_x_at	FLJ23577	5p13.2	present at least in one case	present at least in one case
239620_at	FLJ25439	5p13.2	absent in all cases	absent in all cases
229299_at	FLJ30596	5p13.2	present at least in one case	present at least in one case
226946_at	FLJ30596	5p13.2	present at least in one case	present at least in one case
228594_at	FLJ30596	5p13.2	present at least in one case	present at least in one case
235904_at	FLJ34658	5p13.2	absent in all cases	absent in all cases
237572_at	FLJ34658	5p13.2	absent in all cases	absent in all cases
212469_at	IDN3	5p13.2	present at least in one case	present at least in one case
242352_at	IDN3	5p13.2	present at least in one case	present at least in one case
207108_s_at	IDN3	5p13.2	present at least in one case	present at least in one case
212483_at	IDN3	5p13.2	present at least in one case	present at least in one case
213918_s_at	IDN3	5p13.2	present at least in one case	present at least in one case
220245_at	MATP	5p13.2	absent in all cases	absent in all cases
221644_s_at	MATP	5p13.2	present at least in one case	present at least in one case
236085_at	MGC26610	5p13.2	present at least in one case	absent in all cases
204460_s_at	RAD1	5p13.2	present at least in one case	present at least in one case
204461_x_at	RAD1	5p13.2	present at least in one case	present at least in one case
210216_x_at	RAD1	5p13.2	present at least in one case	present at least in one case
201263_at	TARS	5p13.2	present at least in one case	present at least in one case
221359_at	GDNF	5p13.1-p12	absent in all cases	absent in all cases
244531_at	NNT	5p13.1-5cen	present at least in one case	present at least in one case
238530_at	NNT	5p13.1-5cen	present at least in one case	present at least in one case
202784_s_at	NNT	5p13.1-5cen	present at least in one case	present at least in one case
202783_at	NNT	5p13.1-5cen	present at least in one case	present at least in one case
219193_at	FLJ10233	5p13.1	present at least in one case	present at least in one case
219381_at	FLJ13231	5p13.1	absent in all cases	absent in all cases
226911_at	FLJ39155	5p13.1	present at least in one case	present at least in one case
211794_at	FYB	5p13.1	present at least in one case	present at least in one case
205285_s_at	FYB	5p13.1	present at least in one case	present at least in one case
211795_s_at	FYB	5p13.1	present at least in one case	present at least in one case
228248_at	KIAA1999	5p13.1	present at least in one case	present at least in one case
226310_at	KIAA1999	5p13.1	present at least in one case	present at least in one case
226312_at	KIAA1999	5p13.1	present at least in one case	present at least in one case
206550_s_at	NUP155	5p13.1	present at least in one case	present at least in one case
205729_at	OSMR	5p13.1	present at least in one case	present at least in one case
204896_s_at	PTGER4	5p13.1	present at least in one case	present at least in one case
204897_at	PTGER4	5p13.1	present at least in one case	present at least in one case
229229_at	AGXT2	5p13	absent in all cases	absent in all cases
210168_at	C6	5p13	absent in all cases	absent in all cases
235979_at	C7	5p13	present at least in one case	present at least in one case
202992_at	C7	5p13	present at least in one case	present at least in one case
232898_at	DAB2	5p13	absent in all cases	absent in all cases
240873_x_at	DAB2	5p13	absent in all cases	absent in all cases
201279_s_at	DAB2	5p13	present at least in one case	present at least in one case
201280_s_at	DAB2	5p13	present at least in one case	present at least in one case
210757_x_at	DAB2	5p13	present at least in one case	present at least in one case
205798_at	IL7R	5p13	present at least in one case	present at least in one case
202780_at	OXCT	5p13	present at least in one case	present at least in one case
200092_s_at - HG-U133A	RPL37	5p13	present at least in one case	present at least in one case
200092_s_at - HG-U133B	RPL37	5p13	present at least in one case	present at least in one case
203626_s_at	SKP2	5p13	absent in all cases	absent in all cases
210567_s_at	SKP2	5p13	present at least in one case	present at least in one case
202800_at	SLC1A3	5p13	present at least in one case	present at least in one case
225916_at	ZNF131	5p12-p11	present at least in one case	present at least in one case
214741_at	ZNF131	5p12-p11	present at least in one case	present at least in one case
221842_s_at	ZNF131	5p12-p11	present at least in one case	present at least in one case
224414_s_at	CARD6	5p12	present at least in one case	present at least in one case
224027_at	CCL28	5p12	present at least in one case	present at least in one case
224240_s_at	CCL28	5p12	present at least in one case	present at least in one case
233366_at	FBXO4	5p12	present at least in one case	present at least in one case
220550_at	FBXO4	5p12	present at least in one case	present at least in one case
223493_at	FBXO4	5p12	present at least in one case	present at least in one case
220458_at	FLJ10246	5p12	present at least in one case	present at least in one case
238635_at	FLJ21657	5p12	present at least in one case	present at least in one case
219029_at	FLJ21657	5p12	present at least in one case	present at least in one case
240412_s_at	FLJ40243	5p12	present at least in one case	present at least in one case
240411_at	FLJ40243	5p12	present at least in one case	present at least in one case
232645_at	LOC153684	5p12	present at least in one case	present at least in one case
226159_at	LOC285636	5p12	present at least in one case	present at least in one case
225985_at	PRKAA1	5p12	present at least in one case	present at least in one case
225984_at	PRKAA1	5p12	present at least in one case	present at least in one case
209799_at	PRKAA1	5p12	present at least in one case	present at least in one case
206129_s_at	ARSB	5p11-q13	present at least in one case	present at least in one case
230864_at	MGC42105	5p11	absent in all cases	absent in all cases
213754_s_at	PAIP1	5p11	present at least in one case	present at least in one case
208051_s_at	PAIP1	5p11	present at least in one case	present at least in one case
209064_x_at	PAIP1	5p11	present at least in one case	present at least in one case
210283_x_at	PAIP1	5p11	present at least in one case	present at least in one case
234474_x_at	IL6ST	5q11	present at least in one case	present at least in one case
234967_at	IL6ST	5q11	present at least in one case	present at least in one case
204863_s_at	IL6ST	5q11	present at least in one case	present at least in one case
211000_s_at	IL6ST	5q11	present at least in one case	present at least in one case
204864_s_at	IL6ST	5q11	present at least in one case	present at least in one case
218212_s_at	MOCS2	5q11	present at least in one case	present at least in one case
218398_at	MRPS30	5q11	present at least in one case	present at least in one case
209147_s_at	PPAP2A	5q11	present at least in one case	present at least in one case
210946_at	PPAP2A	5q11	present at least in one case	present at least in one case
227447_at	PPAP2A	5q11	present at least in one case	present at least in one case
219033_at	FLJ21308	5q11.1	present at least in one case	present at least in one case
206104_at	ISL1	5q11.1	absent in all cases	absent in all cases
214660_at	ITGA1	5q11.1	present at least in one case	present at least in one case
236076_at	LOC257396	5q11.1	present at least in one case	present at least in one case
209303_at	NDUFS4	5q11.1	present at least in one case	present at least in one case
