Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
H68663	pre-B-cell leukemia transcription factor 1	PBX1	5087	212542	6.659281	-
R98407	pre-B-cell leukemia transcription factor 1	PBX1	5087	200656	5.289414	-
AA458524	hypothetical protein LOC144347	LOC144347	144347	811581	4.701765	-
AA043050	mitochondrial isoleucine tRNA synthetase	FLJ10326	55699	486538	4.57407	-
AA404338	tubulin, beta, 2	TUBB2	10383	758302	4.296131	-
AA426027	sorting nexin 3	SNX3	8724	757225	4.189146	+
AA151498	H. Sapiens mRNA; cDNA DKFZp586N1918 (from clone DKFZp586N1918)		0	503126	3.943818	-
AA485439	CGI-146 protein	PNAS-4	51029	811058	3.853088	-
AA443127	H. Sapiens cDNA clone IMAGE:3028427, partial cds		0	809495	3.739721	-
AA486450	CXYorf1-related protein	DKFZp434K1323	349338	811138	3.210205	-
AI286222	endothelial PAS domain protein 1	EPAS1	2034	1855332	3.063497	-
AA459868	H. Sapiens ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast), mRNA (cDNA clone IMAGE:3453243)		0	795809	2.90232	+
H16589	H. Sapiens cDNA clone IMAGE:3028427, partial cds		0	49162	2.796041	-
AA608534	CGI-146 protein	PNAS-4	51029	950600	2.654883	-
AW057929	plexin B1	PLXNB1	5364	2541458	2.648151	-
AA464694	mitogen-activated protein kinase kinase kinase 1	MAP3K1	4214	810230	2.575654	-
BX118651	Multiple Cluster Hits:146668&125221	TDE2 / TXNDC	57515, 81542	291462	2.491642	+
