U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
216071_x_at	trinucleotide repeat containing 11	TNRC11	Xq13	AF132033	Hs.211607	91.8	Above	1.8
218757_s_at	similar to yeast Upf3, variant B	UPF3B	Xq25-q26	NM_023010.1	Hs.103832	91.3	Above	2.3
208861_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	ATRX	Xq13.1-q21.1	U72937.2	Hs.96264	91.3	Above	1.7
200980_s_at	pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1	Xp22.2-p22.1	NM_000284.1	Hs.1023	83.1	Above	1.7
202371_at	hypothetical protein FLJ21174	FLJ21174	Xq22.1	NM_024863.1	Hs.194329	83.1	Above	3.6
205324_s_at	FtsJ homolog 1 (E. coli)	FTSJ1	Xp11.23	NM_012280.1	Hs.23170	83.1	Above	2.2
201899_s_at	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	UBE2A	Xq24-q25	NM_003336.1	Hs.80612	82.7	Above	1.8
212846_at	KIAA0179 protein	KIAA0179	21q22.3	D80001.1	Hs.152629	82.7	Above	2
218499_at	Mst3 and SOK1-related kinase	MST4	Xq26.1	NM_016542.1	Hs.23643	82.7	Above	2.5
221689_s_at	Down syndrome critical region gene 5	DSCR5	21q22.2	AB035745.1	Hs.66493	82.7	Above	2.2
219038_at	hypothetical protein FLJ11565	FLJ11565	Xq22.2	NM_024657.1	Hs.61763	78.8	Above	6.8
208598_s_at	Upstream regulatory element binding protein 1	UREB1	Xp11.22	NM_005703.2		78.4	Above	1.6
201100_s_at	ubiquitin specific protease 9, X chromosome (fat facets-like Drosophila)	USP9X	Xp11.4	NM_004652.2	Hs.77578	76.1	Above	1.7
201132_at	heterogeneous nuclear ribonucleoprotein H2 (H)	HNRPH2	Xq22	NM_019597.1	Hs.278857	74.6	Above	2
201898_s_at	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	UBE2A	Xq24-q25	AI126625	Hs.80612	74.6	Above	1.6
213289_at	Homo sapiens cDNA FLJ39590 fis, clone SKNMC1000079			BE221922	Hs.356269	74.6	Above	3.8
219485_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	PSMD10	Xq22.3	NM_002814.1	Hs.7756	74.6	Above	2.4
218878_s_at	sirtuin silent mating type information regulation 2 homolog 1 (S. cerevisiae)	SIRT1	10q22.2	NM_012238.3	Hs.31176	74.4	Above	1.4
228005_at	ESTs, Weakly similar to T45117 hU1-70K protein (286 AA) [imported] - human (fragment) [H.sapiens]			BE677308	Hs.96716	74.4	Above	3.8
201136_at	proteolipid protein 2 (colonic epithelium-enriched)	PLP2	Xp11.23	NM_002668.1	Hs.77422	73	Above	3.4
202214_s_at	cullin 4B	CUL4B	Xq23	NM_003588.1	Hs.155976	73	Above	1.9
242794_at	ESTs			AI569476	Hs.177135	70	Above	3.2
