HUGO ID	Description	Significance Analysis of Microarrays rank	3q band
ECT2	Epithelial cell transforming sequence 2 oncogene	96	26.3
PPP1R2	Protein phosphatase 1, regulatory (inhibitor) subunit 2	108	29
MCCC1	Methylcrotonoyl-CoA carboxylase 1 (a)	110	27
SHOX2	Short stature homeobox 2	113	25.3
MBNL1	Muscle blind-like	114	25
SFRS10	Splicing factor, arginine/serine-rich 10	116	26.2-27
DVL3	Dishevelled, dsh homologue 3	146	27
ABCC5	ATP-binding cassette, subfamily C, member 5	175	27.1
MAP3K13	Mitogen-activated protein kinase kinase kinase 13	176	27
BDH	3-Hydroxybutyrate dehydrogenase	179	29
DRE1	DRE1protein	190	27.3
EIF4G1	Eukaryotic translation initiation factor 4 g, 1	206	27-ter
PIK3CA	Phosphoinositide-3-kinase, catalytic, a polypeptide	211	26.3
NCBP2	Nuclear cap binding protein subunit 2	225	29
GMPS	Guanine monophosphate synthetase	23 1	24
RP42	RP42 homologue	239	26.3
LOC442100	Hypothetical protein DKFZp434A128	244	27.2
