GenBank ID	Description	Fold change 2h	Fold change 6 h	Fold change 10 h	Fold change 24h
NM_012237	Sirtuin	0.34	0.312	1.45	0.318
NM_003549	Hyaluronoglucosaminidase 3 (HYAL3)	0.407	0.391	0.839	0.458
NM_022356	Growth suppressor 1 (GROS1)	0.457	0.751	1.116	0.173
NM_002085	Glutathione peroxidase 4 (phospholipid hydroperoxidase) (GPX4)	0.484	0.985	1.669	0.287
NM_001961	Eukaryotic translation elongation factor 2 (EEF2)		0.086	0.99	0.562
NM_000966	Retinoic acid receptor, gamma (RARG)	0.698	0.192	1
NM_004774	PPAR binding protein (PPARBP)		0.202	1	1.01
NM_012237	Sirtuin (silent mating type information regulation 2, Saccharomyces cerevisiae, homologue) 2 (SIRT2), transcript variant 1	0.34	0.312	1.045	0.318
NM_005488	Target of myb1 (chicken) homologue (TOM1)		0.313	0.806	0.41
AJ010089	GANP protein		0.327	0.394	0.665
NM_006268	Requiem, apoptosis response zinc finger gene (REQ)	1.028	0.346	0.444	1.163
NM_022362	MMS19 (MET18 S. cerevisiae)-like (MMS19L)	0.671	0.375	0.635	0.207
NM_003330	Thioredoxin reductase 1 (TXNRD1)	1.113	0.398	0.861	0.356
NM_002388	Minichromosome maintenance deficient (S. cerevisiae) 3 (MCM3)	0.585	0.415	1.105	0.279
NM_002826	Quiescin Q6 (QSCN6)	0.591	0.46	0.816	0.345
NM_030900	Cell cycle progression 2 protein (CPR2)	0.772	0.462	0.85	0.286
NM_012199	Eukaryotic translation initiation factor 2C, 1 (EIF2C1)	0.795	0.482	0.782	0.387
NM_003078	SWI/SNF related, matrix associated, actin-dependent regulator of chromatin, subfamily d, member 3 (SMARCD3)	0.589	0.602	0.302	0.149
NM_004045	ATX1 (antioxidant protein 1, yeast) homologue 1 (ATOX1)	1.563	1.142	0.326	0.87
NM_001028	Ribosomal protein S25 (RPS25)	0.884	0.908	0.358	0.627
NM_002877	RAD51 (S. cerevisiae)-like 1 (RAD51L1)		1.214	0.36	0.971
NM_000362	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory) (TIMP3)	1.407	0.924	0.37	0.463
NM_015953	eNOS interacting protein (NOSIP)	0.959	1.035	0.389	0.455
NM_004356	CD81 antigen (target of antiproliferative antibody 1) (CD81)	1.105	0.686	0.461	0.389
NM_016292	Heat-shock protein 75 (TRAP1)	0.74	1.431	1.329	0.28
NM_016373	WW domain-containing oxidoreductase (WWOX)		0.919	0.511	0.3
NM_003751	Eukaryotic translation initiation factor 3, subunit 9 (eta, 116kD) (EIF3S9)	0.698	0.759	0.734	0.304
NM_002164	Indoleamine-pyrrole 2,3 dioxygenase (INDO)	0.995	1.215	0.766	0.343
NM_003884	p300/CBP-associated factor (PCAF)	0.75	1.138	1.156	0.351
NM_021008	Suppressin (nuclear deformed epidermal autoregulatory factor-1 (DEAF-1)-related) (SPN)	0.535	0.592	0.988	0.381
NM_012119	Cell cycle related kinase (CCRK)	2.135	2.727	3.34	0.904
NM_002539	Ornithine decarboxylase 1 (ODC1)	2.415	1.746	1.941	5.633
NM_001901	Connective tissue growth factor (CTGF)	2.547	1.136	0.856	1.105
NM_003516	H2A histone family, member O (H2AFO)	2.726	1.609	0.941	1.259
AF070674	Inhibitor of apoptosis protein-1 (MIHC)	2.762	2.674	4.763	2.205
NM_004447	Epidermal growth factor receptor pathway substrate 8 (EPS8)	2.898	1.039	0.861	0.853
NM_001206	Basic transcription element binding protein 1 (BTEB1)	2.908	1.242	1.143	1.113
NM_004793	Protease, serine, 15 (PRSS15)	3.397	0.706	1.244	1.617
NM_000315	Parathyroid hormone (PTH)	4.09	1.173	0.525	1.089
NM_006403	Enhancer of filamentation 1 (cas-like docking; Crk-associated substrate related) (HEF1)	4.534	1.538	1.709	0.64
L24498	gadd45 gene	5.285	2.52	3.527	5.64
NM_032390	Nucleolar protein interacting with the FHA domain of pKi-67 (NIFK)	0.852	2.305	2.264	3.632
NM_020529	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha (NFKBIA)	1.4	2.574	2.425	0.92
AF070674	Inhibitor of apoptosis protein-1 (MIHC)	2.762	2.674	4.763	2.205
NM_004619	TNF receptor-associated factor 5 (TRAF5)	0.91	2.778	1.393	1.448
NM_016614	TRAF and TNF receptor-associated protein (AD022)	1.124	1.401	1.095	2.534
NM_003998	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105) (NFKB1)	0.691	2.948	3.819	1.153
NM_001673	Asparagine synthetase (ASNS)		3.14	1.192	1.211
NM_002543	Oxidized low density lipoprotein (lectin-like) receptor 1 (OLR1)	1.395	3.608	3.795	1.845
NM_006290	Tumour necrosis factor, alpha-induced protein 3 (TNFAIP3)	1.588	3.644	8.58	0.373
NM_001159	Aldehyde oxidase 1 (AOX1)	0.85	16.501	0.865	0.835
NM_001239	Cyclin H (CCNH)	1.923	1.057	1.045	2.594
AF352051	Proliferation potential-related protein	0.623	1.176	1.391	2.684
NM_003503	CDC7 (cell division cycle 7, S. cerevisiae, homologue)-like 1 (CDC7L1)	0.745	1.595	1.822	3.882
