Fold-down	GenBank ID	Gene description	Gene symbol
14.74	NM_021127.1	Phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1
12.83	NM_002160.1	Tenascin C (hexabrachion)	TNC
12.07	NM_006101.1	Highly expressed in cancer, rich in leucine heptad repeats	HEC
8.88	NM_004456.1	Enhancer of zeste homolog 2 (Drosophila)	EZH2
8.28	NM_001168.1	Baculoviral IAP repeat-containing 5 (survivin)	BIRC5
6.7	NM_001255.1	CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20
6.28	Y11339.2	GalNAc alpha-2, 6-sialyltransferase I, long form	ST6GalNAcI
6.17	NM_003318.1	TTK protein kinase	TTK
5.78	BF589515	Hypothetical protein FLJ34221	FLJ34221
5.63	D88357.1	Cell division cycle 2, G1 to S and G2 to M	CDC2
5.3	NM_001211.2	BUB1 budding uninhibited by benzimidazoles 1 homolog s (yeast)	BUB1B
5.21	NM_001996.1	Fibulin 1	FBLN1
5.1	AL574096	Tissue factor pathway inhibitor 2	TFPI2
4.88	NM_004701.2	Cyclin B2	CCNB2
4.82	AK025084.1	Trinucleotide repeat containing 9	TNRC9
4.8	BG054916	Patched homolog (Drosophila)	PTCH
4.76	NM_002358.2	MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1
4.72	NM_001809.2	Centromere protein A, 17 kDa	CENPA
4.72	AK023208.1	Anillin, actin binding protein (scraps homolog, Drosophila)	ANLN
4.38	AL547946	Progesterone receptor membrane component 1	PGRMC1
4.21	NM_003981.1	Protein regulator of cytokinesis 1	PRC1
4.02	AI419030	Glycoprotein M6B	GPM6B
3.98	AI346350	Polymyositis/scleroderma autoantigen 1, 75 kDa	PMSCL1
3.78	NM_012259.1	Hairy/enhancer-of-split related with YRPW motif 2	HEY2
3.78	BC005978.1	Karyopherin alpha 2 (RAG cohort 1, importin ƒ¿ 1)	KPNA2
3.78	NM_004702.1 .1	Cyclin E2	CCNE2
3.62	NM_004900.1	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	APOBEC3B
3.59	U36189.1	Chromosome 5 open reading frame 13	C5orf13
3.53	NM_003524.1	Histone 1, H2bh	HIST1H2BH
3.42	D13889.1	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	ID1
3.15	NM_021968.1
3.11	AI431730	A disintegrin-like and metalloprotease (reprolysin type)with thrombospondin type 1 motif, 9	ADAMTS9
3.07	NM_004415.1	Desmoplakin (DPI, DPII)	DSP
2.99	NM_003878.1	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	GGH
2.9	AK026161.1	Ca2+-dependent endoplasmic reticulum nucleoside diphosphatase	SHAPY
2.88	NM_002266.1	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2
2.87	NM_004219.2	Pituitary tumor-transforming 1	PTTG1
2.85	NM_002105.1	H2A histone family, member X	H2AFX
2.84	AL563283	Androgen-induced basic leucine zipper	AIBZIP
2.83	NM_012177.1	F-box only protein 5	FBXO5
2.72	AU153848	Rac GTPase activating protein 1	RACGAP1
2.72	NM_002402.1	Mesoderm-specific transcript homolog (mouse)	MEST
2.72	NM_004772.1	Chromosome 5 open reading frame 13	C5orf13
2.69	M69148.1	Midkine (neurite growth-promoting factor 2)	MDK
2.69	NM_015677.1	Likely ortholog of mouse Sh3 domain YSC-like 1	SH3YL1
2.56	NM_006452.1	Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	PAICS
2.52	NM_006451.1	Olyadenylate binding protein-interacting protein 1	PAIP1
2.48	D87292.1	Thiosulfate sulfurtransferase (rhodanese)	TST
2.47	NM_002592.1	Proliferating cell nuclear antigen	PCNA
2.45	NM_006667.2	Progesterone receptor membrane component 1	PGRMC1
2.44	AB000888.1	Phosphatidic acid phosphatase type 2A	PPAP2A
2.43	AA534817	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	EDG3
2.41	NM_018204.1	Cytoskeleton associated protein 2	CKAP2
2.4	NM_020987.1	Ankyrin 3, node of Ranvier (ankyrin G)	ANK3
2.34	AF014403.1	Phosphatidic acid phosphatase type 2A	PPAP2A
2.34	Z95331	Fibulin 1	FBLN1
2.31	M96789	Gap junction protein, alpha4, 37 kDa (connexin 37)	GJA4
2.31	AI970157	Glycine cleavage system protein H (aminomethyl carrier)	GCSH
2.31	NM_006334.1	Olfactomedin 1	OLFM1
2.29	NM_006117.1	Peroxisomal D3,D2-enoyl-CoA isomerase	PECI
2.29	NM_005496.1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	SMC4L1
2.25	NM_002915.1	Replication factor C (activator 1) 3, 38 kDa	RFC3
2.19	NM_001070.1	Tubulin, gamma 1	TUBG1
2.18	NM_001123.1	Adenosine kinase	ADK
2.18	AA112507	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM4
2.13	L04636.1	Complement component 1, q subcomponent binding protein	C1QBP
2.13	NM_005815.1	Kruppel-type zinc finger (C2H2)	ZK1
2.11	AA902652	Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	PAICS
2.1	S81916.1	Phosphoglycerate kinase {alternatively spliced} [human, phosphoglycerate kinase deficient patient with episodes of muscl, mRNA partial mutant, 307 nt]
2.08	AW235061	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	SLC1A1
2.07	NM_004999.1	Myosin VI	MYO6
2.05	AW237404	Glycine cleavage system protein H (aminomethyl carrier)	GCSH
2.04	NM_002482.1	Nuclear autoantigenic sperm protein (histone-binding)	NASP
2.03	NM_001954.2	Discoidin domain receptor family, member 1	DDR1
2.03	BC004439.1	Translocase of inner mitochondrial membrane 17 homolog A (yeast)	TIMM17A
