Gene Description	AccessionNo.	P Value	Fold-Change
DNase gamma	U75744	5.40E-06	-6.4
Backfoot (Bft) homeobox gene	U70370	2.80E-06	-5.9
Endogenous retrovirus RTVL-H neutral protease	M27826	4.60E-04	5.7
gamma1 (Interferon-. inducible)	M26683	3.20E-06	-5.4
Histone H2B/k gene	Z80782	3.50E-05	5
FAT (cadherin super family)	X87241	8.70E-05	4.1
GADD45.	AF078077	5.50E-05	-3.7
HNF-3/fork head homolog 11A (HFH-11A)	U74612	3.40E-05	3.6
Mitosin	U30872	3.40E-04	3.5
Barx2	AJ243512	2.20E-05	-3.5
Activator 1 (A1, also called replication factor C)	M87339	3.90E-05	3.5
Erythrocyte cytosolic protein (TIP49/RUVBL1/NMP238)	Y18418	2.20E-04	3.2
Histone H2A.2	L19779	8.40E-04	3.1
Endogenous retrovirus	X72790	3.50E-04	3
Cyclin G2	U47414	2.80E-04	-3
Transcription enhancer factor TEF-5	AL022721	1.20E-04	-2.8
C2H2 zinc finger protein PLAGL1	U81992	6.20E-04	-2.8
P1-Cdc46	X74795	2.60E-04	2.8
Heat shock factor (HSF1)	M64673	2.70E-04	2.7
Cellular oncogene c-fos	V01512	5.10E-04	-2.7
v-Maf musculoaponeurotic fibrosarcoma oncogene family F	AL021977	4.50E-05	-2.7
B-ATF	AF016898	2.80E-04	-2.7
DNA topoisomerase II	J04088	2.90E-04	2.6
Cyclin A	X51688	6.10E-04	2.5
BTG2	U72649	5.00E-04	-2.5
FEN1 DNA repair gene	AC_004770	4.10E-04	2.5
Pax9	AJ238381	2.10E-04	-2.4
Zinc finger transcriptional regulator	M92843	4.90E-04	-2.3
Human proliferating cell nuclear antigen (PCNA)	J05614	8.80E-04	2.3
LDOC1	AB019527	9.60E-04	-2.2
Serum response factor (SRF)	J03161	8.90E-04	-2
