Rank	ProbeSet	Z score	High	Gene	Chromosome	Description
1	37471_at	117.55	D	RNASEP1	6p25.1	ribonuclease P1
2	35523_at	69.72	D	PGDS	4q22.3	prostaglandin D2 synthase, hematopoietic
3	32696_at	51.78	NOT D	PBX3	9q33-q34	pre-B-cell leukemia transcription factor 3
4	38105_at	43.41	N/A	FLJ11021	12q24.31	hypothetical protein FLJ11021 similar to splicing factor, arginine/serine-rich 4
5	34789_at	37.43	D	SERPINB6	6p25	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6
6	1782_s_at	36.23	D	STMN1	1p36.1-p35	stathmin 1/oncoprotein 18
7	37686_s_at	33.84	D	UNG	12q23-q24.1	uracil-DNA glycosylase
8	32570_at	29.06	D	HPGD	4q34-q35	hydroxyprostaglandin dehydrogenase 15-(NAD)
9	37732_at	25.47	N/A	RYBP	3p14.2	RING1 and YY1 binding protein
10	37509_at	24.28	NOT D	CRLF3	17q11.2	cytokine receptor-like factor 3
11	31863_at	24.28	D	KIAA0179	21q22.3	KIAA0179 protein
12	33443_at	23.08	N/A	TDE1L	6q22.32	likely ortholog of mouse tumor differentially expressed 1, like
13	1942_s_at	23.08	D	CDK4	12q14	cyclin-dependent kinase 4
14	538_at	21.88	D	CD34	1q32	CD34 antigen
15	1884_s_at	20.69	D	PCNA	20pter-p12	proliferating cell nuclear antigen
16	41448_at	18.30	NOT D	HOXA10	7p15-p14	homeo box A10
17	35638_at	18.30	D	CBFA2T1	8q22	core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related
18	32663_at	15.90	N/A	RHAG	6p21.1-p11	Rhesus blood group-associated glycoprotein
19	1081_at	15.90	D	ODC1	2p25	ornithine decarboxylase 1
20	41746_at	14.71	D	NHP2L1	22q13.2-q13.31	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
21	34803_at	14.71	N/A	USP12L1	13q12.2	ubiquitin specific protease 12 like 1
22	507_s_at	13.51	N/A	ELF2	4q28	E74-like factor 2 (ets domain transcription factor)
23	33830_at	13.51	N/A	LEPR	1p31	leptin receptor
24	33334_at	13.51	D	ACYP1	14q24.3	acylphosphatase 1, erythrocyte (common) type
25	41569_at	12.32	D	DNAJC9	10q22.3	DnaJ (Hsp40) homolog, subfamily C, member 9
26	32070_at	12.32	D	PTPRCAP	11q13.3	protein tyrosine phosphatase, receptor type, C-associated protein
27	857_at	11.12	N/A	PPM1A	14q23.1	protein phosphatase 1A (formerly 2C), magnesium-dependent,alpha isoform
28	41733_at	11.12	N/A			Cluster Incl. AC003007:Human Chromosome 16 BAC clone
29	41632_at	11.12	N/A	E2F3	6p22	E2F transcription factor 3
30	39610_at	11.12	NOT D	HOXB2	17q21-q22	homeo box B2
31	38791_at	11.12	N/A	DDOST	1p36.1	dolichyl-diphosphooligosaccharide-protein glycosyltransferase
32	31385_at	11.12	N/A	RPL28	19q13.4	ribosomal protein L28
33	1751_g_at	11.12	D			Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence
34	37999_at	9.92	N/A	CPO	3q12	coproporphyrinogen oxidase (coproporphyria, harderoporphyria)
35	1750_at	9.92	D	FARSL	19p13.2	phenylalanine-tRNA synthetase-like
36	1290_g_at	9.92	D	GSTM5	1p13.3	glutathione S-transferase M5
37	954_s_at	8.73	N/A			Protein Phosphatase 1, Alpha Catalytic Subunit
38	41146_at	8.73	D	ADPRT	1q41-q42	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
39	40048_at	8.73	N/A	PUM1	1p35.2	pumilio homolog 1 (Drosophila)
40	39073_at	8.73	D	NME1	17q21.3	non-metastatic cells 1, protein (NM23A) expressed in
41	38663_at	8.73	N/A			Homo sapiens transcribed sequence with strong similarity to protein sp:O75531 (H.sapiens) BAF_HUMAN Barrier-to-autointegration factor (Breakpoint cluster region protein 1)
42	36968_s_at	8.73	D	OIP2	13q13.1	Opa-interacting protein 2
43	36444_s_at	8.73	N/A	CCL23	17q21.1	chemokine (C-C motif) ligand 23
44	33543_s_at	8.73	N/A	PNN	14q13.3	pinin, desmosome associated protein
45	33255_at	8.73	D	NASP	1p34.1	nuclear autoantigenic sperm protein (histone-binding)
46	32172_at	8.73	NOT D	SHARP	1p36.33-p36.11	SMART/HDAC1 associated repressor protein
47	40417_at	7.53	N/A	CCT5	5p15.31	chaperonin containing TCP1, subunit 5 (epsilon)
48	39387_at	7.53	D	SPS	10p14	selenophosphate synthetase
49	39037_at	7.53	NOT D	MLLT2	4q21	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2
50	38782_at	7.53	D	GTF2H1	11p15.1-p14	general transcription factor IIH, polypeptide 1, 62kDa
