Probe set ID	Symbol	Description	RefSeq Transcript ID	Cytoband	Status
213345_at	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	NM_153184	chr14q12	Associated with UO
203766_s_at	LMOD1	leiomodin 1 (smooth muscle)	NM_145208	chr1q32.1	Associated with UO
213343_s_at	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	NM_054113	chr11q13.4	Associated with UO
216331_at	ITGA7	integrin, alpha 7	NM_006073	chr12q13.2	Associated with UO
201976_s_at	MYO10	myosin X	NM_152891	chr5p15.1	Associated with UO
206171_at	ADORA3	adenosine A3 receptor	NM_144652	chr1p13.2	Associated with UO
217757_at	A2M	alpha-2-macroglobulin	NM_145003	chr12p13.31	Associated with UO
209079_x_at	PCDHGC3	PCDHGC3	NM_001093	chr5q31.3	Associated with UO
203096_s_at	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2	NM_152467	chr4q32.1	Associated with UO
205579_at	HRH1	histamine receptor H1	NM_145720	chr3p25.3	Associated with UO
201108_s_at	THBS1	thrombospondin 1	NM_080655	chr15q14	Associated with UO
222116_s_at	TBC1D16	TBC1 domain family, member 16	NM_173536	chr17q25.3	Associated with UO
211964_at	COL4A2	collagen, type IV, alpha 2	NM_052885	chr13q34	Associated with UO
221747_at	TNS1	Tensin 1	NM_152694	chr2q35	Associated with UO
204140_at	TPST1	tyrosylprotein sulfotransferase 1	NM_080923	chr7q11.21	Associated with UO
202202_s_at	LAMA4	laminin, alpha 4	NM_173487	chr6q21	Associated with UO
220027_s_at	RASIP1	Ras interacting protein 1	NM_138999	chr19q13.33	Associated with UO
200785_s_at	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	L38487	chr12q13.3	Associated with UO
202112_at	VWF	von Willebrand factor	NM_052971	chr12p13.31	Associated with UO
219656_at	PCDH12	protocadherin 12	NM_153224	chr5q31.3	Associated with UO
211981_at	COL4A1	collagen, type IV, alpha 1	NM_144599	chr13q34	Associated with UO
211066_x_at	PCDHGC3	PCDHGC3	NM_145204	chr5q31.3	Associated with UO
211980_at	COL4A1	collagen, type IV, alpha 1	NM_052885	chr13q34	Associated with UO
213348_at	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	AA640422	chr11p15.4	Associated with UO
212020_s_at	MKI67	antigen identified by monoclonal antibody Ki-67	AB038770	chr10q26.2	Associated with UO
37005_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	NM_006160	chr1p36.13	Associated with UO
205059_s_at	IDUA	iduronidase, alpha-L-	NM_152696	chr4p16.3	Associated with UO
206130_s_at	ASGR2	asialoglycoprotein receptor 2	NM_033104	chr17p13.1	Associated with UO
201906_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	NM_054026	chr3p22.2	Associated with UO
212285_s_at	AGRIN	agrin	NM_016300	chr1p36.33	Associated with UO
203835_at	LRRC32	leucine rich repeat containing 32	NM_080475	chr11q13.5	Associated with UO
218162_at	OLFML3	olfactomedin-like 3	BC025357	chr1p13.2	Associated with UO
209543_s_at	CD34	CD34 molecule	NM_024947	chr1q32.2	Associated with UO
201655_s_at	HSPG2	heparan sulfate proteoglycan 2 (perlecan)	NM_152583	chr1p36.12	Associated with UO
202587_s_at	AK1	adenylate kinase 1	NM_152610	chr9q34.11	Associated with UO
213812_s_at	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	NM_147174	chr12q24.31	Associated with UO
212419_at	C10orf56	chromosome 10 open reading frame 56	NM_032887	chr10q22.3	Associated with UO
216442_x_at	FN1	fibronectin 1	NM_080867	chr2q35	Associated with UO
204464_s_at	EDNRA	endothelin receptor type A	NM_015198	chr4q31.23	Associated with UO
209082_s_at	COL18A1	collagen, type XVIII, alpha 1	NM_001093	chr21q22.3	Associated with UO
209297_at	ITSN1	intersectin 1 (SH3 domain protein)	NM_022373	chr21q22.11	Associated with UO
204463_s_at	EDNRA	endothelin receptor type A	NM_138572	chr4q31.23	Associated with UO
203325_s_at	COL5A1	collagen, type V, alpha 1	NM_144708	chr9q34.3	Associated with UO
202311_s_at	COL1A1	collagen, type I, alpha 1	NM_145301	chr17q21.33	Associated with UO
44822_s_at	MIER2	mesoderm induction early response 1, family member 2	NM_054029	chr19p13.3	Associated with UO
201125_s_at	ITGB5	integrin, beta 5	NM_080669	chr3q21.2	Associated with UO
214696_at	MGC14376	hypothetical protein MGC14376	NM_148963	chr17p13.3	Associated with UO
215836_s_at	PCDHGC3	PCDHGC3	AK091400	chr5q31.3	Associated with UO
201792_at	AEBP1	AE binding protein 1	NM_014621	chr7p13	Associated with UO
204320_at	COL11A1	collagen, type XI, alpha 1	NM_001717	chr1p21.1	Associated with UO
212489_at	COL5A1	collagen, type V, alpha 1	AL832152	chr9q34.3	Associated with UO
203083_at	THBS2	thrombospondin 2	NM_005240	chr6q27	Associated with UO
201705_at	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	NM_138632	chr16q22.3	Associated with FO
216262_s_at	TGIF2	TGFB-induced factor 2 (TALE family homeobox)	NM_153039	chr20q11.23	Associated with FO
202678_at	GTF2A2	general transcription factor IIA, 2, 12kDa	NM_145696	chr15q22.2	Associated with FO
210371_s_at	RBBP4	retinoblastoma binding protein 4	NM_015151	chr1p35.1	Associated with FO
218117_at	RBX1	ring-box 1	NM_134266	chr22q13.2	Associated with FO
208842_s_at	GORASP2	golgi reassembly stacking protein 2, 55kDa	NM_133490	chr2q31.1	Associated with FO
205596_s_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	NM_053017	chr17q24.1	Associated with FO
204125_at	NDUFAF1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	NM_006147	chr15q15.1	Associated with FO
213911_s_at	H2AFZ	H2A histone family, member Z	NM_145276	chr4q23	Associated with FO
210017_at	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	NM_020794	chr18q21.32	Associated with FO
219363_s_at	MTERFD1	MTERF domain containing 1	NM_138568	chr8q22.1	Associated with FO
202313_at	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	NM_172037	chr8p21.2	Associated with FO
204208_at	RNGTT	RNA guanylyltransferase and 5-phosphatase	NM_025252	chr6q15	Associated with FO
201142_at	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	NM_024786	chr14q23.3	Associated with FO
203966_s_at	PPM1A	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	NM_148914	chr14q23.1	Associated with FO
218807_at	VAV3	vav 3 oncogene	NM_144696	chr1p13.3	Associated with FO
214113_s_at	RBM8A	RNA binding motif protein 8A	NM_080387	chr1q21.1	Associated with FO
212314_at	KIAA0746	KIAA0746 protein	NM_139057	chr4p15.2	Associated with FO
201345_s_at	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	NM_152264	chr5q31.2	Associated with FO
206760_s_at	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23)	AY027790	chr19p13.2	Associated with FO
217028_at	CXCR4	chemokine (C-X-C motif) receptor 4	NM_173631	chr2q21.3	Associated with FO
212594_at	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	NM_138966	chr10q25.2	Associated with FO
208821_at	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	NM_139285	chr20p13	Associated with FO
