U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
201695_s_at	nucleoside phosphorylase	NP	14q13.1	NM_000270.1	Hs.75514	100	Above	3.8
204674_at	lymphoid-restricted membrane protein	LRMP	12p12.3	NM_006152.1	Hs.40202	100	Above	5.8
205253_at	pre-B-cell leukemia transcription factor 1	PBX1	1q23	NM_002585.1	Hs.155691	100	Above	3549.2
212148_at	pre-B-cell leukemia transcription factor 1, splice variant	PBX1				100	Above	5283.5
212151_at	pre-B-cell leukemia transcription factor 1, splice variant	PBX1				100	Above	7472.2
212371_at	Homo sapiens mRNA; cDNA DKFZp586C1019 (from clone DKFZp586C1019)			AL049397.1	Hs.12314	100	Above	2.5
219155_at	retinal degeneration B beta	RDGBB	17q24.2	NM_012417.1	Hs.333212	100	Above	2.7
225483_at	hypothetical protein MGC10485	MGC10485	11q25	AI971602	Hs.334684	100	Above	7.7
227439_at	E2a-Pbx1-associated protein	EB-1	12	AW005572	Hs.372732	100	Above	267.7
227949_at	Q9H4T4 like	H17739	20q13.32	AL357503	Hs.288513	100	Above	59.8
230306_at	hypothetical protein MGC10485	MGC10485	11q25	AA514326	Hs.334684	100	Above	19.1
231095_at	ESTs, Moderately similar to  retinal degeneration B beta [Homo sapiens] [H.sapiens]			AW193811	Hs.112703	100	Above	26.7
35974_at	lymphoid-restricted membrane protein	LRMP	12p12.3	U10485	Hs.40202	91.8	Above	6.1
38340_at	huntingtin interacting protein 12	HIP12	12q24	AB014555	Hs.96731	91.8	Above	3.8
206028_s_at	c-mer proto-oncogene tyrosine kinase	MERTK	2q14.1	NM_006343.1	Hs.306178	91.8	Above	24.2
206181_at	signaling lymphocytic activation molecule	SLAM	1q22-q23	NM_003037.1	Hs.32970	91.8	Above	6.4
208644_at	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	ADPRT	1q41-q42	M32721.1	Hs.177766	91.3	Above	3
221113_s_at	wingless-type MMTV integration site family, member 16	WNT16	7q31	NM_016087.1	Hs.272375	91.3	Above	2547.6
232289_at	Homo sapiens cDNA FLJ14167 fis, clone NT2RP2001214			BF237871	Hs.200629	91.3	Above	143
224022_x_at	wingless-type MMTV integration site family, member 16	WNT16	7q31	AF169963.1	Hs.272375	91.3	Above	565.4
235666_at	ESTs, Weakly similar to  hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]			AA903473	Hs.153717	91.3	Above	649.9
225235_at	hypothetical protein MGC14859	MGC14859	5q35.3	AW007710	Hs.57100	84.7	Above	3.7
224733_at	chemokine-like factor super family 3	CKLFSF3	16q23.1	AL574900	Hs.7773	84.7	Below	41.6
211913_s_at				L08961.1		83.1	Above	42.3
219551_at	uncharacterized bone marrow protein BM040	BM040	3q21.1	NM_018456.1	Hs.26892	83.1	Above	3
223693_s_at	hypothetical protein FLJ10324	FLJ10324	7p22	AL136731.1	Hs.157158	83.1	Above	65
200600_at	moesin	MSN	Xq11.2-q12	NM_002444.1	Hs.170328	82.7	Below	2.2
213909_at	Homo sapiens cDNA FLJ12280			AU147799	Hs.288467	82.7	Above	12.4
235911_at	ESTs, Weakly similar to PIHUB6 salivary proline-rich protein precursor PRB1 (large allele) - human [H.sapiens]			AI885815	Hs.184727	82.7	Above	36.3
243533_x_at	ESTs			H09663	Hs.106490	82.7	Above	24.4
204114_at	nidogen 2 (osteonidogen)	NID2	14q21-q22	NM_007361.1	Hs.82733	82.3	Above	15.1
202615_at	Homo sapiens mRNA; cDNA DKFZp686D0521 (from clone DKFZp686D0521)			BF222895	Hs.356786	78.4	Below	6.1
212789_at	KIAA0056 protein	KIAA0056	11q25	AI796581	Hs.13421	78.4	Above	3.9
228580_at	serine protease HTRA3	HTRA3	4p16.1	AI828007	Hs.60440	76.1	Above	3.7
202796_at	synaptopodin	KIAA1029	5q33.1	NM_007286.1	Hs.5307	76.1	Above	51.9
218640_s_at	phafin 2	FLJ13187	8q21.3	NM_024613.1	Hs.29724	76.1	Above	3.1
231040_at	ESTs			AW512988	Hs.184780	76.1	Above	16.3
235099_at	ESTs, Weakly similar to PLLP_HUMAN Plasmolipin [H.sapiens]			AW080832	Hs.154986	76.1	Above	6.7
205173_x_at	CD58 antigen, (lymphocyte function-associated antigen 3)	CD58	1p13	NM_001779.1	Hs.75626	74.6	Above	2.4
211744_s_at	CD58 antigen, (lymphocyte function-associated antigen 3)	CD58	1p13	BC005930.1	Hs.75626	74.6	Above	2.4
213358_at	KIAA0802 protein	KIAA0802	18p11.21	AB018345.1	Hs.27657	74.6	Above	12.6
201889_at	family with sequence similarity 3, member C	FAM3C	7q22.1-q31.1	NM_014888.1	Hs.29882	74.6	Above	4.6
222699_s_at	phafin 2	FLJ13187	8q21.3	BF439250	Hs.29724	74.6	Above	3.5
238778_at	Homo sapiens mRNA; cDNA DKFZp451L157 (from clone DKFZp451L157)			AI244661	Hs.350684	74.6	Above	23.3
205769_at	solute carrier family 27 (fatty acid transporter), member 2	SLC27A2	15q21.2	NM_003645.1	Hs.11729	74.4	Above	80.6
210786_s_at	Friend leukemia virus integration 1	FLI1	11q24.1-q24.3	M93255.1	Hs.108043	74.4	Above	2.2
212985_at	cDNA DKFZp434E033	DKFZp434E033		BF115739	Hs.15740	74.4	Above	7
221669_s_at	acyl-Coenzyme A dehydrogenase family, member 8	ACAD8	11q25	BC001964.1	Hs.14791	74.4	Above	2.6
227441_s_at	E2a-Pbx1-associated protein	EB-1	12	AW005572	Hs.372732	74.4	Above	1139.4
234261_at	Homo sapiens mRNA; cDNA DKFZp761M10121 (from clone DKFZp761M10121)			AL137313.1	Hs.306449	74.4	Above	960.8
244565_at	ESTs			AI685824	Hs.171068	74.4	Above	7.4
209760_at	KIAA0922 protein	KIAA0922	4q31.23	AL136932.1	Hs.37892	73	Above	2.9
218283_at	synovial sarcoma translocation gene on chromosome 18-like 2	SS18L2	3p21	NM_016305.1	Hs.9774	72.8	Above	1.6
209558_s_at	huntingtin interacting protein 12	HIP12	12q24	AB013384.1	Hs.96731	70	Above	23.6
213005_s_at	KIAA0172 protein	KIAA0172	9p24.3	D79994.1	Hs.77546	70	Above	8.3
236854_at	Homo sapiens mRNA; cDNA DKFZp667F0617 (from clone DKFZp667F0617)			AA743694	Hs.48984	70	Above	12.5
203435_s_at	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	MME	3q25.1-q25.2	NM_007287.1	Hs.1298	68.3	Below	2.2
204774_at	ecotropic viral integration site 2A	EVI2A	17q11.2	NM_014210.1	Hs.70499	68.1	Below	3
201579_at	FAT tumor suppressor homolog 1 (Drosophila)	FAT	4q34-q35	NM_005245.1	Hs.166994	68.1	Above	9.8
203999_at	synaptotagmin I	SYT1	12cen-q21	NM_005639.1	Hs.154679	68.1	Above	3.9
200811_at	cold inducible RNA binding protein	CIRBP	19p13.3	NM_001280.1	Hs.119475	67.8	Below	5.8
202106_at	golgi autoantigen, golgin subfamily a, 3	GOLGA3	12q24.33	NM_005895.1	Hs.4953	67.8	Above	3.2
