Probe Set	Gene	NPMc+	P-value	RT-qPCR	RefSeq	Description
209543_s_at	CD34	D	0.0001		NM_001773	CD34 antigen (microarray confirmation of immunohistochemical results)
219789_at	NPR3	D	0.0001		NM_000908	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)
217010_s_at	CDC25C	D	0.0001		NM_022809	cell division cycle 25C
204304_s_at	PROM1	D	0.0002		NM_006017	prominin 1 (microarray confirmation of flow-cytometric results)
41220_at	MSF	D	0.0002		NM_006640	MLL septin-like fusion
215218_s_at		D	0.0002			
221004_s_at	ITM2C	D	0.0003		NM_030926	integral membrane protein 2C
219054_at	FLJ14054	D	0.0004		NM_024563	hypothetical protein FLJ14054
201714_at	TUBG1	D	0.0010		NM_001070	tubulin, gamma 1
219694_at	FLJ11127	D	0.0010		NM_019018	hypothetical protein FLJ11127
217979_at	TM4SF13	D	0.0012		NM_014399	transmembrane 4 superfamily member 13
217362_x_at	HLA-DRB3	D	0.0014		NM_002125	major histocompatibility complex, class II, DR beta 3
209686_at	S100B	D	0.0014		NM_006272	S100 calcium binding protein, beta (neural)
219076_s_at	PXMP2	D	0.0015		NM_018663	peroxisomal membrane protein 2, 22kDa
205376_at	INPP4B	D	0.0015		NM_003866	inositol polyphosphate-4-phosphatase, type II, 105kDa
202760_s_at	PALM2	D	0.0024		NM_147150	paralemmin 2
218081_at	C20orf27	D	0.0027		NM_017874	chromosome 20 open reading frame 27
202095_s_at	BIRC5	D	0.0029		NM_001168	baculoviral IAP repeat-containing 5 (survivin)
202481_at	DHRS3	D	0.0029		NM_004753	dehydrogenase/reductase (SDR family) member 3
209582_s_at	MOX2	D	0.0029		NM_005944	antigen identified by monoclonal antibody MRC OX-2
209993_at	ABCB1	D	0.0030		NM_000927	ATP-binding cassette, sub-family B (MDR/TAP), member 1
205645_at	REPS2	D	0.0031		NM_004726	RALBP1 associated Eps domain containing 2
221760_at	MAN1A1	D	0.0031		NM_005907	mannosidase, alpha, class 1A, member 1
206896_s_at	FLJ00058	D	0.0033		NM_005145	hypothetical protein FLJ00058
212235_at	PLXND1	D	0.0037		NM_015103	plexin D1
50314_i_at	C20orf27	D	0.0037		NM_017874	chromosome 20 open reading frame 27
211341_at	POU4F1	D	0.0038	yes	NM_006237	POU domain, class 4, transcription factor 1
205356_at	USP13	D	0.0042		NM_003940	ubiquitin specific protease 13 (isopeptidase T-3)
205692_s_at	CD38	D	0.0044		NM_001775	CD38 antigen (p45)
202483_s_at	RANBP1	D	0.0044		NM_002882	RAN binding protein 1
209042_s_at	UBE2G2	D	0.0047		NM_182688	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)
208657_s_at	MSF	D	0.0047		NM_006640	MLL septin-like fusion
202759_s_at	PALM2	D	0.0048		NM_147150	paralemmin 2
211056_s_at	SRD5A1	D	0.0049		NM_001047	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
205859_at	LY86	D	0.0049		NM_004271	lymphocyte antigen 86
212912_at	RPS6KA2	D	0.0052		NM_021135	ribosomal protein S6 kinase, 90kDa, polypeptide 2
201163_s_at	IGFBP7	D	0.0052		NM_001553	insulin-like growth factor binding protein 7
206622_at	TRH	D	0.0052		NM_007117	thyrotropin-releasing hormone
204285_s_at	PMAIP1	D	0.0052		NM_021127	phorbol-12-myristate-13-acetate-induced protein 1
219667_s_at	BANK1	D	0.0052		NM_017935	B-cell scaffold protein with ankyrin repeats 1
205101_at	MHC2TA	D	0.0055		NM_000246	MHC class II transactivator
204159_at	CDKN2C	D	0.0058	yes	NM_078626	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
204917_s_at	MLLT3	D	0.0059		NM_004529	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
209354_at	TNFRSF14	D	0.0062		NM_003820	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)
209773_s_at	RRM2	D	0.0062		NM_001034	ribonucleotide reductase M2 polypeptide
204500_s_at	AGTPBP1	D	0.0063		NM_015239	ATP/GTP binding protein 1
201528_at	RPA1	D	0.0064		NM_002945	replication protein A1, 70kDa
205632_s_at	PIP5K1B	D	0.0064		NM_003558	phosphatidylinositol-4-phosphate 5-kinase, type I, beta
211474_s_at		D	0.0064			
38671_at	PLXND1	D	0.0066		NM_015103	plexin D1
209583_s_at	MOX2	D	0.0066		NM_005944	antigen identified by monoclonal antibody MRC OX-2
202003_s_at	ACAA2	D	0.0068		NM_006111	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
205412_at	ACAT1	D	0.0069		NM_000019	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)
215785_s_at	CYFIP2	D	0.0069		NM_014376	cytoplasmic FMR1 interacting protein 2
