Accession No.	Fold change W vs H	Fold change J1 vs 210-58	Fold change J1 vs 226-47	Symbol	Chromosome	Gene description	Gene Function
AW122355	3.2	5.2	2.3	Prkcbp1	2	Protein kinase C binding protein 1	Cell cycle/cell proliferation/cell death
AF067395	2.9	2.9	2.9	Bnip3l	14	BCL2/adenovirus E1B 19 kDa-interacting protein	Cell cycle/cell proliferation/cell death
AI842277	2.7	2.3	3.2	Igfbp3	11	Insulin-like growth factor binding protein 3	Cell cycle/cell proliferation/cell death
U95826	2.2	2.5	1.9	Ccng2	5	Cyclin G2	Cell cycle/cell proliferation/cell death
U16741	4.1	6.3	3.1	Capza2	6	Capping protein (actin filament) muscle Z-line, alpha 2	Cell structure/cell adhesion
AI132380	3.6	3.1	4.3	Fndc3a	14	Fibronectin type III domain containing 3a	Cell structure/cell adhesion
AI505453	2.9	2.5	3.4	Myh9	15	Myosin, heavy polypeptide 9, non-muscle	Cell structure/cell adhesion
AW208938	2.4	3.2	2.0	Pkp2	16	Plakophilin 2	Cell structure/cell adhesion
M76124	2.4	2.2	2.6	Tacstd1	17	Tumor-associated calcium signal transducer 1	Cell structure/cell adhesion
U73820	5.5	5.2	5.8	Galnt1	18	Polypeptide GalNAc transferase-T1 (ppGaNTase-T1)	Metabolism
AI841270	3.4	2.4	6.4	Gstm1	3	Glutathione S-transferase, mu1	Metabolism
AV308550	2.6	4.1	1.9	Piga	x	Phosphatidylinostitol glycan, class A	Metabolism
AI851912	2.3	2.2	2.5	Rps27	3	Ribosomal protein S27	Metabolism
AI852144	2.1	2.9	1.7	Pbef-pending	12	Pre-B-cell colony-enhancing factor	Metabolism
U65986	2.1	1.9	2.5	Anxa11	14	Annexin A11	Metabolism
D50264	2.1	1.4	4.1	Pigf	17	Phosphatidylinositol glycan, class F	Metabolism
AF031486	2.0	2.0	2.0	Sms	x	Spermidine synthase	Metabolism
AI845882	2.0	2.5	1.7	Acyp1	12	Acylphosphatase1, erythrocyte (common) type	Metabolism
AI852581	3.0	3.0	3.1	Ide	19	Insulin degradating enzyme	Protein biosynthesis/degradation
AI414051	3.0	1.8	9.1	Usp24	4	Ubiquitin specific protease 24	Protein biosynthesis/degradation
AW121012	2.9	2.8	2.8	Rnf19	15	Ring finger protein 19	Protein biosynthesis/degradation
X92665	2.9	2.5	3.4	Ube2e1	14	Ubiquitin-conjugating enzyme UbcM3	Protein biosynthesis/degradation
AW048882	2.2	2.8	1.8	Iars	13	Isoleucine-tRNA synthetase	Protein biosynthesis/degradation
AA867340	2.2	1.9	2.6	Psme4	11	Proteasome (prosome, macropain) activator subunit	Protein biosynthesis/degradation
AB024427	2.2	2.3	2.1	Rnf11	4	Ring finger protein 11	Protein biosynthesis/degradation
AI846023	4.6	2.8	13.1	Arl7	1	ADP-ribosylation factor-like 7	Signaling
AA260005	2.8	2.7	2.8	Pawr	10	PPKC, apoptosis, WT1, regulator	Signaling
AI317205	2.6	2.4	2.7	Map3k1	13	Mitogen activated protein kinase kinase kinase 1	Signaling
AF035644	2.3	2.0	2.7	Ptp4a2	4	Protein tyrosine phosphatase 4a2	Signaling
M21019	2.3	1.9	2.9	Rras	7	Harvey rat sarcoma oncogene, subgroup R	Signaling
AI194248	2.2	2.5	1.9	Csnk2a1	2	Casein kinase II, alpha 1 polypeptide	Signaling
AI854006	2.0	2.0	2.1	Set	2	SET translocation	Signaling
D83921	2.0	1.9	2.1	Ebaf	1	Endometrial bleeding associated factor	Signaling
X14206	9.9	8.4	12.0	Adprt1	1	Poly(ADP-ribose) polymerase 1	Transcription/replication
