Probe Set ID	Gene Title	Gene Symbol	LocusLink
35566_f_at	Rheumatoid arthritis synovium immunoglobulin heavy chain variable region /// IgM rheumatoid factor RF-DI1, variable heavy chain /// IgA1 heavy chain /// Immunoglobulin heavy constant mu /// Immunoglobulin heavy constant gamma 3 (G3m marker) /// IgM VDJ-region	IGHM /// IGHG3	3502 /// 3507
34105_f_at	Isolate B4847 immunoglobulin heavy chain variable region /// Single chain Fv fragment /// IgM rheumatoid factor RF-DI1, variable heavy chain /// Immunoglobulin heavy constant mu /// Immunoglobulin heavy constant gamma 3 (G3m marker) /// IgH (thyroid peroxidase-specific Fab fragment) /// Immunoglobulin heavy locus /// Similar to KIAA1501 protein /// Immunoglobulin heavy constant gamma 1 (G1m marker) /// Monoclonal antibody CA4 Ig heavy chain variable region /// Immunoglobulin heavy chain VH3 (H11) /// Rheumatoid arthritis synovium immunoglobulin heavy chain variable region /// IgM rheumatoid factor RF-DI2, variable heavy chain /// Transcribed locus, moderately similar to XP_370973.2 similar to KIAA1501 protein [Homo sapiens] /// IgG heavy chain /// IgM rheumatoid factor RF-TT9, variable heavy chain /// IgM VDJ-region	IGHM /// IGHG3 /// IGH@ /// IGHG1	3492 /// 3500 /// 3502 /// 3507 /// 388255
1703_g_at	E2F transcription factor 4, p107/p130-binding	E2F4	1874
391_at	protein phosphatase 5, catalytic subunit	PPP5C	5536
39190_s_at	hypothetical protein MGC26694	MGC26694	284439
810_at	Rho guanine nucleotide exchange factor (GEF) 1	ARHGEF1	9138
37753_at	SSWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	MARCD1	6602
39533_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	SLC7A6	9057
33818_at	valosin-containing protein	VCP	7415
40539_at	myosin IXB	MYO9B	4650
39704_s_at	high mobility group AT-hook 1	HMGA1	3159
40198_at	voltage-dependent anion channel 1	VDAC1	7416
1505_at	thymidylate synthetase	TYMS	7298
1760_s_at	protein tyrosine phosphatase, non-receptor type 7	PTPN7	5778
34868_at	Est1p-like protein	BEST1B	23381
33268_at	Jumonji, AT rich interactive domain 1C (RBP2-like)	JARID1C	8242
38259_at	syntaxin binding protein 2	STXBP2	6813
32844_at	eukaryotic translation initiation factor 4 gamma, 1	EIF4G1	1981
591_s_at	protein tyrosine phosphatase, non-receptor type 1	PTPN1	5770
41753_at	actinin, alpha 4	ACTN4	81
537_f_at	breakpoint cluster region	BCR	613
38310_at	CCR4-NOT transcription complex, subunit 3	CNOT3	4849
40296_at	chromosome X open reading frame 9	CXorf9	54440
35620_at	translocase of outer mitochondrial membrane 40 homolog (yeast)	TOMM40	10452
36336_s_at	KIAA0963	KIAA0963	22904
1306_at	eukaryotic translation initiation factor 4 gamma, 1	EIF4G1	1981
754_s_at	breakpoint cluster region	BCR	613
1944_f_at	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	MLH1	4292
37238_s_at	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	PKMYT1	9088
39183_at	PCTAIRE protein kinase 1	PCTK1	5127
41316_s_at	scaffold attachment factor	BSAFB	6294
40324_r_at	topoisomerase (DNA) III beta	TOP3B	8940
38109_at	palmitoyl-protein thioesterase 2	PPT2	9374
1752_at	calreticulin	CALR	811
34259_at	KIAA0664 protein	KIAA0664	23277
41516_at	SNARE protein Ykt6	YKT6	10652
1938_at	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC	6714
33843_g_at	KIAA1539	KIAA1539	80256
38795_s_at	upstream binding transcription factor, RNA polymerase I	UBTF	7343
39261_at	GLI-Kruppel family member HKR3	HKR3	3104
163_at	dishevelled, dsh homolog 1 (Drosophila)	DVL1	1855
39711_at	protein kinase C substrate 80K-H	PRKCSH	5589
31900_at	potassium voltage-gated channel, shaker-related subfamily, beta member 2	KCNAB2	8514
1937_at	Retinoblastoma 1
33122_at
910_at	thymidine kinase 1, soluble	TK1	7083
858_at	P450 (cytochrome) oxidoreductase	POR	5447
919_at	Guanine Nucleotide-Binding Protein. Alpha 12
33913_at	HLA-B associated transcript 2	BAT2	7916
41125_r_at
