Accession No.	Symbol	Gene	Function
AA203809	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	Metabolism, Transport
AA242060	Anxa7	Annexin A7	Transport
W98956	Aplp1	Amyloid beta (A4) precursor-like protein 1	Development
W64242	Arhn	Aplysia ras-related homolog N (RhoN)	Signal transd.
AA542206	Arl6ip2	ADP-ribosylation-like factor 6 interacting protein 2	Protein met, Transport
AA050218	Cd151	CD151 antigen	Cell–cell
AI385551	Cirbp	Cold inducible RNA-binding protein	NA met, Stress, Ext stim
W63987	Cnp1	Cyclic nucleotide phosphodiesterase 1	Cell–cell
AA277495	Cpt1a	Carnitine palmitoyltransferase 1, liver	Metabolism, Transport
AA271275	Cpxm1	Carboxypeptidase X 1 (M14 family)	Protein met
AA231358	Crya2	Crystallin, alpha 2	Development
AA174215	Cts1	Cathepsin L	Protein met
AA472492	Cxcl9	Chemokine (C-X-C motif) ligand 9	Stress, Cell–cell, Signal transd., Ext stim
W64388	Gadd45b	Growth arrest and DNA-damage-inducible 45 beta	Protein met, Stress, Death, Signal transd., Development
AA000036	Gcn512	General control of amino acid synthesis-like 1	Cell org., NA met, Protein met
AA288467	Glycam1	Glycosylation dependent cell adhesion molecule 1	Cell–cell
AA178779	Icsbp	Interferon concensus sequence binding protein	NA met, Ext stim
AA036176	Lamb2	Laminin, beta 2	Cell–cell
AA087193	Lcn2	Lipocalin 2	Transport
AA498356	Map11c3	Microtubule-associated protein 1 light chain 3	Development
AA028410	Mapt	Microtubule-associated protein tau	Cell org., Death
AA222497	Mdk	Midkine	Cell Cycle, Cell–cell, Signal transd., Development
AI450527	Mocs2	Molybdenum cofactor synthesis 2	Metabolism
AA451395	Nfatc2	Nuclear factor of activated T-cells, cytoplasmic 2	NA met
AA265273	Psen2	Presenilin 2	Cell Cycle, Cell org., Death, Signal transd.
AA108857	Ptgds	Prostaglandin D2 synthase (21 kDa, brain)	Metabolism, Transport
AA466432	S100a1	S100 calcium binding protein A1	Cell Cycle, NA met, Signal transd., Development
AA267952	S100a6	S100 calcium binding protein A6 (calcyclin)	Cell Cycle, Cell–cell
W75931	Scg3	Secretogranin III	Protein met
AA276440	Sepp1	Selenoprotein P, plasma, 1	Metabolism, Stress, Ext stim
W47914	Siat8b	Sialyltransferase 8 (alpha-2, 8-sialytransferase) B	Protein met, Development
AA008222	Smoh	Smoothened homolog (Drosophila)	Signal transd., Development
W34029	Snta1	Syntrophin, acidic 1	Cell org., Development
W67105	Tagln3	Transgelin 3	Development
AA145784	Timp3	Tissue inhibitor of metalloproteinase 3	Protein met
AA003303	Tjp2	Tight junction protein 2	Signal transd.
W11746	Tuba4	Tubulin alpha 4	Cell org.
AA473123	Ugp2	UDP-glucose pyrophosphorylase 2	Metabolism
AA272198	Uros	Uroporphyrinogen III synthase	Metabolism
