Symbol	Accession No.	Sequence Description	10A	H	N	Log2N/10A	Log2H/10A	Comparison
CSF3	NM_00759	Colony-stimulating factor 3 (granulocyte)	0.26	1.95	1.02	1.96	2.89	H>N>10A
S100A8	NM_002964	S100 calcium binding protein A8 (calgranulin A)	1.03	7.48	0.7	-0.55	2.86	H>10A>N
S100A9	NM_002965	S100 calcium binding protein A9 (calgranulin B)	0.87	3.69	0.54	-0.68	2.08	H>10A>N
IL1R2	NM_004633	Interleukin 1 receptor, type II	0.75	3.13	0.78	0.07	2.07	H>N>10A
H2AFO	NM_003516	Histone 2, H2aa3	0.75	2.67	1	0.41	1.83	H>N>10A
C3	NM_000064	Complement component 3	0.65	2.13	1.05	0.7	1.72	H>N>10A
HSD17B2	NM_002153	Hydroxysteroid (17-Beta) dehydrogenase 2	0.99	2.7	0.87	-0.18	1.45	H>10A>N
SMOX	NM_175839	Hypothetical protein	0.8	1.76	0.93	0.22	1.15	H>N>10A
CYP1B1	NM_000104	Cytochrome P450, family 1, subfamily B, polypeptide 1	0.9	2	0.91	0.01	1.15	H>N>10A
COL12A1	NM_004370	Collagen, type XII, alpha 1	0.96	2.07	0.95	-0.01	1.11	H>10A>N
TNFRSF6B	NM_032957	Tumor necrosis factor receptor superfamily, member 6b, Decoy	0.92	1.94	0.97	0.08	1.08	H>N>10A
ADAM8	NM_001109	ADAM metallopeptidase domain 8	0.99	2.05	0.6	-0.72	1.05	H>10A>N
LOC51333	NM_016643	Mesenchymal stem cell protein DSC43	0.98	1.78	0.84	-0.22	0.86	H>10A>N
HMCN2	AK093583	Hemicentin 2	0.76	1.39	1	0.38	0.86	H>N>10A
H2AFJ	NM_177925	hypothetical protein FLJ10903	0.98	1.75	0.62	-0.65	0.83	H>10A>N
DPM3	NM_018973	Dolichyl-phosphate mannosyltransferase polypeptide	0.88	1.53	0.98	0.16	0.8	H>N>10A
MGC10955	BC004960	Hypothetical protein MGC10955	0.93	1.6	0.9	-0.06	0.78	H>10A>N
COL6A1	NM_001848	Collagen, type VI, alpha 1	0.93	1.6	0.89	-0.36	0.77	H>10A>N
ID1	NM_002165	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	0.97	1.66	0.76	-0.36	0.77	H>10A>N
PFKL	NM_002626	Phosphofructokinase, liver	0.95	1.61	0.83	-0.19	0.75	H>10A>N
