Accession no.	Gene name	Gene symbol	Biological process	Pa
AA675344	ESTs, Mus musculus	NA	NA	1.8E?04
U37438	Crp-ductin	Crpd		6.5E?05
X66983	Male germ cell-associated kinase	Mak	Signal transduction	3.7E?04
AA050273	Mus musculus chemokine receptor CCX CKR mRNA, complete cds, alternatively spliced	NA	Immune response	1.4E?04
U79144	Lysyl oxidase-like	Loxl	Protein modification	5.8E?04
AI849035	ESTs, Mus musculus	NA	NA	6.5E?05
D50527	Ubiquitin C	Ubc	Protein modification	1.4E?04
AW125041	3-Monooxgenase/tryptophan 5-monooxgenase activation protein,  polypeptide	Ywhag	Cell cycle	5.8E?04
AI849271	ESTs, Mus musculus	NA	Lipid metabolism	5.8E?04
D87902	ADP-ribosylation factor 5	Arf5	Signal transduction	9.1E?04
AI839819	ESTs, Mus musculus	NA	NA	9.1E?04
U27810	ESTs, Mus musculus	NA	NA	7.3E?04
AI116222	ESTs, Mus musculus	NA	NA	5.8E?04
U35623	Myeloid cell leukemia sequence 1	Mcl1	Apoptosis	7.3E?04
AA710439	ESTs, Mus musculus	NA	NA	7.3E?04
AB015728	Granzyme M (lymphocyte met-ase 1)	Gzmm	Apoptosis	9.1E?04
AF021136	Potassium inwardly-rectifying channel, subfamily J, member 2	Kcnj2	Ion transport	4.7E?04
D37793	Synaptotagmin 2	Syt2	Transport	4.7E?04
AA517665	NADH dehydrogenase (ubiquinone) 1  alpha subcomplex, 1	Ndufa1	NA	9.1E?04
AA597254	Peptidylprolyl isomerase E (cyclophilin E)	Ppie	Protein modification	3.7E?04
X65493	Intercellular adhesion molecule 2	Icam2	Cell adhesion	3.7E?04
AI843605	ESTs, Mus musculus	NA	NA	9.1E?04
C77009	ESTs, Mus musculus	NA	NA	7.3E?04
D76432	Zinc finger homeobox 1a	Zfhx1a	Transcription regulation	9.1E?04
AI316087	Non-POU-domain-containing, octamer binding protein	Nono	RNA processing	7.3E?04
AF033564	CDC-like kinase 2	Clk2	Cell cycle	3.7E?04
AI553451	ESTs, Mus musculus	NA	NA	2.3E?04
AI852672	Phosphofructokinase, muscle	Pfkm	Carbohydrate metabolism	5.8E?04
AA032310	ESTs, Mus musculus	NA	Chromosome organization	5.8E?04
M31226	ATPase, H+transporting, lysosomal V0 subunit a isoform 2	Atp6v0a2	Proton transport	2.9E?04
AI747899	Phosphotidylinositol transfer protein,  beta	Pitpnb	Lipid transport	2.2E?05
J04181	Actin,  beta, cytoplasmic	Actb	Cytoskeleton organization	7.0E?06
U09419	Nuclear receptor subfamily 1, group H, member 2	Nr1h2	Transcription regulation	9.1E?04
U24160	Dishevelled 2, dsh homolog (Drosophila)	Dvl2	Signal transduction	1.1E?06
X02452	Kirsten rat sarcoma oncogene 2, expressed	Kras2	Signal transduction	4.7E?04
D50086	Neuropilin	Nrp	Cell adhesion	1.4E?04
AW121957	ESTs, Mus musculus	NA	NA	1.4E?04
AI837107	Single-stranded DNA binding protein 2	Ssbp2	Transcription regulation	1.4E?04
M34563	CD28 antigen	Cd28	Defense response	4.7E?04
U57524	Nuclear factor of  k light chain gene enhancer in B-cells inhibitor,  alpha	Nfkbia	Apoptosis	1.1E?04
U79550	Snail homolog 2 (Drosophila)	Snai2	Transcription regulation	2.9E?05
U75372	Solute carrier family 1, member 2	Slc1a2	Transport	6.5E?05
X94126	SRY-box containing gene 1	Sox1	Transcription regulation	6.5E?05
