CNIO ID	Clone ID	UniGene	GenBank	Gene Name	Description
hAC8355	1899192	Hs.458436	AI288845	CCRL2	Chemokine, C-C motif, Receptor-like Protein 2
hAC8075	1552744	Hs.89476	AA927710	CD2	CD2 antigen (p50), sheep red blood cell receptor
hAA1261	66322	Hs.2259	T66800	CD3G	CD3G antigen, gamma polypeptide (TiT3 complex)
hAA7743	770681	Hs.17483	AA476285	CD4	CD4 antigen (p55)
hAA0079	742143	Hs.58685	AA406027	CD5	CD5 antigen (p56-62)
hAC8450	2009477	Hs.436949	AI336940	CD6	CD6 antigen
hAA0932	813714	Hs.355724	AA453850	CFLAR	CASP8 and FADD-like apoptosis regulator
hAA5025	309776	Hs.355724	N94588	CFLAR	CASP8 and FADD-like apoptosis regulator
hAC7967	1475574	Hs.173894	AA878257	CSF1	Colony stimulating factor 1 (macrophage)
hAA5008	196282	Hs.174142	R92609	CSF1R	Colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog
hAA9061	713974	Hs.174142	AA284954	CSF1R	Colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog
hAC8214	1601601	Hs.1349	AA995402	CSF2	Colony stimulating factor 2 (granulocyte-macrophage)
hAE0085	141115	Hs.285401	R66326	CSF2RB	Colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
hAD1221	1667001	Hs.2233	AI074784	CSF3	Colony stimulating factor 3 (granulocyte)
hAA1212	809639	Hs.381027	AA443000	CSF3R	Colony stimulating factor 3 receptor (granulocyte)
hAA2155	773724	Hs.86131	AA430751	FADD	Fas (TNFRSF6)-associated via death domain
hAA8285	145112		R77293	ICAM1	Intercellular adhesion molecule 1
hAE0054	300567	Hs.433303	N80734	ICAM2	Intercellular adhesion molecule 2
hAA0298	754080	Hs.353214	AA478647	ICAM3	Intercellular adhesion molecule 3
hAC8608	2062332	Hs.386467	AI337282	ICAM4	Intercellular adhesion molecule 4, Landsteiner-Wiener blood group
hAA0354	180864	Hs.151250	R87840	ICAM5	Intercellular adhesion molecule 5, telencephalin
hAC8311	1860631	Hs.151250	AI199660	ICAM5	Intercellular adhesion molecule 5, telencephalin
hAC0945	1579639	Hs.856	AA969504	IFNG	Interferon, gamma
