Gene name	Gene accession no.	Ratio P/M
Putative gene product	U50534	2.260066115
BUP protein	AF201948	2.129786465
Phosphatidylinositol transfer protein	D30036	2.44734041
ATP-binding cassette, sub-family A (ABC1)	AF285167	2.038347524
Dnaj (Hsp40) homolog, subfamily B, member 4	AW194338	2.004543412
Homo sapiens SNC73 protein (SNC73) mRNA	AF067420	2.389849308
Carbonic anhydrase II	J03037	2.673670079
Fibroblast growth factor (acidic) intracellular binding protein	AF010187	2.019912668
Nuclear receptor subfamily 4, group A, member 3	U12767	2.754029041
Cerebral cavernous malformations 1	U90268	2.282109314
Dual specificity phosphatase 2	L11329	3.147218499
KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	X55885	2.173020491
Potassium voltage-gated channel, Isk-related family, member 3	NM_005472	2.335736381
Homolog of yeast RRP4 (ribosomal RNA processing 4), 3’-5’-exoribonuclease	AK001916	2.146738091
Myosin VA (heavy polypeptide 12, myoxin)	Y07759	2.195570499
Macrophage stimulating 1 (hepatocyte growth factor-like)	U28055	2.078219276
3-hydroxyanthranilate 3,4-dioxygenase	Z29481	2.021993019
Poly(rC)-binding protein 2	X78136	2.156098447
G protein-coupled receptor 85	NM_018970	2.164202264
Sperm associated antigen 9	BE255696	2.536655853
Angiotensin receptor-like 1	AW770576	2.109913662
Myotubularin related protein 6	AF072928	2.249773563
ADP-ribosylation factor 1	AK000620	2.432699273
Semaphorin Y	AF055020	2.647775788
VRK3 for vaccinia related kinase 3	AB031052	2.404515378
HMT1 (hnrnp methyltransferase, S. Cerevisiae)-like 1	X99209	2.20637901
L-pipecolic acid oxidase	AF134593	2.916549279
Homo sapiens SMAD family member 5 (SMAD5), transcript variant 3, mRNA	NM_001001420	2.384930406
Homo sapiens solute carrier organic anion transporter family, member 1B3 (SLCO1B3), mRNA	NM_019844	2.344859951
Homo sapiens ubiquitin associated protein 1 (UBAP1), mRNA	NM_016525	2.234555907
(Alpha) (ENO1) gene, encodes complete protein	DQ894619	2.345596004
Synthetic construct Homo sapiens gateway clone IMAGE:100020936 3’ read YES1 mRNA	CU690585	2.235505561
