Description of gene	GenBank No.	Fold expression in NPM-ALK+ ALCL	Fold expression in TPM3-ALK+ALCL	Description of function	Level of Expression
A kinase (PRKA) anchor protein (gravin) 12	NM_144497	4.9	3.1	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
B-cell CLL/lymphoma 10 (BCL-10)	BC053617	23.9	9.6	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
CCAAT/enhancer binding protein (C/EBP), beta	AY193834	6.8	2.3	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Chitinase 3-like 1 (cartilage glycoprotein-39)	BC034684	2.7	3.2	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Follicular lymphoma variant translocation 1	NM_002035	2.8	2.5	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Heme oxygenase (decycling) 1	AY460337	5.2	2.5	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Hemopoietic cell kinase	NM_002110	5.2	2.4	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Inhibin, beta A (activin A, activin AB alpha polypeptide)	BC007858	10.7	5.2	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Interleukin 15 receptor, alpha	NM_172200	3.5	3.2	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Interleukin 2 receptor, beta	AF517934	6	3.9	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Lymphotoxin beta receptor (TNFR superfamily, member 3 (LTBR)	NM_002342	1.9	2.1	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
S100 calcium-binding protein A11 (calgizzarin)	NM_005620	3.2	3	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Secreted frizzled-related protein 4	BC058911	3.8	3.3	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Spermidine/spermine N1-acetyltransferase	BC008424	2.8	2.8	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Tumor necrosis factor (ligand) superfamily, member 10	BC032722	1.7	2.6	Cell growth and apoptosis	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Biglycan	BT007323	1.8	2.2	Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Collagen, type VI, alpha 3	NM_057167	11.2	7.2	Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Fibronectin 1	BC005858	5.6	3.8	Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Hexabrachion (tenascin C, cytotactin)	M55618	15.8	4.4	Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Laminin, alpha 4	BC066552	3.5	2.1	Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Fc fragment of IgE, high affinity I, receptor for;  polypeptide	NM_004106	3.9	3.4	Lymphocyte activation, differentiation, and homing	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Interleukin 1 receptor, type I	AF531102	10.7	5.3	Lymphocyte activation, differentiation, and homing	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Lysosomal-associated multispanning membrane protein 5	U51240	2	2.1	Lymphocyte activation, differentiation, and homing	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
AE-binding protein 1	NM_001129	3.7	3.2	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Calponin 1, basic, smooth muscle	BC036307	2.3	2.5	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Collagen, type I, alpha 2	NM_000089	3.3	2.5	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Complement component 1, s subcomponent	NM_021442	2.1	2.1	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
