probe set	Entrez Gene U133A_2.na21	Gene Symbol	Gene Title	Whitfield cell cycle	GO cell cycle
200620_at	9528	TMEM59	transmembrane protein 59	FALSE	FALSE
200632_s_at	10397	NDRG1	N-myc downstream regulated gene 1	FALSE	FALSE
200678_x_at	2896	GRN	granulin	FALSE	FALSE
200743_s_at	1200	TPP1	tripeptidyl peptidase I	FALSE	FALSE
200912_s_at	1974	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	FALSE	FALSE
200921_s_at	694	BTG1	B-cell translocation gene 1, anti-proliferative	FALSE	FALSE
200975_at	5538	PPT1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	FALSE	FALSE
201034_at	120	ADD3	adducin 3 (gamma)	FALSE	FALSE
201057_s_at	2804	GOLGB1	golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	FALSE	FALSE
201125_s_at	3693	ITGB5	integrin, beta 5	FALSE	FALSE
201150_s_at	7078	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	FALSE	FALSE
201285_at	23608	MKRN1	makorin, ring finger protein, 1 /// makorin, ring finger protein, 1	FALSE	FALSE
201310_s_at	9315	C5orf13	chromosome 5 open reading frame 13	FALSE	FALSE
201359_at	1315	COPB1	coatomer protein complex, subunit beta 1	FALSE	FALSE
201383_s_at	4077 /// 653347	NBR1 /// LOC653347	neighbor of BRCA1 gene 1 /// similar to neighbor of BRCA1 gene 1	FALSE	FALSE
201384_s_at	4077 /// 653347	NBR1 /// LOC653347	neighbor of BRCA1 gene 1 /// similar to neighbor of BRCA1 gene 1	FALSE	FALSE
201427_s_at	6414	SEPP1	selenoprotein P, plasma, 1	FALSE	FALSE
201494_at	5547	PRCP	prolylcarboxypeptidase (angiotensinase C)	FALSE	FALSE
201505_at	3912	LAMB1	laminin, beta 1	FALSE	FALSE
201506_at	7045	TGFBI	transforming growth factor, beta-induced, 68kDa	FALSE	FALSE
201540_at	2273	FHL1	four and a half LIM domains 1	FALSE	FALSE
201620_at	8720	MBTPS1	membrane-bound transcription factor peptidase, site 1	FALSE	FALSE
201648_at	3716	JAK1	Janus kinase 1 (a protein tyrosine kinase)	FALSE	FALSE
201682_at	9512	PMPCB	peptidase (mitochondrial processing) beta	FALSE	FALSE
201798_s_at	26509	FER1L3	fer-1-like 3, myoferlin (C. elegans)	FALSE	FALSE
201811_x_at	9467	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	FALSE	FALSE
201814_at	9779	TBC1D5	TBC1 domain family, member 5	FALSE	FALSE
201886_at	80344	WDR23	WD repeat domain 23	FALSE	FALSE
201926_s_at	1604	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	FALSE	FALSE
201928_at	8502	PKP4	plakophilin 4	FALSE	FALSE
201929_s_at	8502	PKP4	plakophilin 4	FALSE	FALSE
201941_at	1362	CPD	carboxypeptidase D	FALSE	FALSE
202003_s_at	10449	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	FALSE	FALSE
202020_s_at	10314	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	FALSE	FALSE
202023_at	1942	EFNA1	ephrin-A1	FALSE	FALSE
202031_s_at	26100	WIPI2	WD repeat domain, phosphoinositide interacting 2	FALSE	FALSE
202033_s_at	9821	RB1CC1	RB1-inducible coiled-coil 1	FALSE	FALSE
202034_x_at	9821	RB1CC1	RB1-inducible coiled-coil 1	FALSE	FALSE
202054_s_at	224	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	FALSE	FALSE
202073_at	10133	OPTN	optineurin	FALSE	FALSE
202074_s_at	10133	OPTN	optineurin	FALSE	FALSE
202098_s_at	3275	PRMT2	protein arginine methyltransferase 2	FALSE	FALSE
202105_at	3476	IGBP1	immunoglobulin (CD79A) binding protein 1	FALSE	FALSE
202163_s_at	9337	CNOT8	CCR4-NOT transcription complex, subunit 8	FALSE	FALSE
202181_at	9766	KIAA0247	KIAA0247	FALSE	FALSE
202239_at	143	PARP4	poly (ADP-ribose) polymerase family, member 4	FALSE	FALSE
202342_s_at	23321	TRIM2	tripartite motif-containing 2	FALSE	FALSE
202364_at	4601	MXI1	MAX interactor 1 /// MAX interactor 1	FALSE	FALSE
202386_s_at	9665	KIAA0430	KIAA0430	FALSE	FALSE
202414_at	2073	ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))	FALSE	FALSE
202421_at	3321	IGSF3	immunoglobulin superfamily, member 3	FALSE	FALSE
202454_s_at	2065	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	FALSE	FALSE
202488_s_at	5349	FXYD3	FXYD domain containing ion transport regulator 3	FALSE	FALSE
202553_s_at	25949	SYF2	SYF2 homolog, RNA splicing factor (S. cerevisiae)	FALSE	FALSE
202590_s_at	5164	PDK2	pyruvate dehydrogenase kinase, isozyme 2	FALSE	FALSE
202599_s_at	8204	NRIP1	nuclear receptor interacting protein 1	FALSE	FALSE
202605_at	2990	GUSB	glucuronidase, beta	FALSE	FALSE
202623_at	55837	C14orf11	chromosome 14 open reading frame 11	FALSE	FALSE
202630_at	10513	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	FALSE	FALSE
202636_at	7844	RNF103	ring finger protein 103	FALSE	FALSE
202650_s_at	9772	KIAA0195	KIAA0195	FALSE	FALSE
202664_at	7456	WASPIP	Wiskott-Aldrich syndrome protein interacting protein	FALSE	FALSE
202710_at	10282	BET1	BET1 homolog (S. cerevisiae)	FALSE	FALSE
202724_s_at	2308	FOXO1A	forkhead box O1A (rhabdomyosarcoma)	FALSE	FALSE
202769_at	901	CCNG2	cyclin G2	FALSE	FALSE
202770_s_at	901	CCNG2	cyclin G2	FALSE	FALSE
202772_at	3155	HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	FALSE	FALSE
202783_at	23530	NNT	nicotinamide nucleotide transhydrogenase	FALSE	FALSE
202838_at	2517	FUCA1	fucosidase, alpha-L- 1, tissue	FALSE	FALSE
202845_s_at	10928	RALBP1	ralA binding protein 1	FALSE	FALSE
202864_s_at	6672	SP100	SP100 nuclear antigen	FALSE	FALSE
202926_at	51594	NAG	neuroblastoma-amplified protein	FALSE	FALSE
202948_at	3554	IL1R1	interleukin 1 receptor, type I	FALSE	FALSE
202963_at	5993	RFX5	regulatory factor X, 5 (influences HLA class II expression)	FALSE	FALSE
202964_s_at	5993	RFX5	regulatory factor X, 5 (influences HLA class II expression)	FALSE	FALSE
203065_s_at	857	CAV1	caveolin 1, caveolae protein, 22kDa	FALSE	FALSE
203066_at	51363	GALNAC4S-6ST	B cell RAG associated protein	FALSE	FALSE
203128_at	9517	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	FALSE	FALSE
203140_at	604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51) /// B-cell CLL/lymphoma 6 (zinc finger protein 51)	FALSE	FALSE
203184_at	2201	FBN2	fibrillin 2 (congenital contractural arachnodactyly)	FALSE	FALSE
203304_at	25805	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	FALSE	FALSE
203310_at	6814	STXBP3	syntaxin binding protein 3	FALSE	FALSE
203317_at	23550	PSD4	pleckstrin and Sec7 domain containing 4	FALSE	FALSE
203333_at	22920	KIFAP3	kinesin-associated protein 3	FALSE	FALSE
203373_at	8835	SOCS2	suppressor of cytokine signaling 2	FALSE	FALSE
203390_s_at	3797	KIF3C	kinesin family member 3C	FALSE	FALSE
203413_at	4753	NELL2	NEL-like 2 (chicken) /// NEL-like 2 (chicken)	FALSE	FALSE
203434_s_at	4311	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	FALSE	FALSE
203445_s_at	10106	CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	FALSE	FALSE
203520_s_at	24149	ZNF318	zinc finger protein 318	FALSE	FALSE
203556_at	22882	ZHX2	zinc fingers and homeoboxes 2	FALSE	FALSE
203562_at	9638	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	FALSE	FALSE
203569_s_at	8481	OFD1	oral-facial-digital syndrome 1	FALSE	FALSE
203638_s_at	2263	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	FALSE	FALSE
203657_s_at	8722	CTSF	cathepsin F	FALSE	FALSE
203685_at	596	BCL2	B-cell CLL/lymphoma 2	FALSE	FALSE
203762_s_at	51626	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	FALSE	FALSE
203763_at	51626	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	FALSE	FALSE
203778_at	4126	MANBA	mannosidase, beta A, lysosomal	FALSE	FALSE
203799_at	9936	CD302	CD302 molecule	FALSE	FALSE
203865_s_at	104	ADARB1	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	FALSE	FALSE
203964_at	9111	NMI	N-myc (and STAT) interactor	FALSE	FALSE
203981_s_at	5826	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	FALSE	FALSE
204019_s_at	26751	SH3YL1	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)	FALSE	FALSE
204045_at	9338	TCEAL1	transcription elongation factor A (SII)-like 1	FALSE	FALSE
204062_s_at	9706	ULK2	unc-51-like kinase 2 (C. elegans)	FALSE	FALSE
204072_s_at	10129	FRY	furry homolog (Drosophila)	FALSE	FALSE
204112_s_at	3176	HNMT	histamine N-methyltransferase	FALSE	FALSE
204137_at	7107	GPR137B	G protein-coupled receptor 137B	FALSE	FALSE
204199_at	9649	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	FALSE	FALSE
204201_s_at	5783	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	FALSE	FALSE
204249_s_at	4005	LMO2	LIM domain only 2 (rhombotin-like 1)	FALSE	FALSE
204297_at	5289	PIK3C3	phosphoinositide-3-kinase, class 3	FALSE	FALSE
204326_x_at	4501	MT1X	metallothionein 1X	FALSE	FALSE
204340_at	8269	CXorf12	chromosome X open reading frame 12	FALSE	FALSE
204353_s_at	25913	POT1	POT1 protection of telomeres 1 homolog (S. pombe)	FALSE	FALSE
204369_at	5290	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	FALSE	FALSE
204388_s_at	4128	MAOA	monoamine oxidase A	FALSE	FALSE
204417_at	2581	GALC	galactosylceramidase	FALSE	FALSE
204485_s_at	10040	TOM1L1	target of myb1-like 1 (chicken)	FALSE	FALSE
204542_at	10610	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	FALSE	FALSE
204546_at	9764	KIAA0513	KIAA0513	FALSE	FALSE
204547_at	10966	RAB40B	RAB40B, member RAS oncogene family	FALSE	FALSE
204554_at	5509	PPP1R3D	protein phosphatase 1, regulatory subunit 3D	FALSE	FALSE
204568_at	22863	KIAA0831	KIAA0831	FALSE	FALSE
204686_at	3667	IRS1	insulin receptor substrate 1	FALSE	FALSE
204724_s_at	1299	COL9A3	collagen, type IX, alpha 3	FALSE	FALSE
204759_at	1102	RCBTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	FALSE	FALSE
204788_s_at	5498	PPOX	protoporphyrinogen oxidase	FALSE	FALSE
204791_at	7181	NR2C1	nuclear receptor subfamily 2, group C, member 1	FALSE	FALSE
204798_at	4602	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	FALSE	FALSE
204859_s_at	317	APAF1	apoptotic peptidase activating factor	FALSE	FALSE
204866_at	9767	PHF16	PHD finger protein 16	FALSE	FALSE
204897_at	5734	PTGER4	prostaglandin E receptor 4 (subtype EP4)	FALSE	FALSE
204916_at	10267	RAMP1	receptor (calcitonin) activity modifying protein 1	FALSE	FALSE
