Cluster	Rank	Signal to Noise value	Signal to Noise value (best of 100%)	Probe ID	GenBank ID	Description
CM	1	2.29	0.84	40392_at	U51096	caudal type homeo box transcription factor 2
CM	2	1.99	0.64	170_at	U51096	caudal type homeo box transcription factor 2
CM	3	1.60	0.64	40736_at	X83228	cadherin 17, LI cadherin (liver-intestine)
CM	4	1.55	0.63	37124_i_at	J04813	cytochrome P450, subfamily IIIA (niphedipine oxidase)
CM	5	1.53	0.61	169_at	U51095	caudal type homeo box transcription factor 1
CM	6	1.48	0.60	40043_at	X71345	serine protease, trypsinogen IV
CM	7	1.40	0.59	35644_at	AB014598	hephaestin
CM	8	1.38	0.59	32972_at	Z83819	NADPH oxidase 1
CM	9	1.38	0.59	38586_at	M10050	fatty acid binding protein 1, liver
CM	10	1.33	0.58	39951_at	L20826	plastin 1 (I isoform)
CM	11	1.30	0.57	988_at	X16354	carcinoembryonic antigen-related cell adhesion molecule 1
CM	12	1.30	0.57	1229_at	U78556	cisplatin resistance associated
CM	13	1.30	0.57	37415_at	AB018258	ATPase, Class V, type 10B
CM	14	1.27	0.57	41708_at	AB028957	KIAA1034 protein
CM	15	1.22	0.56	765_s_at	AB006781	galectin 4
CM	16	1.22	0.56	40694_at	X73502	cytokeratin 20
CM	17	1.20	0.56	39697_at	U26726	hydroxysteroid (11-beta) dehydrogenase 2
CM	18	1.20	0.56	33904_at	AB000714	claudin 3
CM	19	1.20	0.56	33559_at	U61412	protein tyrosine kinase PTK6
CM	20	1.19	0.56	41266_at	X53586	integrin, alpha 6
CM	21	1.19	0.55	35415_at	X12901	villin 1
CM	22	1.19	0.55	36170_at	D83198	protein expressed in thyroid
CM	23	1.18	0.55	37847_at	AB006955	PDZ-73 protein
CM	24	1.16	0.55	34595_at	AF105424	myosin IA
CM	25	1.16	0.55	37125_f_at	J04813	cytochrome P450, subfamily IIIA (niphedipine oxidase)
C1	1	1.29	0.85	36457_at	U10860	guanine monphosphate synthetase
C1	2	1.25	0.79	40117_at	D84557	minichromosome maintenance deficient (mis5, S. pombe) 6
C1	3	1.22	0.75	37337_at	AI803447	small nuclear ribonucleoprotein polypeptide G
C1	4	1.21	0.73	41547_at	AF047472	BUB3 homolog
C1	5	1.17	0.69	1055_g_at	M87339	replication factor C
C1	6	1.17	0.69	38840_s_at	L10678	profilin 2
C1	7	1.14	0.68	38839_at	AL096719	profilin 2
C1	8	1.12	0.68	38065_at	X62534	high-mobility group protein 2
C1	9	1.11	0.68	709_at	J00314	tubulin, beta polypeptide
C1	10	1.09	0.67	41583_at	AC_004770	flap structure-specific endonuclease 1
C1	11	1.07	0.67	34783_s_at	AF047473	BUB3 homolog
C1	12	1.06	0.67	1824_s_at	J05614	proliferating cell nuclear antigen (PCNA)
C1	13	1.05	0.65	40195_at	X14850	H2A histone family, member X
