Accession no.	Symbol	Name	p Value	Fold expression, recurrent disease/NED
NM_020168	PAK6	p21(CDKN1A)-activated kinase 6	0.000737977	50
AF085868		Full-length insert cDNA clone YN88G03	3.39E-05	2.27
NM_018638	EKI1	Ethanolamine kinase	0.000118837	2.04
NM_020699	P66beta	Transcription repressor p66 beta component of the MeCP1 complex	0.00033482	1.92
NM_006729	DIAPH2	Diaphanous homolog 2 (Drosophila)	2.18E-05	1.89
NM_012154	EIF2C2	Eukaryotic translation initiation factor 2C, 2	1.74E-05	1.79
NM_015503	SH2B	SH2-B homolog	0.000785976	1.79
NM_017937	FLJ20712	Hypothetical protein FLJ20712	0.00058567	1.75
NM_013399	C16orf5	Chromosome 16 open reading frame 5	0.000635544	1.61
NM_005821	NBR2	Neighbor of BRCA1 gene 2	0.000522253	1.61
NM_005602	CLDN11	Claudin 11 (oligodendrocyte transmembrane protein)	0.000503758	1.56
NM_003916	AP1S2	Adaptor-related protein complex 1, sigma 2 subunit	0.000125958	1.54
NM_004703	RABEP1	Rabaptin, RAB GTPase binding effector protein 1	0.000351398	1.52
NM_015703	CGI-96	CGI-96 protein	0.000617633	1.49
NM_022372	GBL G	protein beta subunit-like	0.000677695	1.47
NM_017971	MRPL20	Mitochondrial ribosomal protein L20	0.00075945	1.35
