Gene	GenBank ID	Gene name	N+ corr
FTH1	NM_002032	ferritin, heavy polypeptide 1	0.726
COL5A1	NM_000093	COL5A1 protein (collagen 5 type A1 like)	0.627
NCOR2	NM_006312	Nuclear receptor co-repressor 2	0.617
P4HA1	NM_000917	proline 4-hydroxylase alpha polypeptide I	0.572
TNFAIP3	NM_006290	tumour necrosis factor, alpha-induced protein 3	0.536
PLAU	NM_002658	urokinase plasminogen activator (uPA)	0.535
COL5A3	NM_015719	Collagen, type V, alpha 3	0.521
SPOCK	NM_004598	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	0.5
FAP	NM_004460	fibroblast activation protein, alpha	0.498
ADAM12	NM_003474	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	0.482
TPM2	NM_003289	tropomyosin 2 (beta)	0.47
MICAL2	NM_014632	flavoprotein oxidoreductase MICAL2	0.459
D2S448	XM_056455	D2S448 ( Melanoma associated gene )	0.446
PAI-1	NM_000602	plasminogen activator inhibitor type 1	0.44
REN	NM_000537	renin	0.383
POSTN	NM_006475	periostin, osteoblast specific factor	0.367
CKTSF1B1	NM_013372	cysteine knot superfamily 1, BMP antagonist 1 (DRM/GREMLIN)	0.33
IER3	NM_003897	immediate early response 3	0.303
MMD	NM_012329	monocyte to macrophage differentiation-associated	0.3
CTDSP1	NM_021198	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	0.26
PSMD2	NM_002808	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	0.256
MAN1B1	NM_016219	mannosidase, alpha, class 1B, member 1	0.254
DKK3	NM_013253	dickkopf homolog 3 (Xenopus laevis)	0.14
NT5C3	NM_016489	5-nucleotidase, cytosolic III	0.138
DAPK3	NM_001348	death-associated protein kinase 3	0.022
NDUFB4	NM_004547	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa	0.012
UBA52	NM_003333	ubiquitin A-52 residue ribosomal protein fusion product 1	-0.002
C9orf5	NM_032012	chromosome 9 open reading frame 5	-0.075
COPG	NM_016128	Coat protein gamma-cop	-0.081
RGS5	NM_003617	regulator of G-protein signalling 5	-0.097
FLJ12236	AK022298	Homo sapiens cDNA FLJ12236 fis, clone MAMMA1001244	-0.104
IDI1	NM_004508	Isopentenyl-diphosphate delta isomerase	-0.126
RPL37A	NM_000998	ribosomal protein L37a	-0.162
ZDHHC18	NM_032283	Zinc finger DHHC domain containing protein 18	-0.175
MO30	M26463	Homo sapiens immunoglobulin mu chain antibody MO30 (IgM) mRNA, complete cds	-0.194
FLJ20073	NM_017654	Hypothetical protein FLJ20073	-0.215
FLJ30814	AK055376	Homo sapiens cDNA FLJ30814 fis, clone FEBRA2001529	-0.222
PLK2	NM_006622	polo-like kinase 2	-0.23
MMPL1	NM_004142	Matrix metalloproteinase-like 1	-0.23
	Z95126	Human DNA sequence from clone RP1-30P20 on chromosome Xq21.1-21.3	-0.232
BAL	NM_031458	B aggressive lymphoma protein (BAL)	-0.234
OSBP2	NM_030758	Oxysterol binding protein 2	-0.244
PARVB	NM_013327	Parvin, beta	-0.286
CEBPA	NM_004364	CCAAT/enhancer binding protein (C/EBP), alpha	-0.29
ZNF533	NM_152520	zinc finger protein 533	-0.291
ABCA12	NM_015657	ATP-binding cassette, sub-family A (ABC1), member 12	-0.293
LOR	NM_000427	loricrin	-0.322
E2F5	NM_001951	E2F transcription factor 5, p130-binding	-0.356
APM2	NM_006829	Adipose specific 2	-0.36
CAPNS2	NM_032330	CAPNS2 (calpain small subunit 2 )	-0.36
MGC13219	NM_032931	Hypothetical protein MGC13219	-0.367
FLJ22202	NM_024883	Hypothetical protein FLJ22202	-0.383
KRT23	NM_173213	keratin 23 (histone deacetylase inducible)	-0.409
PPT2	NM_005155	palmitoyl-protein thioesterase 2	-0.417
PGBD5	NM_024554	piggyBac transposable element derived 5	-0.469
SSH2	NM_033389	SSH2 (slingshot 2)	-0.475
ALOX12B	NM_001139	arachidonate 12-lipoxygenase, 12R type	-0.48
MAL2	NM_052886	mal, T-cell differentiation protein 2	-0.544
ZD52F1	NM_033317	Hypothetical gene ZD52F1	-0.562
EPPK1	AB107036	Epiplakin 1	-0.566
S100A7	NM_002963	S100 calcium binding protein A7 (psoriasin 1)	-0.58
FLJ22184	NM_025094	Hypothetical protein FLJ22184	-0.586
MAP17	NM_005764	membrane-associated protein 17 (MAP17)	-0.591
FLJ13497	AK023559	Homo sapiens cDNA FLJ13497 fis, clone PLACE14518	-0.603
ECM1	NM_022664	extracellular matrix protein 1	-0.61
TGM3	NM_003245	transglutaminase 3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)	-0.629
RAD17	NM_133344	RAD17 homolog (S. pombe)	-0.631
FLJ30988	AK055550	Homo sapiens cDNA FLJ30988 fis, clone HLUNG1000030	-0.65
C10orf26	NM_017787	chromosome 10 open reading frame 26	-0.653
PALM2	NM_053016	paralemmin 2	-0.655
	NM_014400	GPI-anchored metastasis-associated protein homolog (C4.4A)	-0.665
ECG2	NM_032566	Esophagus cancer-related gene-2 protein precursor (ECRG-2)	-0.67
PPL	NM_002705	periplakin	-0.672
HPCAL1	NM_002149	hippocalcin-like 1	-0.674
