Gene/Gene Symbol	Gene/Name	Gene/Proteome/Description
Ramp1	receptor (calcitonin) activity modifying protein 1	Receptor-activity-modifying protein 1, member of a family of single-transmembrane-domain proteins, coexpression with calcitonin-receptor-like receptor (Calcrl) modulates Calcrl ligand specificity to form a calcitonin gene-related peptide receptor
Il1rn	interleukin 1 receptor antagonist	Interleukin 1 receptor antagonist, an anti-inflammatory cytokine that binds to the IL-1 receptor; increased expression of human IL1RN may be therapeutic for arthritis, multiple myeloma, oseteoporosis, and some cancers
D430041D05Rik	RIKEN cDNA D430041D05 gene	Protein of unknown function
2310007D09Rik	RIKEN cDNA 2310007D09 gene	Member of the DUF1669 domain of unknown function family, which may be phospholipases, has low similarity to uncharacterized mouse AW544981
Kif4	kinesin family member 4	Kinesin family member 4, a developmentally regulated microtubule-dependent motor that may act in mitosis and the transport of membranous organelles along microtubules and may play a role in anterograde axon cargo transport
Fblim1	filamin binding LIM protein 1	Filamin-binding LIM protein-1, a transcriptional coactivator, interacts with transcription factor Nkx2-5, promotes cardiomyocyte differentiation, may play a role in heart development, contains three LIM domains
Gjb5	gap junction membrane channel protein beta 5	Gap junction protein beta 5 (connexin 31.1), has a role in differentiation of keratinocytes and signaling in the preimplantation embryo, may be involved in cell-cell signaling, regulation of cell growth and intercellular transport
Col15a1	procollagen, type XV	Procollagen type XV alpha 1, member of a collagen subfamily with multiple triple helix domains and interruptions, structural component that stabilizes skeletal muscle cells and microvessels; mutation causes skeletal myopathy and cardiovascular defects
Tes	testis derived transcript	Testis derived transcript, a tumor suppressor; human TES is downregulated in prostate cancer and in some breast cancers
Actg2	actin, gamma 2, smooth muscle, enteric	Gamma actin 2, an enteric-type smooth muscle cell structural protein, may have a role in spermatogenesis
Pcdh7	protocadherin 7	BH protocadherin, a cadherin-related protein with three alternative forms with different cytoplasmic tails, predicted to play a role in cell adhesion
Steap2	six transmembrane epithelial antigen of prostate 2	Protein with high similarity to dudulin 2 (human STEAP3), which induces apoptosis, interacts with Myt1 kinase (human PKMYT1) and Nix (human BNIP3L), and modulates the G2-M transition, member of the NADP oxidoreductase coenzyme F420-dependent family
Spp1	secreted phosphoprotein 1	Secreted phosphoprotein-1 (osteopontin), an extracellular matrix glycoprotein and integrin ligand, promotes cell adhesion and migration, and bone resorption; human SPP1 is involved in atherosclerosis, tumor metastasis, and multiple sclerosis
Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3	Aldehyde dehydrogenase 1 family member A3, catalyzes the conversion of all-trans-retinaldehyde to retinoic acid, plays a role in early sensory neurogenesis, involved in the retinoic acid-mediated signaling pathway
Scrg1	scrapie responsive gene 1	Scrapie responsive protein 1, constituent of secretory vesicles, may play a role in neurodegenerative processes caused by pathogens and chemical insult, upregulated in scrapie infected brain; human SCRG1 may be upregulated in Creutzfeldt-Jakob disease
