Gene Symbol	Accesion number	Gene Name	Expression deceased vs 10-year survivors	Gene Ontology, Function	vant Veer/Wang
ADA	NM_000022	adenosine deaminase	Higher	adenosine deaminase activity, hydrolase activity	40179
BCAT1	NM_005504	branched chain aminotransferase 1, cytosolic	Higher	branched-chain-amino-acid transaminase activity, catalytic activity, transferase activity	40179
C9orf164	NM_006378	chromosome 9 open reading frame 164	Higher		0/0
CCDC99	NM_017785	coiled-coil domain containing 99	Higher		36526
CCNB1IP1	NM_182849	cyclin B1 interacting protein 1	Higher	ligase activity, metal ion binding	40179
COMMD9	NM_014186	COMM domain containing 9	Higher		0/1
CPS1	NM_001875	carbamoyl-phosphate synthetase 1, mitochondrial	Higher	ATP binding, carbamoyl-phosphate synthase (ammonia) activity, ligase activity, nucleotide binding, protein binding	40180
E2F2	NM_004091	E2F transcription factor 2	Higher	protein binding, transcription factor activity	40179
F2	NM_000506	coagulation factor II (thrombin)	Higher	calcium ion binding, receptor binding, thrombin activity, thrombin activity	40179
GGH	NM_003878	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	Higher	exopeptidase activity, hydrolase activity	40179
GIT2	NM_014776	G protein-coupled receptor kinase interactor 2	Higher	GTPase activator activity, metal ion binding	40211
GNG10	NM_004125	guanine nucleotide binding protein (G protein), gamma 10	Higher	GTPase activity, heat shock protein binding, signal transducer activity	36526
HPS5	NM_007216	Hermansky-Pudlak syndrome 5	Higher	protein binding	40179
KCNAB2	NM_003636	potassium voltage-gated channel, shaker-related subfamily, beta member 2	Higher	ion channel activity, oxidoreductase activity, potassium channel regulator activity, potassium ion binding	36526
MGC13057	NM_032321	hypothetical protein MGC13057	Higher		0/0
MRTO4	NM_016183	mRNA turnover 4 homolog (S. cerevisiae)	Higher		0/1
MTERF	NM_006980	mitochondrial transcription termination factor	Higher	DNA binding, double-stranded DNA binding, transcription termination factor activity	40179
MYO1G	NM_033054	myosin IG	Higher	ATP binding, motor activity	0/0
NPM3	NM_006993	nucleophosmin/nucleoplasmin, 3	Higher	nucleic acid binding	36526
PIR	NM_003662	pirin (iron-binding nuclear protein)	Higher	metal ion binding, transcription cofactor activity	40179
PLEKHM2	XM_290944	pleckstrin homology domain containing, family M (with RUN domain) member 2	Higher	oxidoreductase activity	0/0
PRPS1L1	NM_175886	phosphoribosyl pyrophosphate synthetase 1-like 1	Higher	kinase activity, lipoate-protein ligase B activity, magnesium ion binding, ribose phosphate diphosphokinase activity, transferase activity	0/1
RAB23	NM_183227	RAB23, member RAS oncogene family	Higher	GTP binding, nucleotide binding	40179
RCN1	NM_002901	reticulocalbin 1, EF-hand calcium binding domain	Higher	calcium ion binding	0/0
	NM_021933	invasion inhibitory protein 45	Higher		36526
SALL4	NM_020436	sal-like 4 (Drosophila)	Higher	DNA binding, metal ion binding, nucleic acid binding, protein binding	0/0
SERPINB9	NM_004155	serpin peptidase inhibitor, clade B (ovalbumin), member 9	Higher	protein binding, serine-type endopeptidase inhibitor activity	40180
SLC35B4	NM_032826	solute carrier family 35, member B4	Higher	UDP-N-acetylglucosamine transporter activity, UDP-xylose transporter activity, nucleotide-sugar transporter activity, sugar porter activity	0/0
SPATA5	NM_145207	spermatogenesis associated 5	Higher	ATP binding, nucleoside-triphosphatase activity, nucleotide binding	0/0
TM4SF5	NM_003963	transmembrane 4 L six family member 5	Higher		36526
TRPV2	NM_016113	transient receptor potential cation channel, subfamily V, member 2	Higher	calcium ion binding, ion channel activity	36557
