Accession No	Description
M81934; S78187	CDC25B; CDC25HU2; M-phase inducer phosphatase 2
M77349	BIGH3
J03040	Secreted protein acidic and rich in cysteine precursor SPARC); osteonectin (ON); basement membrane protein BM40)
X57766	Matrix metalloproteinase 11 (MMP11); stromelysin 3
X54942	Cyclin-dependent kinase regulatory subunit (CKS2)
U78525	Eukaryotic translation initiation factor 3 beta subunit (EIF-3 beta); EIF3 P116
M23619	High mobility group protein (HMG-I)
J04164	Interferon-inducible protein 9–27
X51688	G2/mitotic-specific cyclin A (CCNA; CCN1)
X02761; K00799; K02273	Fibronectin precursor (FN)
V00568	c-myc oncogene
X99133	neutrophil gelatinase-associated lipocalin precursor (NGAL); 25-kD alpha-2-microglobulin-related subunit of MMP9); lipocalin 2; oncogene 24P3
