Gene Symbol	Gene Name
CTSG	Cathepsin G
CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
DARC	Duffy blood group, chemokine receptor
EPHB6	EPH receptor B6
FST	Follistatin
ITGB2	Integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)
KRT17	Keratin 17
NCKAP1L	NCK-associated protein 1-like
PRKG1	Protein kinase, cGMP-dependent, type I
PTGER3	Prostaglandin E receptor 3 (subtype EP3)
RLN1	Relaxin 1
SNCA	Synuclein, alpha (non A4 component of amyloid precursor)
SOCS2	Suppressor of cytokine signaling 2
WNT2	Wingless-type MMTV integration site family member 2
