Code	Accession#	Gene	Ratio	ttest,Pvalue
B04d	D50497	chloridechannelprotein	2.12	0.038
B07l	U15098	glutamatetransporter	1.66	0.032
B07m	U28927	Na+/Cl betaine/GABA transporter	1.69	0.032
B08m	U10096	Na-K-Clcotransporter	2.15	0.018
B09h	L10362	Synapticvesicle protein2B	1.83	0.018
D02j	X62314	somatostatinreceptor 1	-1.65	0.079
D03j	M31838	substanceKreceptor (SKR)	-1.71	0.058
D03k	X56661	gastrin-releasingpeptide receptor	-1.51	0.085
D04g	M34842	thyroidstimulatinghormone receptor	-1.55	0.062
D04n	L02842	folliclestimulatinghormone receptor	-1.80	0.037
D05i	D32045	alpha1Badrenergic receptor	-1.76	0.045
D05l	L05596	Serotoninreceptor1F	-1.81	0.034
D05m	L10072	serotoninreceptor5A	-1.74	0.049
D06d	M88096	Cholecystokininreceptor	-1.53	0.072
D06f	M93273	Somatostatinreceptor2	-1.70	0.06
D06j	U37058	NeuromedinBreceptor	-1.70	0.06
D06k	U40395	cannabinoidreceptor1, neuronal	-1.70	0.064
D07c	Z11690	vasopressin/arginine receptor	-2.10	0.038
D07f	L10073	serotoninreceptor5B	-1.74	0.049
D07m	X63574	somatostatinreceptor3	-1.55	0.064
D08e	J03933	thyroidhormonebeta receptor	-1.69	0.028
D08f	M36074	mineralocorticoidreceptor (MR)	-2.14	0.034
D08g	M14053	glucocorticoidreceptor	-1.84	0.029
D09b	X95579	GABA-Areceptorrho-1 subunit	-1.51	0.086
D09e	Z11716	glutamatereceptor7 (GLUR7)	-2.16	0.031
D09f	L31622	neuronalAChreceptor b2subunit	-1.99	0.015
D09g	M85035	glutamatereceptor2 precursor	-1.53	0.077
D09k	X15467	GABA-Areceptorb-2 subunit	-2.08	0.016
D09l	L08497	GABA-Areceptor gamma-2subunit	-1.72	0.059
D10g	L08493	GABAreceptora 4 subunit	-1.54	0.079
D14i	U37101	granulocytecolony stimulatingfactor	-1.51	0.084
