Symbol	Accession no.	Description	Function
CYP3A4	NM_017460	Cytochrome P450, family 3, subfamily A, polypeptide 4	Biological oxidations
CYP3A5	NM_000777	Cytochrome P450, family 3, subfamily A, polypeptide 5	Biological oxidations
CYP3A7	NM_000765	Cytochrome P450, family 3, subfamily A, polypeptide 7	Biological oxidations
CYP20A1	NM_177538	Cytochrome P450, family 20, subfamily A, polypeptide 1	Biological oxidations
CYP2B6	NM_000767	Cytochrome P450, family 2, subfamily B, polypeptide 6	Biological oxidations
CYP4F11	NM_021187	Cytochrome P450, family 4, subfamily F, polypeptide 11	Biological oxidations
CYP1A1	NM_000499	Cytochrome P450, family 1, subfamily A, polypeptide 1	Biological oxidations
CYP1B1	NM_000104	Cytochrome P450, family 1, subfamily B, polypeptide 1	Biological oxidations
CYP2C9	NM_000771	Cytochrome P450, family 2, subfamily C, polypeptide 9	Biological oxidations
CYP2J2	NM_000775	Cytochrome P450, family 2, subfamily J, polypeptide 2	Biological oxidations
CYP4F8	NM_007253	Cytochrome P450, family 4, subfamily F, polypeptide 8	Biological oxidations
CYP4F12	NM_023944	Cytochrome P450, family 4, subfamily F, polypeptide 12	Biological oxidations
CDC25A	NM_001789	Cell division cycle 25 homolog A (S. pombe)	Cell-cycle checkpoint; G1/S DNA damage checkpoint
CDC25B	NM_021873	Cell division cycle 25 homolog B (S. pombe)	Cell-cycle checkpoint; G1/S DNA damage checkpoint
CDC25C	NM_001790	Cell division cycle 25 homolog C (S. pombe)	Cell-cycle checkpoint; G1/S DNA damage checkpoint
TP53	NM_000546	Tumor protein p53	p53-Dependent G1/S DNA damage checkpoint
CDKN1A	NM_078467	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	p53-Dependent G1/S DNA damage checkpoint
GADD45A	NM_001924	Growth arrest and DNA-damage-inducible-alpha	p53-Dependent G1/S DNA damage checkpoint
GADD45B	NM_015675	Growth arrest and DNA-damage-inducible-beta	p53-Dependent G1/S DNA damage checkpoint
GADD45G	NM_006705	Growth arrest and DNA-damage-inducible-gamma	p53-Dependent G1/S DNA damage checkpoint
TP53INP1	NM_033285	Tumor protein 53 inducible	p53-Dependent G1/S DNA damage checkpoint
TP53I3	NM_004881	Tumor protein p53 inducible nuclear protein 1	p53-Dependent G1/S DNA damage checkpoint
MDM2	NM_002392	Mdm2 p53 binding protein homolog (mouse)	p53-Dependent G1/S DNA damage checkpoint
CCNE1	NM_001238	Cyclin E1	Cell cycle, mitotic; G1/S transition
CDKN1A	NM_078467	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	Cell cycle, mitotic; G1/S transition
CDKN1B	NM_004064	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	Cell cycle, mitotic; G1/S transition
CDC2	NM_001786	Cell division cell cycle 2	Cell cycle, mitotic; G1/S transition
RB1	NM_000321	Retinoblastoma 1	Cell cycle, mitotic; G1/S transition
E2F1	NM_005225	E2F transcription factor 1	DNA Replication / E2F mediated regulation of DNA replication
CDT1	NM_030928	Chromatin licensing and DNA replication factor 1	DNA Replication / E2F mediated regulation of DNA replication
PCNA	NM_002592	Proliferating cell nuclear antigen	DNA Replication / E2F mediated regulation of DNA replication
