Cluster	Genbank	Functional classification	Gene description
	X05323	cell surface antigens	OX2 membrane glycoprotein precursor
N505	AF040963	transcription	MAD4 homolog
	M24857	transcription	retinoic acid receptor gamma 1 (RAR-gamma 1; RARG)
	L29277	transcription	signal transducer and activator of transcription 3 (STAT3); acute-phase response factor (APRF)
	L19872	transcription	aryl hydrocarbon receptor (AH receptor)
	AF006515	transcription	CHD3
	X13403	transcription	octamer-binding transcription factor 1 (oct-1; OTF1); octamer binding protein NF-A1; POU2F1
N505	U69126	transcription	fuse-binding protein 2 (FBP2)
	U84249	transcription	basic-leucine zipper transcription factor MAFG
	U34360	transcription	LAF-4 protein; lymphoid nuclear protein
	M69043	transcription	major histocompatibility complex enhancer-binding protein MAD3
	U69127	transcription	fuse-binding protein 3 (FBP3)
	Z56281	transcription	interferon regulatory factor 3 (IRF3)
	M91083	transcription	putative transcription regulatory protein HRC1
	M25753	cell cycle	G2/mitotic-specific cyclin B1 (CCNB1)
	U25278	cell cycle	extracellular signal-regulated kinase 5 (ERK5); BMK1 kinase
	X80692	cell cycle	extracellular signal-regulated kinase 3 (ERK3); MAP kinase 3 (MAPK3; p97-MAPK); PRKM5
	L25676	cell cycle	cell division protein kinase 9 (CDK9); serine/threonine protein kinase PITALRE
	L29220	cell cycle	CDC-like kinase 3 (CLK3)
	X54942	cell cycle	cyclin-dependent kinase regulatory subunit (CKS2)
	X85753	cell cycle	cell division protein kinase 8 (CDK8); protein kinase K35
	U10564	cell cycle	wee1Hu CDK tyrosine 15-kinase; wee-1-like protein kinase
	U49070	cell cycle	peptidyl-prolyl cis-transisomerase nima-interacting 1 (PIN1)
	U18422	cell cycle	transcription factor DP2 (Humdp2); E2F dimerization partner 2
	L23959	cell cycle	E2F dimerization partner 1; DRTF1-polypeptide 1 (DP1)
	Z11583	cell cycle	NuMA
N505	D63878	cell cycle	NEDD5 protein homolog; DIFF6; KIAA0158
	M63618	cell cycle	bullous pemphigoid antigen 1 (BPAG1; BPA); hemidesmosomal plaque protein
	U18291	cell cycle	CDC16HS
N505	U72649	cell cycle	btg protein precursor; NGF-inducible anti-proliferative protein PC3
	X12654	cell cycle	regulator of chromosome condensation; cell cycle regulatory protein
	Z34289	cell cycle	nucleolar phosphoprotein P130
	U43901	cell adhesion receptors or proteins	40S ribosomal protein SA (RPSA); 34/67-kDa laminin receptor (LAMR1); colon carcinoma laminin-binding protein; NEM/1CHD4
	M34189	cell adhesion receptors or proteins	integrin beta 1 (ITGB1)
	D25303	cell adhesion receptors or proteins	integrin alpha 9 (ITGA9); integrin alpha-RLC
	M62880	cell adhesion receptors or proteins	integrin beta 7 precursor (ITGB7)
	L34058	cell adhesion receptors or proteins	cadherin 13 (CDH13); truncated cadherin precursor (T-cadherin); heart cadherin (H-cadherin)
	M94151	cell adhesion receptors or proteins	alpha-catenin related protein (CAPR); alpha 2 catenin (CTNNA2); alpha N-catenin
N505	X74295	cell adhesion receptors or proteins	integrin alpha 7B precursor (IGA7B)
	L11370	cell adhesion receptors or proteins	protocadherin 42 precursor (PCDH42); cadherin-like protein
N505	X87838	cell adhesion receptors or proteins	beta catenin (CTNNB)
	U60800	cell adhesion receptors or proteins	semaphorin; CD100
N505	X16841	cell adhesion receptors or proteins	neural cell adhesion molecule phosphatidylinositol-linked isoform precursor (NCAM120); CD56 antigen
	U52111	cell adhesion receptors or proteins	plexin-related protein (PLEXR)
	X53586	cell adhesion receptors or proteins	integrin alpha 6 precursor (ITGA6); VLA6; CD49F antigen
	AF002246	cell adhesion receptors or proteins	neural cell adhesion molecule; CALL
	X72925	cell adhesion receptors or proteins	desmocollin 1A/1B precursor (DSC1); desmosomal glycoprotein 2/3 (DG2/DG3)
	M21626	immune system proteins	T cell receptor variable region
