Gene	Refseq	Description	Rank	Risk Association
C3orf41	XM_046264	chromosome 3 open reading frame 41	1	neg
C1orf24	NM_052966	chromosome 1 open reading frame 24	2	pos
PLEK	NM_002664	pleckstrin	3	pos
RHOH	NM_004310	ras homolog gene family, member H	4	pos
PSCDBP	NM_004288	pleckstrin homology, Sec7 and coiled-coil domains, binding protein	5	pos
TCEA2	NM_003195	transcription elongation factor A (Sll) 2	6	neg
FLJ21963	NM_024560	NA	7	neg
CLEC4E	NM_014358	C-type lectin domain family 4, member E	8	pos
USP51	NM_201286	ubiquitin specific peptidase 51	9	neg
WFDC10B	NM_172006	WAP four-disulfide core domain 10B	10	pos
	NA	immunoglobulin heavy locus	11	pos
SLC4A3	NM_005070	solute carrier family 4, anion exchanger, member 3	12	neg
CD53	NM_000560	CD53 molecule	13	pos
LOC401431	NM_001008745	NA	14	neg
SCFV	XM_941394	NA	15	pos
THRAP2	NM_015335	thyroid hormone receptor associated protein 2	16	neg
PRDM13	NM_021620	PR domain containing 13	17	neg
OBSL1	XM_051017	obscurin-like 1	18	neg
C7orf40	NA	chromosome 7 open reading frame 40	19	neg
TAGAP	NM_054114	T-cell activation GTPase activating protein	20	pos
MGC11271	NM_024323	NA	21	neg
IGLV6-57	NA	immunoglobulin lambda variable 6-57	22	pos
CD38	NM_001775	CD38 molecule	23	pos
FKBP9	NM_007270	FK506 binding protein 9, 63 kDa	24	neg
ADAMTSL2	NM_014694	ADAMTS-like 2	25	neg
CD48	NM_001778	CD48 molecule	26	pos
GNPTAB	NM_024312	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	27	pos
DHRS8	NM_016245	dehydrogenase/reductase (SDR family) member 8	28	pos
LOC388886	NM_207644	NA	29	neg
CNIH3	NM_152495	cornichon homolog 3 (Drosophila)	30	neg
PSMA6	NM_002791	proteasome (prosome, macropain) subunit, alpha type, 6	31	pos
CCRK	NM_001039803	cell cycle related kinase	32	neg
SHROOM1	NM_133456	shroom family member 1	33	neg
GPSM1	NM_015597	G-protein signalling modulator 1 (AGS3-like, C. elegans)	34	neg
TRO	NM_001039705	trophinin	35	neg
GSTT2	NM_000854	glutathione S-transferase theta 2	36	neg
NQO2	NM_000904	NAD(P)H dehydrogenase, quinone 2	37	pos
EAF2	NM_018456	ELL associated factor 2	38	pos
MUM1L1	NM_152423	melanoma associated antigen (mutated) 1-like 1	39	neg
MUC4	NM_004532	mucin, 4, cell surface associated	40	pos
C13orf21	NM_001010897	chromosome 13 open reading frame 21	41	neg
PABPC1	NM_002568	poly(A) binding protein, cytoplasmic 1	42	pos
PLA2G7	NM_005084	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	43	pos
PARK2	NM_004562	Parkinson disease (autosomal recessive, juvenile) 2, parkin	44	pos
AOAH	NM_001637	acyloxyacyl hydrolase (neutrophil)	45	pos
	NA	immunoglobulin lambda locus	46	pos
LOC642480	XM_925983	NA	47	pos
TMSB4X	NM_021109	thymosin, beta 4, X-linked	48	pos
LOC390712	XM_372630	NA	49	pos
ACOT8	NM_005469	acyl-CoA thioesterase 8	50	neg
GIMAP7	NM_153236	GTPase, IMAP family member 7	51	pos
LOC375010	XM_927556	NA	52	neg
ASAH1	NM_004315	N-acylsphingosine amidohydrolase (acid ceramidase) 1	53	pos
TRIM45	NM_025188	tripartite motif-containing 45	54	neg
C2orf30	NM_015701	chromosome 2 open reading frame 30	55	pos
EXT2	NM_000401	exostoses (multiple) 2	56	neg
IFI6	NM_002038	interferon, alpha-inducible protein 6	57	pos
KCNE3	NM_005472	potassium voltage-gated channel, lsk-related family, member 3	58	pos
CTSF	NM_003793	cathespin F	59	neg
SULT1C1	NM_001056	sulfotransferase family, cytosolic, 1C, member 1	60	pos
RASL11B	NM_023940	RAS-like, family 11, member B	61	neg
LOC148898	NM_001008896	NA	62	neg
HMGCL	NM_000191	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	63	pos
IGHA1	NA	immunoglobulin heavy constant alpha 1	64	pos
C1QTNF3	NM_030945	C1q and tumor necrosis factor related protein 3	65	neg
C20orf46	NM_018354	NA	66	neg
IL11RA	NM_004512	interleukin 11 receptor, alpha	67	neg
ADRA2C	NM_000683	adrenergic, alpha-2C-, receptor	68	neg
IGKC	NA	immunoglobulin kappa constant	69	pos
CEACAM5	NM_004363	carcinoembryonic antigen-related cell adhesion molecule 5	70	neg
PURB	NM_033224	purine-rich element binding protein B	71	neg
TPD52	NM_001025252	tumor protein D52	72	pos
