probe set	SYMBOL	GeneName	total.gpi	gpi.imp.
206284_x_at	CLTB	clathrin, light chain (Lcb)	0.1969	0.0827
212509_s_at	MXRA7	matrix-remodelling associated 7	0.1969	0.0827
1552607_at	CXorf52	chromosome X open reading frame 52	0.1969	0.0827
223466_x_at	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	0.1969	0.0827
212341_at	YIPF6	Yip1 domain family, member 6	0.1969	0.0827
235009_at	FAM44A	family with sequence similarity 44, member A	0.1927	0.0785
200754_x_at	SFRS2	splicing factor, arginine/serine-rich 2	0.1187	0.0045
200737_at	PGK1	phosphoglycerate kinase 1	0.0955	0.0203
201526_at	ARF5	ADP-ribosylation factor 5	0.0827	0.0827
235190_at	CALM2	calmodulin 2 (phosphorylase kinase, delta)	0.0827	0.0827
239071_at	RBBP4	retinoblastoma binding protein 4	0.0824	0.0785
207500_at	CASP5	caspase 5, apoptosis-related cysteine peptidase	0.0392	0.0392
220956_s_at	EGLN2	egl nine homolog 2 (C. elegans)	0.0352	0.0352
217756_x_at	SERF2	small EDRK-rich factor 2	0.013	0.0089
213114_at	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	0.0097	0.0097
228813_at	HDAC4	histone deacetylase 4	0.007	0.007
224687_at	ANKIB1	ankyrin repeat and IBR domain containing 1	0.0045	0.0045
1565651_at	ARF1	ADP-ribosylation factor 1	0.0025	0.0025
202455_at	HDAC5	histone deacetylase 5	0.0025	0.0025
228111_s_at	DNAH1	dynein, axonemal, heavy chain 1	0.0025	0.0025
230265_at	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	0.0017	0.0017
204840_s_at	EEA1	early endosome antigen 1	0.0016	0.0016
203236_s_at	LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9)	0.0007	0.0007
239363_at	C9orf80	chromosome 9 open reading frame 80	0.0007	0.0007
