ProbeSet	Gene	Abb	RefSeq	UniGene	Entrez	Chromosomal
207918_s_at	testis specific protein, Y-linked 1 /// testis specific protein, Y-linked 2 /// similar to testis specific protein, Y-linked 1 /// similar to testis specific protein, Y-linked 1 /// similar to testis specific protein, Y-linked 1 /// similar to testis spec	TSPY1	NM_003308	Hs.571766	64591, 653168, 653178, 653272, 653280, 653293, 7258	chrYp11.2
214183_s_at	transketolase-like 1	TKTL1	X91817	Hs.102866	8277	chrXq28
207739_s_at	G antigen 1 /// G antigen 2 /// G antigen 3 /// G antigen 4 /// G antigen 5 /// G antigen 6 /// G antigen 7 /// G antigen 7B /// G antigen 8 /// similar to GAGE-4 protein (G antigen 4) /// similar to GAGE-2 protein (G antigen 2) /// similar to GAGE-1 prot	GAGE1	NM_001472	Hs.632814	2543, 2574, 2575, 2576, 2577, 2578, 2579, 26748, 26749, 645009, 645037, 645073, 645093	chrXp11.4-p11.2;chrXp11.23
220205_at	transmembrane phosphatase with tensin homology	TPTE	NM_013315	Hs.122986	7179	chr21p11
208235_x_at	G antigen 7	GAGE7	NM_021123	NA	2579	chrXp11.4-p11.2
208155_x_at	G antigen 4 /// G antigen 5 /// G antigen 6 /// G antigen 7B /// similar to GAGE-4 protein (G antigen 4) /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen)	GAGE4	NM_001476	Hs.632803	2576, 2577, 2578, 26748, 645009, 645073	chrXp11.4-p11.2;chrXp11.23
206640_x_at	G antigen 2 /// G antigen 4 /// G antigen 5 /// G antigen 6 /// G antigen 7 /// G antigen 7B /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to G antigen 7 /// similar to G antigen 7 /// similar to GAGE-1 protein (G antigen 1) (MZ2	GAGE2	NM_001477	Hs.632808	2574, 2576, 2577, 2578, 2579, 26748, 645043, 645051, 645061, 645073, 645083, 645093	chrXp11.23;chrXp11.4-p11.2
207086_x_at	G antigen 2 /// G antigen 4 /// G antigen 5 /// G antigen 6 /// G antigen 7 /// G antigen 7B /// G antigen 8 /// similar to GAGE-4 protein (G antigen 4) /// similar to GAGE-1 protein (G antigen 1) (MZ2-F antigen) /// similar to G antigen 7 /// similar to	GAGE2	NM_001474	Hs.632814	2574, 2576, 2577, 2578, 2579, 26748, 26749, 645009, 645043, 645051, 645061, 645073, 645083, 645093	chrXp11.23;chrXp11.4-p11.2
216370_s_at	transketolase-like 1	TKTL1	Z49258	Hs.102866	8277	chrXq28
228260_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	ELAVL2	AL161628	Hs.166109	1993	chr9p21
223861_at	HORMA domain containing 1	HORMAD1	AL136755	Hs.298312	84072	chr1q21.2
231114_at	spermatogenesis associated 22	SPATA22	BF438413	Hs.351068	84690	chr17p13.3
1558668_s_at	spermatogenesis associated 22	SPATA22	AW072392	Hs.351068	84690	chr17p13.3
221630_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	DDX4	AY004154	Hs.223581	54514	chr5p15.2-p13.1
223883_s_at	serine/threonine kinase 31	STK31	AF332194	Hs.309767	56164	chr7p15.3
206218_at	melanoma antigen family B, 2	MAGEB2	NM_002364	Hs.113824	4113	chrXp21.3
207663_x_at	G antigen 3	GAGE3	NM_001473	NA	2575	chrXp11.4-p11.2
231368_at	family with sequence similarity 44, member C	FAM44C	AI016643	Hs.127882	284257	chr18q21.31
206310_at	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	SPINK2	NM_021114	Hs.98243	6691	chr4q12
227372_s_at	BAI1-associated protein 2-like 1	BAIAP2L1	AA496034	Hs.584939	55971	chr7q21.3
209942_x_at	melanoma antigen family A, 3	MAGEA3	BC000340	Hs.417816	4102	chrXq28
204379_s_at	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	FGFR3	NM_000142	Hs.1420	2261	chr4p16.3
237956_s_at	hypothetical gene LOC133874	LOC133874	BF061926	Hs.519749	133874	chr5q35.1
232760_at	testis expressed sequence 15	TEX15	AL133653	Hs.458316	56154	chr8p12
216471_x_at	synovial sarcoma, X breakpoint 2 /// similar to synovial sarcoma, X breakpoint 2 isoform b	SSX2	X79200	Hs.289105	653088, 6757	chrXp11.23-p11.22;chrXp11.22
214397_at	methyl-CpG binding domain protein 2	MBD2	AI827820	Hs.25674	8932	chr18q21
223673_at	regulatory factor X, 4 (influences HLA class II expression)	RFX4	AF332192	Hs.388827	5992	chr12q24
221611_s_at	PHD finger protein 7	PHF7	AY014283	Hs.372719	51533	chr3p21.1
235700_at	cancer/testis antigen CT45-2 /// cancer/testis antigen CT45-3 /// cancer/testis antigen CT45-4 /// cancer/testis antigen CT45-5 /// cancer/testis antigen CT45-6 /// cancer/testis antigen CT45-1 /// similar to cancer/testis antigen CT45		AI581344	Hs.535080	158852, 441519, 441520, 441521, 541465, 541466, 653515	chrXq26.3
210147_at	ADP-ribosyltransferase 3	ART3	U47054	Hs.24976	419	chr4p15.1-p14|4p15.1-p14|4p15.1-p14
207022_s_at	lactate dehydrogenase C	LDHC	NM_002301	NA	3948	chr11p15.5-p15.3
227711_at	family with sequence similarity 112, member B	FAM112B	BG150433	Hs.524476	121355	chr12q13.2
221037_s_at	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31 /// solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	SLC25A31	NM_031291	Hs.149030	83447	chr4q28.1
201292_at	topoisomerase (DNA) II alpha 170kDa	TOP2A	AL561834	Hs.156346	7153	chr17q21-q22
230718_at	heat shock transcription factor family member 5	HSF5	AL137385	Hs.380061	124535	chr17q22
219945_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	DDX25	NM_013264	Hs.420263	29118	chr11q24
210497_x_at	synovial sarcoma, X breakpoint 2 /// similar to synovial sarcoma, X breakpoint 2 isoform b	SSX2	BC002818	Hs.289105	653088, 6757	chrXp11.23-p11.22;chrXp11.22
223906_s_at	testis expressed sequence 101	TEX101	AY014285	Hs.97978	83639	chr19q13.31
231442_at	zona pellucida binding protein 2	ZPBP2	AI743536	Hs.367245	124626	chr17q12
219148_at	PDZ binding kinase	PBK	NM_018492	Hs.104741	55872	chr8p21.2
231448_at	testis nuclear RNA-binding protein	Tenr	AW341495	Hs.518957	132612	chr4q27
220378_at	t-complex 11 (mouse)	TCP11	NM_018679	Hs.435371	6954	chr6p21.3-p21.2
215622_x_at	PHD finger protein 7	PHF7	AL137671	Hs.372719	51533	chr3p21.1
206112_at	ankyrin repeat domain 7	ANKRD7	NM_019644	Hs.563443	56311	chr7q31
214612_x_at	melanoma antigen family A, 6	MAGEA6	U10691	Hs.441113	4105	chrXq28
221035_s_at	testis expressed sequence 14 /// testis expressed sequence 14	TEX14	NM_031272	Hs.390221	56155	chr17q22
216917_s_at	synaptonemal complex protein 1	SYCP1	X95654	Hs.112743	6847	chr1p13-p12
228323_at	cancer susceptibility candidate 5	CASC5	BF248364	Hs.181855	57082	chr15q14
230896_at	coiled-coil domain containing 4	CCDC4	AA833830	Hs.120591	389206	chr4p13
223609_at	ropporin 1-like	ROPN1L	AF239723	Hs.381089	83853	chr5p15.2
241224_x_at	Down syndrome critical region gene 8	DSCR8	AA770014	Hs.192371	84677	chr21q22.2
220004_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	DDX43	NM_018665	Hs.125507	55510	chr6q12-q13
218883_s_at	MLF1 interacting protein	MLF1IP	NM_024629	Hs.575032	79682	chr4q35.1
204822_at	TTK protein kinase	TTK	NM_003318	Hs.169840	7272	chr6q13-q21
210352_at	bromodomain containing 8	BRD8	AL136823	Hs.519337	10902	chr5q31
206018_at	forkhead box G1B	FOXG1B	NM_005249	Hs.632336	2290	chr14q12-q13
207493_x_at	synovial sarcoma, X breakpoint 2	SSX2	NM_003147	Hs.558712	6757	chrXp11.23-p11.22
206626_x_at	synovial sarcoma, X breakpoint 1 /// similar to synovial sarcoma, X breakpoint 9	SSX1	BC001003	Hs.434142	652630, 6756	chrXp11.23-p11.22
238021_s_at	hypothetical protein LOC643911 /// hypothetical protein LOC650242	LOC643911	AA954994	Hs.237396	643911, 650242	chr16q12.2
218585_s_at	denticleless homolog (Drosophila)	DTL	NM_016448	Hs.632496	51514	---
207021_at	zona pellucida binding protein	ZPBP	NM_007009	Hs.388841	11055	chr7p14.3
214157_at	GNAS complex locus	GNAS	AA401492	Hs.125898	2778	chr20q13.3
216351_x_at	deleted in azoospermia 1 /// deleted in azoospermia 3 /// deleted in azoospermia 2 /// deleted in azoospermia 4	DAZ1	AF248483	Hs.592257	1617, 57054, 57055, 57135	chrYq11.223
216323_x_at	alpha-tubulin isotype H2-alpha	H2ALPHA	K03460	Hs.503749	113457	chr2q21.1
205406_s_at	sperm autoantigenic protein 17	SPA17	NM_017425	Hs.286233	53340	chr11q24.2
1555758_a_at	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	CDKN3	AF213040	Hs.84113	1033	chr14q22
222680_s_at	denticleless homolog (Drosophila)	DTL	AK001261	Hs.632496	51514	---
204641_at	NIMA (never in mitosis gene a)-related kinase 2	NEK2	NM_002497	Hs.153704	4751	chr1q32.2-q41
215215_s_at	exonuclease NEF-sp	LOC81691	AC_004381	Hs.177926	81691	chr16p12.2
208307_at	RNA binding motif protein, Y-linked, family 1, member A1 /// RNA binding motif protein, Y-linked, family 1, member F /// RNA binding motif protein, Y-linked, family 1, member B /// RNA binding motif protein, Y-linked, family 1, member D /// RNA binding mo	RBMY1A1	NM_005058	Hs.567746	159163, 378948, 378949, 378950, 378951, 5940	chrYq11.223
228285_at	tudor domain containing 9	TDRD9	AI989706	Hs.21454	122402	chr14q32.33
202705_at	cyclin B2	CCNB2	NM_004701	Hs.194698	9133	chr15q22.2
216922_x_at	deleted in azoospermia 1 /// deleted in azoospermia 3 /// deleted in azoospermia 2 /// deleted in azoospermia 4	DAZ1	AF271088	Hs.592257	1617, 57054, 57055, 57135	chrYq11.223
210394_x_at	synovial sarcoma, X breakpoint 4 /// synovial sarcoma, X breakpoint 4B	SSX4	BC005325	Hs.558402	548313, 6759	chrXp11.23
207912_s_at	deleted in azoospermia 1 /// deleted in azoospermia 3 /// deleted in azoospermia 2 /// deleted in azoospermia 4	DAZ1	NM_004081	Hs.592257	1617, 57054, 57055, 57135	chrYq11.223
1562209_at	hypothetical protein LOC285429	LOC285429	BU561160	Hs.213307	285429	chr4p13
232196_at	chromosome 21 open reading frame 13	C21orf13	AI825840	Hs.517284	150082	chr21q22.2
201291_s_at	topoisomerase (DNA) II alpha 170kDa	TOP2A	AU159942	Hs.156346	7153	chr17q21-q22
207208_at	testes-specific heterogenous nuclear ribonucleoprotein G-T	HNRNPGT	NM_014469	Hs.121605	27288	chr11p15
236811_at	DMRT-like family C2	DMRTC2	AI651482	Hs.350507	63946	chr19q13.2
238022_at	hypothetical protein LOC643911 /// hypothetical protein LOC650242	LOC643911	AA954994	Hs.237396	643911, 650242	chr16q12.2
219955_at	LINE-1 type transposase domain containing 1	L1TD1	NM_019079	Hs.562195	54596	chr1p31.3
208281_x_at	deleted in azoospermia 1 /// deleted in azoospermia 3 /// deleted in azoospermia 2 /// deleted in azoospermia 4	DAZ1	NM_020364	Hs.592257	1617, 57054, 57055, 57135	chrYq11.223
231310_at	Transcribed locus	NA	BF057073	Hs.113170	NA	NA
209642_at	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	AF043294	Hs.469649	699	chr2q14
211538_s_at	heat shock 70kDa protein 2	HSPA2	U56725	Hs.432648	3306	chr14q24.1
240313_at	DMRT-like family B with proline-rich C-terminal, 1	DMRTB1	AI198850	Hs.131654	63948	chr1p32.3
1552445_a_at	extraembryonic, spermatogenesis, homeobox 1 homolog (mouse)	ESX1	NM_153448	Hs.223782	80712	chrXq22.1
219578_s_at	cytoplasmic polyadenylation element binding protein 1	CPEB1	NM_030594	Hs.547988	64506	chr15q25.2
207666_x_at	synovial sarcoma, X breakpoint 3	SSX3	NM_021014	Hs.558445	10214	chrXp11.23
205347_s_at	thymosin-like 8	TMSL8	NM_021992	Hs.56145	11013	chrXq21.33-q22.3
231339_at	TSPY-like 6	TSPYL6	AA776761	Hs.620508	388951	chr2p16.2
238116_at	dynein, light chain, roadblock-type 2	DYNLRB2	AW959427	Hs.98849	83657	chr16q23.3
222253_s_at	POM121-like protein	DKFZP434P211	AL117484	Hs.534980	29774	chr22q11.22
1552326_a_at	coiled-coil domain containing 11	CCDC11	NM_145020	Hs.132701	220136	chr18q21.1
220051_at	protease, serine, 21 (testisin)	PRSS21	NM_006799	Hs.72026	10942	chr16p13.3
1567912_s_at	cancer/testis antigen CT45-2 /// cancer/testis antigen CT45-3 /// cancer/testis antigen CT45-4 /// cancer/testis antigen CT45-5 /// cancer/testis antigen CT45-6 /// cancer/testis antigen CT45-1 /// similar to cancer/testis antigen CT45		U31738	Hs.535080	158852, 441519, 441520, 441521, 541465, 541466, 653515	chrXq26.3
241828_x_at	keratin pseudogene	LOC339240	AW593129	Hs.420616	339240	chr17p11.2
231178_at	spermatogenesis associated 4	SPATA4	BG150360	Hs.481235	132851	chr4q34.2
231568_at	hypothetical protein LOC255313 /// similar to hypothetical protein LOC255313 /// similar to hypothetical protein LOC255313 /// similar to hypothetical protein LOC255313 /// similar to hypothetical protein LOC255313 /// similar to hypothetical protein LOC2		AI200804	Hs.461085	255313, 653266, 653273, 653278, 653282, 653285, 653289, 653290, 653294, 653295, 653296	chrXq24
206740_x_at	synaptonemal complex protein 1	SYCP1	NM_003176	Hs.112743	6847	chr1p13-p12
202871_at	TNF receptor-associated factor 4	TRAF4	NM_004295	Hs.8375	9618	chr17q11-q12
231265_at	cytochrome c oxidase subunit VIIb2	COX7B2	AI126453	Hs.479656	170712	chr4p12
204033_at	thyroid hormone receptor interactor 13	TRIP13	NM_004237	Hs.436187	9319	chr5p15.33
208107_s_at	exonuclease NEF-sp /// exonuclease NEF-sp	LOC81691	NM_030941	Hs.177926	81691	chr16p12.2
