Probe Set	FC(C)	P(C)	Gene	Gene ID	Unigene	Chromosome	Description
204729_s_at	-5	0.00003	STX1A	6804	Hs.488683	7q11.23	syntaxin 1A (brain)
217250_s_at	-7	0.00005	CHD5	26038	Hs.522898	1p36.23	chromodomain helicase DNA binding protein 5
209819_at	-8	0.00007	HABP4	22927	Hs.494567	9q22.3-q31	hyaluronan binding protein 4
216541_x_at	-7	0.00007	IGHG1	3500	Hs.375600	14q32.33	immunoglobulin heavy constant gamma 1 (G1m marker)
212342_at	-5	0.00007	MGC21416	286451	Hs.82719	Xq12	hypothetical protein MGC21416
205304_s_at	-20	0.0001	KCNJ8	3764	Hs.102308	12p11.23	potassium inwardly-rectifying channel, subfamily J, member 8
215439_x_at	-3	0.0002	SYNPO2	171024	Hs.480615	4q27	synaptopodin 2
212647_at	-4	0.0003	RRAS	6237	Hs.515536	19q13.3-qTER	related RAS viral (r-ras) oncogene homolog
208353_x_at	-3	0.0003	ANK1	286	Hs.491558	8p11.1	ankyrin 1, erythrocytic
215735_s_at	-3	0.0004	TSC2	7249	Hs.90303	16p13.3	tuberous sclerosis 2
214022_s_at	-3	0.0005	IFITM1	8519	Hs.458414	11p15.5	interferon induced transmembrane protein 1 (9-27)
212707_s_at	-6	0.0007	RASA4	10156	Hs.520599	7q22-q31.1	RAS p21 protein activator 4
211296_x_at	-2	0.0007	UBC	7316	Hs.520348	2p16	ribosomal protein S27a
215725_at	-6	0.0008	DGCR11	25786	Hs.517357	22q11.21	DiGeorge syndrome critical region gene 11
211819_s_at	-2	0.0008	SORBS1	10580	Hs.38621	10q23.3-q24.1	sorbin and SH3 domain containing 1
212225_at	-51	0.0009	SUI1	10209	Hs.150580	17q21.31	putative translation initiation factor
219391_at	-6	0.0009	BPNT1	10380	Hs.406134	1q42.11	3(2), 5-bisphosphate nucleotidase 1
207574_s_at	-13	0.001	GADD45B	4616	Hs.110571	19p13.3	growth arrest and DNA-damage-inducible, beta
202992_at	-3	0.001	C7	730	Hs.78065	5p13	complement component 7
209189_at	-3	0.001	FOS	2353	Hs.25647	14q24.3	v-fos FBJ murine osteosarcoma viral oncogene homolog
218224_at	-3	0.001	PNMA1	9240	Hs.194709	14q24.2	paraneoplastic antigen MA1
206032_at	-23	0.002	DSC3	1825	Hs.41690	18q12.1	desmocollin 3
210904_s_at	-13	0.002	IL13RA1	3597	Hs.496646	Xq24	interleukin 13 receptor, alpha 1
210224_at	-12	0.002	MR1	3140	Hs.101840	1q25.3	major histocompatibility complex, class I-related
214484_s_at	-11	0.002	OPRS1	10280	Hs.522087	9p13.2	opioid receptor, sigma 1
219262_at	-11	0.002	SUV39H2	79723	Hs.85567	10p13	suppressor of variegation 3-9 homolog 2 (Drosophila)
214640_at	-10	0.002	UNC93A	54346	Hs.267749	6q27	unc-93 homolog A (C. elegans)
