Gene Name	Access No.	Differential gene expression
KIAA0148 gene	D63482
KIAA0256 gene	D87445
Serine/Threonine Kinase (Gb:Z25424)	HG2702
Mucin 1, Epithelial, Alt. Splice 9	HG371
mRNA fragment	L24783
clone S31i125	L40397
FRG1	L76159
cytochrome C oxidase subunit Vb (cox Vb)	M19961
glucose transporter-like protein-III (GLUT3)	M20681
GTP-binding protein (RAB2)	M28213
ech1	U16660
cbl-b	U26710
lymphoid-specific SP100 homolog	U36500
CtBP	U37408
dynactin	U73799
hypothetical protein A4	U81556
DNA-PK interaction protein (KIP)	U85611
protein kinase C (PKC) type beta I	X06318
alpha-tubulin	X06956
rab2 (YPT1-related; member of ras family)	X12953
spasmolytic polypeptide (SP)	X51698
HMG-2	X62534
proline rich homeobox (Prh) protein	X67235
G9a	X69838
MADER	X70991
BAP31	X81817
coronin	X89109
