Probe set	Gene Symbol	Accession	Entrez Gene ID	Cytoband	p-value
218520_at	TBK1	NM_013254	29110	12q14.1	1,85E-11
207072_at	IL18RAP	NM_003853	8807	2q12	1,90E-11
1554406_a_at	CLEC7A	BC013385	64581	12p13.2	2,26E-11
213524_s_at	G0S2	NM_015714	50486	1q32.2|1q32.2-q41	2,93E-11
220088_at	C5AR1	NM_001736	728	19q13.3-q13.4	3,08E-11
213300_at	ATG2A	AW168132	23130	11q13.1	4,38E-11
217916_s_at	FAM49B	NM_016623	51571	8q24.21	5,47E-11
1555756_a_at	CLEC7A	AF400600	64581	12p13.2	2,30E-10
210785_s_at	C1orf38	AB035482	9473	1p35.3	2,33E-10
201858_s_at	SRGN	J03223	5552	10q22.1	2,53E-10
208704_x_at	APLP2	BC000373	334	11q23-q25|11q24	3,78E-10
217992_s_at	EFHD2	NM_024329	79180	1p36.21	3,84E-10
221698_s_at	CLEC7A	AF313468	64581	12p13.2	4,36E-10
203185_at	RASSF2	NM_014737	9770	20pter-p12.1	4,73E-10
202859_x_at	IL8	NM_000584	3576	4q13-q21	5,46E-10
223376_s_at	BRI3	AB055977	25798	7q21.3	5,60E-10
200663_at	CD63	NM_001780	967	12q12-q13	5,77E-10
208248_x_at	APLP2	NM_001642	334	11q23-q25|11q24	6,84E-10
220404_at	GPR97	NM_014076	222487	16q13	7,14E-10
222483_at	EFHD2	AW664179	79180	1p36.21	7,53E-10
204351_at	S100P	NM_005980	6286	4p16	1,07E-09
208869_s_at	GABARAPL1	AF087847	23710	12p13.2	1,09E-09
207571_x_at	C1orf38	NM_004848	9473	1p35.3	1,25E-09
226123_at	CHD7	AI870918	55636	8q12.2	1,65E-09
220034_at	IRAK3	NM_007199	11213	12q14.3	1,89E-09
204122_at	TYROBP	NM_003332	7305	19q13.1	3,01E-09
205180_s_at	ADAM8	NM_001109	101	10q26.3	3,36E-09
202391_at	BASP1	NM_006317	10409	5p15.1-p14	3,58E-09
204181_s_at	ZBTB43	T90308	23099	9q33-q34	4,15E-09
212531_at	LCN2	NM_005564	3934	9q34	5,66E-09
228588_s_at	UBE2B	AI499236	7320	5q23-q31	5,83E-09
214084_x_at	LOC648998	AW072388	NA	NA	6,97E-09
221156_x_at	CCPG1	NM_004748	9236	15q21.1	8,56E-09
203765_at	GCA	NM_012198	25801	2q24.2	8,78E-09
217947_at	CMTM6	NM_017801	54918	3p22.3	8,90E-09
201110_s_at	THBS1	NM_003246	7057	15q15	1,13E-08
221675_s_at	CHPT1	AF195624	56994	12q	1,14E-08
227184_at	NA	BF508702	NA	NA	1,17E-08
212501_at	CEBPB	AL564683	1051	20q13.1	1,31E-08
205119_s_at	FPR1	NM_002029	2357	19q13.4	1,94E-08
201136_at	PLP2	NM_002668	5355	Xp11.23	1,97E-08
201087_at	PXN	NM_002859	5829	12q24.31	2,25E-08
220330_s_at	SAMSN1	NM_022136	64092	21q11	2,41E-08
209222_s_at	OSBPL2	BC000296	9885	20q13.3	3,30E-08
202114_at	SNX2	NM_003100	6643	5q23	3,55E-08
202130_at	RIOK3	AA725102	8780	18q11.2	3,62E-08
201155_s_at	MFN2	NM_014874	9927	1p36.22	4,96E-08
231990_at	USP15	AK023703	9958	12q14	5,51E-08
227073_at	NA	N50665	10746	NA	5,82E-08
217739_s_at	NAMPT	NM_005746	10135	7q22.2	6,23E-08
202388_at	RGS2	NM_002923	5997	1q31	6,54E-08
214696_at	C17orf91	AF070569	84981	17p13.3	6,55E-08
201061_s_at	STOM	M81635	2040	9q34.1	7,21E-08
208308_s_at	GPI /// LOC100133951	NM_000175	2821	19q13.1	7,25E-08
202018_s_at	LTF	NM_002343	4057	3p21.31	7,94E-08
211458_s_at	GABARAPL1 /// GABARAPL3	AF180519	23710 /// 23766	12p13.2 /// 15q26.1	8,10E-08
227983_at	RILPL2	AI810244	196383	12q24.31	8,12E-08
221484_at	B4GALT5	BF691447	9334	20q13.1-q13.2	8,36E-08
211926_s_at	MYH9	AI827941	4627	22q13.1	8,43E-08
225192_at	C10orf46	AA044726	143384	10q26.11	9,07E-08
200954_at	ATP6V0C	NM_001694	527	16p13.3	9,15E-08
222619_at	ZNF281	AU150752	23528	1q32.1	9,21E-08
210980_s_at	ASAH1	U47674	427	8p22-p21.3	1,02E-07
223423_at	GPR160	BC000181	26996	3q26.2-q27	1,03E-07
219582_at	OGFRL1	NM_024576	79627	6q13	1,06E-07
212975_at	DENND3	AB020677	22898	8q24.3	1,06E-07
223047_at	CMTM6	AF116694	54918	3p22.3	1,08E-07
207945_s_at	CSNK1D	NM_001893	1453	17q25	1,14E-07
201925_s_at	CD55	NM_000574	1604	1q32	1,19E-07
1552773_at	CLEC4D	BC032313	338339	12p13.31	1,23E-07
36994_at	ATP6V0C	M62762	527	16p13.3	1,42E-07
202625_at	LYN	AI356412	4067	8q13	1,46E-07
213902_at	ASAH1	AI379338	427	8p22-p21.3	1,52E-07
221654_s_at	USP3	AF077040	9960	15q22.3	1,53E-07
226979_at	MAP3K2	AI125541	10746	2q14.3	1,70E-07
226876_at	FAM101B	AI961778	359845	17p13	1,80E-07
202848_s_at	GRK6	BG423052	2870	5q35	1,85E-07
218871_x_at	CSGALNACT2	NM_018590	55454	10q11.21	2,11E-07
207269_at	DEFA4	NM_001925	1669	8p23	2,35E-07
218091_at	AGFG1	AI989512	3267	2q36.3	2,47E-07
204158_s_at	TCIRG1	NM_006019	10312	11q13.2	2,77E-07
227150_at	MTF1	N46867	4520	1p33	2,79E-07
218217_at	SCPEP1	NM_021626	59342	17q22	3,10E-07
