Gene symbol	Accession number	Gene description	Gbm/Mm ratio	Selection frequency
GFAP	AA069414	Glial fibrillary acidic protein	413	16
PTPRZ1	AA476460	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	356	9
GPM6B	AA284329	Glycoprotein M6B	133	9
PRELP	AA131664	Proline/arginine-rich end leucine-rich repeat protein	0.042	9
FABP7	W72051	Fatty acid binding protein 7, brain	220	7
EGFL3	AA975413	EGF-like-domain, multiple 3	0.299	7
PDE4B	AA453293	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	26	5
OMD	N32201	Osteomodulin	0.011	5
LAPTM4A	AA398233	Lysosomal-associated protein transmembrane 4 alpha	0.346	5
USP25	AA479313	Ubiquitin specific peptidase 25	0.11	5
NFATC3	AA293819	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	0.399	4
CTGF	AA598794	Connective tissue growth factor	0.106	4
PIGT	H83225	Phosphatidylinositol glycan, class T	0.508	4
FLJ39155	R08141	Hypothetical protein FLJ39155	0.019	4
DSP	H90899	Desmoplakin	0.004	4
GAS1	AA025819	Growth arrest-specific 1	0.084	4
PLK1	AA629262	Polo-like kinase 1 (Drosophila)	4.3	4
NEK6	AA463188	NIMA (never in mitosis gene a)-related kinase 6	3.9	4
TNXB	T58430	Similar to tenascin XB isoform 1; tenascin XB1; tenascin XB2; hexabrachion-like [Pan troglodytes]	0.118	4
LHX2	AA018276	LIM homeobox 2	36	4
MGC21621	W52061	MAS-related GPR, member F	0.041	4
PDGFD	AI005125	Platelet derived growth factor D	0.034	4
IL27RA	AI088984	Interleukin 27 receptor alpha	2.1	4
-	AI249137	Transcribed locus	0.205	4
CCND1	R81200	Cyclin D1	0.109	4
NCAM2	AI306467	Neural cell adhesion molecule 2	6.2	4
SH3GL3	AI359676	SH3-domain GRB2-like 3	0.079	4
MT2A	BF131311	Metallothionein 2A	11	4
NUDT1	AA443998	Nudix (nucleoside diphosphate linked moiety X)-type motif 1	2.7	4
RARRES2	AA481944	Retinoic acid receptor responder (tazarotene induced) 2	0.196	3
SMARCD3	AA035796	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	2.1	3
HYAL1	AA464791	Hyaluronoglucosaminidase 1	0.159	3
CDK2AP1	R78607	CDK2-associated protein 1	2	3
CTNND2	H04985	Catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	44	3
CYB5	R92281	Cytochrome b5 type A (microsomal)	0.333	3
CA2	H23187	Carbonic anhydrase II	16	3
OAT	AA446819	Ornithine aminotransferase (gyrate atrophy)	0.383	3
GPM6A	AA448033	Glycoprotein M6A	90	3
HSPC195	R63735	CXXC finger 5	4.2	3
ZMYM6	W81504	Zinc finger, MYM-type 6	0.567	3
PPARGC1A	N89673	Peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	0.257	3
TEK	H02848	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	0.14	3
APM2	AA478298	Chromosome 10 open reading frame 116	0.034	3
FGL2	H56349	Fibrinogen-like 2	0.022	3
CDH2	W49619	Cadherin 2, type 1, N-cadherin (neuronal)	20	3
CANPL1	H15456	Calpain 1, (mu/I) large subunit	0.532	3
GPR17	R44664	G protein-coupled receptor 17	45	3
LOC119504	AA004832	Chromosome 10 open reading frame 104	0.504	3
-	W52340	-	0.355	3
DHRS3	AA171606	Dehydrogenase/reductase (SDR family) member 3	0.217	3
SIPA1L1	AA417567	Signal-induced proliferation-associated 1 like 1	0.351	3
JAM2	AA410345	Junctional adhesion molecule 2	0.094	3
IFITM2	AA862371	Interferon induced transmembrane protein 2 (1-8D)	0.313	3
POLR1C	AA733038	Polymerase (RNA) I polypeptide C, 30kDa	1.9	3
GPC3	AA775872	Glypican 3	0.171	3
TNFSF11	AA504211	Tumor necrosis factor (ligand) superfamily, member 11	0.201	3
NUDC	AA702639	Nuclear distribution gene C homolog (A. nidulans)	2	3
TSPAN13	W86202	Tetraspanin 13	13.86	3
EBF	AA488889	Early B-cell factor	0.33	3
TSPYL5	AA626024	TSPY-like 5	0.409	3
-	AA699870	-	0.144	3
LR8	AA987621	LR8 protein	6.1	3
IFITM2	AA985421	Interferon induced transmembrane protein 2 (1-8D)	0.311	3
MT3	AI362950	Metallothionein 3 (growth inhibitory factor (neurotrophic))	30	3
PIK3C2B	AA923518	Phosphoinositide-3-kinase, class 2, beta polypeptide	0.189	3
MAPK8IP1	AI206407	Mitogen-activated protein kinase 8 interacting protein 1	7.6	3
RALGDS	AI131235	Ral guanine nucleotide dissociation stimulator	2.8	3
ELAVL4	AI458073	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	38	3
SOX2OT	AI056507	SOX2 overlapping transcript (non-coding RNA)	30	3
MT2A	AI866473	Metallothionein 2A	15	3
MARCKSL1	AA961735	MARCKS-like 1	6.4	3
PCOLCE	BE259979	Procollagen C-endopeptidase enhancer	0.098	3
C20orf22	R83863	Chromosome 20 open reading frame 22	2.509	3
FOLR1	N91535	Folate receptor 1 (adult)	0.084	3
RTN4RL1	AA453794	Reticulon 4 receptor-like 1	0.104	3
BCAS1	BM666673	Breast carcinoma amplified sequence 1	22	3
TP53I11	BU741540	Tumor protein p53 inducible protein 11	0.07	3
TNFAIP6	W93163	Tumor necrosis factor, alpha-induced protein 6	4.3	2
ZNF286	AA464729	Peroxisome proliferative activated receptor, alpha-like	5.5	2
NID2	AA479199	Nidogen 2 (osteonidogen)	0.098	2
NRCAM	R25521	Neuronal cell adhesion molecule	10	2
UBE2C	AA430504	Ubiquitin-conjugating enzyme E2C	16	2
KCNQ2	H51461	Potassium voltage-gated channel, KQT-like subfamily, member 2	25	2
H2AFX	H95424	H2A histone family, member X	3.2	2
PKP2	H66158	Plakophilin 2	0.022	2
TRIM22	AA083407	Tripartite motif-containing 22	0.383	2
ALDH7A1	AA101299	Aldehyde dehydrogenase 7 family, member A1	0.314	2
ALCAM	R13558	Activated leukocyte cell adhesion molecule	0.092	2
THBS4	AA437064	Thrombospondin 4	11	2
LTBP2	AA424629	Latent transforming growth factor beta binding protein 2	0.035	2
IGFBP6	AA478724	Insulin-like growth factor binding protein 6	0.046	2
CITED1	AA432143	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	19	2
MBTPS1	AA447393	Membrane-bound transcription factor peptidase, site 1	0.527	2
PROCR	T47442	Protein C receptor, endothelial (EPCR)	0.252	2
GCH1	AA443688	GTP cyclohydrolase 1 (dopa-responsive dystonia)	0.321	2
ENO2	AA450189	Enolase 2 (gamma, neuronal)	14	2
RALB	W15297	V-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	2.3	2
FNDC3A	R36431	Fibronectin type III domain containing 3A	0.321	2
SERPINA3	T80924	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	14	2
ITGA10	H44722	Integrin, alpha 10	0.091	2
FYN	N66144	FYN oncogene related to SRC, FGR, YES	3.7	2
ITM2B	AA453275	Integral membrane protein 2B	0.395	2
SOCS2	AA137031	Suppressor of cytokine signaling 2	3.9	2
PCF11	W73811	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	0.317	2
PCGF4	T87515	Polycomb group ring finger 4	0.337	2
GOLPH2	AA454597	Golgi phosphoprotein 2	2.6	2
TSPAN4	AA100696	Tetraspanin 4	0.127	2
LOC115098	W69741	Hypothetical protein BC013949	2.2	2
ITM2A	N53447	Integral membrane protein 2A	0.476	2
PRKCD	AA496360	Protein kinase C, delta	0.386	2
ELMO1	H17121	Engulfment and cell motility 1	4.8	2
CNTNAP1	AA028905	Contactin associated protein 1	3.7	2
FCGRT	AA430668	Fc fragment of IgG, receptor, transporter, alpha	0.446	2
CX3CL1	R66139	Chemokine (C-X3-C motif) ligand 1	2.4	2
CRABP1	AA421218	Cellular retinoic acid binding protein 1	0.036	2
BMP4	AA463225	Bone morphogenetic protein 4	0.031	2
ADORA2B	AA055350	Adenosine A2b receptor	0.092	2
TRIM26	AA490855	Tripartite motif-containing 26	0.403	2
MAFG	N21609	V-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	1.5	2
C8orf4	H16793	Chromosome 8 open reading frame 4	26	2
-	N64139	-	0.139	2
C9orf140	AA088458	Chromosome 9 open reading frame 140	15	2
CLIC2	T52201	Chloride intracellular channel 2	0.241	2
EIF4EBP2	H15159	Eukaryotic translation initiation factor 4E binding protein 2	0.283	2
C16orf61	AA181314	Chromosome 16 open reading frame 61	2.2	2
CNTNAP1	H18963	Contactin associated protein 1	3.331	2
TNFRSF11B	AA194983	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	0.03	2
SPRY2	AA453759	Sprouty homolog 2 (Drosophila)	4.6	2
SFRP2	AA449300	Secreted frizzled-related protein 2	0.212	2
-	R60328	-	1.5	2
RIPK1	AA426324	Receptor (TNFRSF)-interacting serine-threonine kinase 1	0.631	2
-	AA455087	CDNA clone IMAGE:5302158	0.057	2
PRKACB	AA459980	Protein kinase, cAMP-dependent, catalytic, beta	5	2
UPP1	AA099568	Uridine phosphorylase 1	11	2
GAS7	R54060	Growth arrest-specific 7	8.7	2
TUBA3	AA865469	Tubulin, alpha 3	6.4	2
MMP2	AA936799	Matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	0.165	2
ATF1	H54451	Activating transcription factor 1	0.371	2
EIF5	H40023	Eukaryotic translation initiation factor 5	2.3	2
LDB1	AA421335	LIM domain binding 1	0.232	2
PSRC1	N48162	Proline/serine-rich coiled-coil 1	16	2
EFEMP2	AA682527	EGF-containing fibulin-like extracellular matrix protein 2	0.252	2
