Gene (symbol, name)	Accession	Fold Experiment 1~	Fold Experiment 2
Prpg2, proline-rich proteoglycan	L17318	27	28
Slc2a1, facilitated glucose transporter 1	S68135	4.3	2.7
Ncl, Nucleolin	AA799893	4.3	2.5
EST189091, mitochondrial cytochrome B	AA799594	4	2.9
Itpkb, Inositol 1,4,5-trisphosphate 3-kinase B	X74227	3.5	4.1
RCL	U82591	3	2.3
Hrmt1l2, hnRNP methyltransferase-like 2	U60882	2.7	2.5
Ldh2, lactate dehydrogenase 2, B chain	U07181	2.5	2.4
Phgdh, 3-phosphoglycerate dehydrogenase	X97772	2.2	2.4
Slc16a1, solute carrier family 16, member 1	D63834	2.2	2.3
Anxa4, annexin A4	AI171167	-2.3	-2.1
Pls3, plastin 3 (T-isoform)	X70706	-2.4	-2.7
Casp3, caspase 3, apoptosis related cysteine protease	U49930	-2.5	-3.4
Thbs1, thrombospondin 1	AA964755	-2.5	-2.7
Myo1b, myosin IB	X68199	-2.5	-2.4
Oas1c, 2-5 oligoadenylate synthetase 1C	Z18877	-2.5	-2.5
Rb1, retinoblastoma 1	D25233	-2.6	-2.2
Bdnf, brain derived neurotrophic factor	AI030286	-2.6	-5.7
MHC class Ib RT1.S3	AF029240	-2.7	-3
Dusp6, dual specificity phosphatase 6	X94185	-2.8	-2.3
Canx, calnexin	AA893328	-2.8	-2.3
Il1rap, interleukin 1 receptor accessory protein	AI639056	-2.9	-3.3
Vldlr, very low density lipoprotein receptor	L35767	-2.9	-2.9
F3, coagulation factor III	U07619	-2.9	-3.2
Dusp1, dual specificity phosphatase 1	U02553	-3	-2.3
Cast, calpastatin	Y13590	-3	-2.7
Rock1, Rho-associated coiled-coil forming kinase 1	U61266	-3	-2.6
Ier3, immediate early response 3	X96437	-3.3	-3.6
Vig1, viral hemorrhagic septicemia virus induced gene 1	Y07704	-3.4	-3.5
Dusp6, dual specificity phosphatase 6	U42627	-3.4	-2.7
Ugt1a6, UDP glycosyltransferase 1 family, polypeptide A6	J02612	-3.4	-2.6
Gbp2, guanylate nucleotide binding protein 2	M80367	-3.7	-6.4
Scyb10, sm. inducible cytokine B subfamily (Cys-X-Cys), member 10	U17035	-4.2	-3.8
Lims11, LIM and senescent cell antigen-like domains 1-like	AA799637	-4.3	-3.8
Edn1, endothelin 1	M64711	-4.4	-4
Ugt1a6, UDP glycosyltransferase 1 family, polypeptide A6	S56937	-4.7	-2.4
Irf7, interferon regulatory factor 7	AA799861	-4.9	-4.4
Tpm1, tropomyosin 1, alpha	M60666	-5.3	-5.8
Ugt1a1, UDP-glucuronosyltransferase 1 family, member 1	D38066	-5.5	-4
Vig1, viral hemorrhagic septicemia virus induced gene 1	Y07704	-5.6	-7
Osf2, osteoblast specific factor 2 (fasciclin I-like)	AA894092	-5.9	-7.9
Cald1, caldesmon 1	AI180288	-6.7	-3.6
Fn1, fibronectin 1	U82612	-7.2	-2.2
cdkn2b, cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	S79760	-7.4	-2.5
Fn1, fibronectin 1	U82612	-8.8	-2.9
Cd48, CD48 antigen	X13016	-9.6	-2.6
Irf7, interferon regulatory factor 7	AA799861	-12	-9
