Category	Gene Description	Signal Log Ratio	Probe Set ID	GenBank ID
Growth factor	Brain-derived neurotrophic factor (BDNF)	-1.1	102727_at	X55573
Growth factor	Glial cell line–derived neurotrophic factor (GDNF)	-1	92738_at	D49921
Metabolic enzyme	Carbonic anhydrase 3	-1.8	160375_at	NM_007606
Metabolic enzyme	Cytochrome P450, 2e1, ethanol inducible	-1.5	93996_at	X01026
Metabolic enzyme	Pyruvate dehydrogenase kinase, isoenzyme 4	-1.2	102049_at	AJ001418
Metabolic enzyme	Flavin-containing monooxygenase 3	-1	104421_at	U87147
Metabolic enzyme	Lysyl oxidase	-1	160095_at	NM_010728
Other	Myelodysplasia/myeloid leukemia factor 1 (Mlf1)	-2.6	102061_at	AF100171
Other	Single WAP motif protein 2	-2.5	161317_r_at	NM_138684
Other	Inactive X specific transcripts (Xist)	-2	99126_at	L04961
Other	Semaphorin C (Sema4B)	-1.5	94637_at	X85992
Other	Adipocyte specific protein adipoQ	-1.4	99104_at	U49915
Other	hnRNP A1	-1.4	100371_at	U65316
Other	Solute carrier family 38, member 4	-1.3	104286_at	NM_027052
Other	Ethanol induced gene product EIG180	-1.2	96132_at	AB023957
Other	S100 calcium binding protein A9 (MRP14)	-1.2	103887_at	M83219
Other	Cofilin 2	-1.1	97549_at	L29468
Other	DEAD box polypeptide 6 (RNA helicase)	-1	93965_r_at	AF038995
Other	Importin  1	-1	101370_at	U20619
Other	Protocadherin  4	-1	160610_at	NM_007766
Protease	Adipsin	-1.5	99671_at	X04673
Protease	Granzyme A	-1.1	102995_s_at	M13226
Receptor	Natriuretic peptide receptor 3	-2.2	99806_at	D78175
Receptor	Serotonin 4 receptor (m5-HT4(e))	-1.8	95322_g_at	Y09588
Receptor	Mannose receptor, C type 2	-1.2	100759_at	U56734
Receptor	Neuropeptide Y receptor Y6	-1.2	99811_at	U59430
Receptor	Lyve-1	-1.1	160583_at	NM_053247
Receptor	Thrombomodulin	-1	104601_at	X14432
Signal transduction	GRB2-associated binding protein 1 (Gab1)	-2.8	93902_at	AJ250669
Signal transduction	Numb	-1.2	161912_r_at	NM_010949
Signal transduction	Protein kinase C lambda	-1.1	101148_at	D28577
Signal transduction	Signal-induced proliferation associated 1 (Sipa1)	-1.1	162007_i_at	NM_011379
Structural protein	Matrin 3	-3.3	96013_r_at	NM_010771
Structural protein	Myelin basic protein	-1.4	96311_at	M11533
Structural protein	Tubulin, 4	-1.2	101419_at	M28730
Structural protein	Sciellin	-1	161132_at	NM_022886
Transcription factor	Nuclear factor of activated T-cells, cytoplasmic 3 (NFATx)	-1.4	97975_at	D85612
Transcription factor	SRY-box containing gene 11 (Sox11)	-1	101631_at	AF009414
Transcription factor	Transducin-like enhancer of split 4 (Tle4)	-1	102959_at	U61363
Transcription factor	FosB	-1	103990_at	X14897
