Function	Number Gene	Genbank accession #	UniGene Cluster	Gene name	Gene Symbol	Interaction coefficient
Cytokines and Signal Transduction	1	NM_013532	Mm.34408	Glycoprotein 49 A	Gp49a	?1.79013
Cytokines and Signal Transduction	2	BG070062	Mm.288474	Secreted phosphoprotein 1	Spp1 (Opn)	?1.6526
Cytokines and Signal Transduction	3	BG069799	Mm.15969	A disintegrin and metallopeptidase domain 8	Adam8	?1.24105
Cytokines and Signal Transduction	4	BG082965	Mm.260576	Cyclin-dependent kinase 8	Cdk8	?1.23927
Cytokines and Signal Transduction	5	NM_015774	Mm.387108	ERO1-like (S. cerevisiae)	Ero1l	?1.00756
Cytokines and Signal Transduction	6	NM_032399	Mm.60267	G protein-coupled receptor 87	Gpr87	?1.0007
Cytokines and Signal Transduction	7	NM_019713	Mm.12091	Ras association (RalGDS/AF-6) domain family 1	Rassf1	?0.99885
Cytokines and Signal Transduction	8	NM_026268	Mm.1791	Dual specificity phosphatase 6	Dusp6	?0.86992
Cytokines and Signal Transduction	9	BG079038	Mm.276018	Tribbles homolog 3 (Drosophila)	Trib3	?0.8096
Cytokines and Signal Transduction	10	BG086439	Mm.238343	Annexin A2	Anxa2	?0.74672
Cytokines and Signal Transduction	11	L41495	Mm.347478	Proviral integration site 2	Pim2	?0.74022
Cytokines and Signal Transduction	12	NM_010548	Mm.874	Interleukin 10	Il10	?0.71692
Cytokines and Signal Transduction	13	NM_020583	Mm.322843	Interferon-stimulated protein	Isg20	?0.63816
Cytokines and Signal Transduction	14	BG066974	Mm.430719	Testis derived transcript	Tes	?0.6363
Cytokines and Signal Transduction	15	BG067869	Mm.196208	Regulator of G-protein signaling 12	Rgs12	?0.6039
Cytokines and Signal Transduction	16	BG077508	Mm.1620	Annexin A5	Anxa5	?0.59878
Cytokines and Signal Transduction	17	NM_021424	Mm.335096	Poliovirus receptor-related 1	Pvrl1	?0.58521
Cytokines and Signal Transduction	18	NM_011073	Mm.240313	Perforin 1 (pore forming protein)	Prf1	?0.57143
Cytokines and Signal Transduction	19	BC003483	Mm.215481	Metastasis suppressor 1	Mtss1	?0.54825
Cytokines and Signal Transduction	20	BG078710	Mm.214593	Protein kinase C substrate 80K-H	Prkcsh	?0.52679
Cytokines and Signal Transduction	21	NM_025626	Mm.277864	Presenilin associated, rhomboid-like	Parl	?0.52136
Cytokines and Signal Transduction	22	NM_013698	Mm.3264	TXK tyrosine kinase	Txk	?0.51309
Cytokines and Signal Transduction	23	BG080553	Mm.44490	Doublecortin and CaM kinase-like 2	Dcamkl2	?0.48578
Cytokines and Signal Transduction	24	BG083856	Mm.4479	RalBP1 associated Eps domain containing protein	Reps1	?0.47689
Cytokines and Signal Transduction	25	BG083209	Mm.271671	Cytochrome b-245, alpha polypeptide	Cyba	?0.47455
Cytokines and Signal Transduction	26	BG077940	Mm.726	Basigin	Bsg	?0.43794
Cytokines and Signal Transduction	27	BG082197	Mm.24789	PAK1 interacting protein 1	Pak1ip1	0.391238
Cytokines and Signal Transduction	28	AW539080	Mm.222328	Importin 7	Ipo7	0.417513
Transcription and Translation Regulation, DNA Binding	29	BG071896	Mm.3752	RAN binding protein 1	Ranbp1	0.44568
Transcription and Translation Regulation, DNA Binding	30	NM_010144	Mm.34533	Eph receptor B4	Ephb4	0.470473
Transcription and Translation Regulation, DNA Binding	31	BG077751	Mm.263862	Prohibitin	Phb	0.510289
Transcription and Translation Regulation, DNA Binding	32	BG076484	Mm.295252	Peptidylprolyl isomerase D (cyclophilin D)	Ppid	0.580396
Transcription and Translation Regulation, DNA Binding	33	NM_013732	Mm.75498	Cocaine and amphetamine regulated transcript	Cartpt	0.625259
Transcription and Translation Regulation, DNA Binding	34	AK019897	Mm.366315	Oxysterol binding protein-like 9	Osbpl9	0.692002
Transcription and Translation Regulation, DNA Binding	35	AJ006803	Mm.329616	Neurexin II	Nrxn2	0.710851
Transcription and Translation Regulation, DNA Binding	36	AK018097	Mm.3085	Plexin D1	Plxnd1	0.721937
Transcription and Translation Regulation, DNA Binding	37	BG087286	Mm.258771	Protein tyrosine phosphatase, receptor type, S	Ptprs	0.815511
Transcription and Translation Regulation, DNA Binding	38	BG064672	Mm.3243	Protein C receptor, endothelial	Procr	0.857868
Transcription and Translation Regulation, DNA Binding	39	BG088369	Mm.252009	Suppression of tumorigenicity 5	St5	0.871605
Transcription and Translation Regulation, DNA Binding	40	NM_008348	Mm.379327	Interleukin 10 receptor, alpha	Il10ra	0.942385
Transcription and Translation Regulation, DNA Binding	41	AW558525	Mm.2981	Vaccinia related kinase 1	Vrk1	1.004139
Transcription and Translation Regulation, DNA Binding	42	BG070901	Mm.379796	Eukaryotic translation initiation factor 1A	Eif1a	?1.84674
Transcription and Translation Regulation, DNA Binding	43	BG080716	Mm.339593	Polymerase (RNA) II (DNA directed) polypeptide C	Polr2c	?1.68391
Transcription and Translation Regulation, DNA Binding	44	BC006699	Mm.273277	Tripartite motif protein 29	Trim29	?0.9048
Transcription and Translation Regulation, DNA Binding	45	AK012296	Mm.182769	RNA binding motif protein 17	Rbm17	?0.87099
Transcription and Translation Regulation, DNA Binding	46	NM_007837	Mm.110220	DNA-damage inducible transcript 3	Ddit3	?0.70233
Transcription and Translation Regulation, DNA Binding	47	BG080846	Mm.275071	Jun oncogene	Jun	?0.62382
Transcription and Translation Regulation, DNA Binding	48	NM_016660	Mm.4438	High mobility group AT-hook 1	Hmga1	?0.59593
Transcription and Translation Regulation, DNA Binding	49	BG079828	Mm.31129	Poly (ADP-ribose) polymerase family, member 16	Parp16	?0.45268
Transcription and Translation Regulation, DNA Binding	50	AK013316	Mm.25643	Sirtuin 6 (silent mating type information regulation 2, homolog) 6 (S. cerevisiae)	Sirt6	?0.44866
Transcription and Translation Regulation, DNA Binding	51	NM_030255	Mm.284059	Apolipoprotein B editing complex 3	Apobec3	?0.41742
Transcription and Translation Regulation, DNA Binding	52	BG079434	Mm.28688	Seryl-aminoacyl-tRNA synthetase	Sars	?0.3557
Transcription and Translation Regulation, DNA Binding	53	BG076710	Mm.27545	Protein arginine N-methyltransferase 1	Prmt1	0.365222
Transcription and Translation Regulation, DNA Binding	54	BG063337	Mm.46401	Son cell proliferation protein	Son	0.377999
Transcription and Translation Regulation, DNA Binding	55	AA409079	Mm.2870	Replication protein A2	Rpa2	0.39616
Transcription and Translation Regulation, DNA Binding	56	BG071000	Mm.12864	IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)	Imp3	0.398133
Transcription and Translation Regulation, DNA Binding	57	BG077590	Mm.215034	Matrin 3	Matr3	0.480175
Transcription and Translation Regulation, DNA Binding	58	AK003850	Mm.29865	Proline rich 13	Prr13	0.489693
Transcription and Translation Regulation, DNA Binding	59	BG086346	Mm.28291	Ribosomal L1 domain containing 1	Rsl1d1	0.502184
Transcription and Translation Regulation, DNA Binding	60	BG087100	Mm.29709	Origin recognition complex, subunit 6-like (S. cerevisiae)	Orc6l	0.515435
Transcription and Translation Regulation, DNA Binding	61	BG086038	Mm.2930	Peter pan homolog (Drosophila)	Ppan	0.576785
Transcription and Translation Regulation, DNA Binding	62	BG075357	Mm.4933	Minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	Mcm6	0.579061
Transcription and Translation Regulation, DNA Binding	63	BG073002	Mm.290251	Cellular nucleic acid binding protein 1	Cnbp	0.579867
Transcription and Translation Regulation, DNA Binding	64	AK017618	Mm.254530	Rap1 interacting factor 1 homolog (yeast)	Rif1	0.595858
Transcription and Translation Regulation, DNA Binding	65	BG077012	Mm.20912	Cell division cycle 6 homolog (S. cerevisiae)	Cdc6	0.597688
Transcription and Translation Regulation, DNA Binding	66	AF357390	Mm.305750	Ribosomal protein L27a	Rpl27a	0.663038
Transcription and Translation Regulation, DNA Binding	67	AK003296	Mm.139418	Sestrin 1	Sesn1	0.669297
Transcription and Translation Regulation, DNA Binding	68	BG082459	Mm.2444	Myelocytomatosis oncogene	Myc	0.676134
Transcription and Translation Regulation, DNA Binding	69	BG088719	Mm.252421	Integrator complex subunit 10	Ints10	0.709356
Transcription and Translation Regulation, DNA Binding	70	NM_009687	Mm.203	Apurinic/apyrimidinic endonuclease 1	Apex1	0.816374
Transcription and Translation Regulation, DNA Binding	71	AK017757	Mm.209175	Myeloid/lymphoid or mixed lineage-leukemia translocation to 10 homolog (Drosophila)	Mllt10	0.89778
Transcription and Translation Regulation, DNA Binding	72	AK006608	Mm.57286	GC-rich promoter binding protein 1	Gpbp1	0.912386
Transcription and Translation Regulation, DNA Binding	73	NM_019938	Mm.42166	Polyamine modulated factor 1 binding protein 1	Pmfbp1	0.93994
Transcription and Translation Regulation, DNA Binding	74	AU042511	Mm.17932	Purine-nucleoside phosphorylase	Pnp	0.970954
Transcription and Translation Regulation, DNA Binding	75	NM_010902	Mm.1025	Nuclear factor, erythroid derived 2, like 2	Nfe2l2	1.024469
Metabolism	76	BG085499	Mm.2734	Spermidine/spermine N1-acetyl transferase 1	Sat1	?1.18406
Metabolism	77	BG077732	Mm.276389	Heme oxygenase (decycling) 1	Hmox1	?0.73325
Metabolism	78	BG071211	Mm.272847	Asparaginase like 1	Asrgl1	?0.67484
Metabolism	79	NM_010373	Mm.14424	Granzyme E	Gzme	?0.64772
Metabolism	80	NM_013778	Mm.27447	Aldo-keto reductase family 1, member C13	Akr1c13	?0.60148
Metabolism	81	NM_007784	Mm.295878	Casein alpha	Csna	?0.58429
Metabolism	82	BG069839	Mm.196574	Glyoxylate reductase/hydroxypyruvate reductase	Grhpr	?0.44552
Metabolism	83	BG076621	Mm.330160	Heat shock 70kD protein 5 (glucose-regulated protein)	Hspa5	?0.39706
Metabolism	84	BG087043	Mm.290774	Heat shock protein 8	Hspa8	0.396295
Metabolism	85	BG077995	Mm.3317	Glucuronidase, beta	Gusb	0.411535
Metabolism	86	BG064829	Mm.341186	Heat shock protein 90kDa alpha (cytosolic), class A member 1	Hsp90aa1	0.422467
Metabolism	87	BG063843	Mm.30072	Cytochrome c oxidase subunit VIIa polypeptide 2-like	Cox7a2l	0.456976
Metabolism	88	BG077143	Mm.236443	Fatty acid synthase	Fasn	0.593321
Metabolism	89	BG083594	Mm.291799	Retinol dehydrogenase 11	Rdh11	0.657414
Metabolism	90	BG082887	Mm.258462	Glycine cleavage system protein H (aminomethyl carrier)	Gcsh	0.657741
Metabolism	91	NM_024444	Mm.160020	Cytochrome P450, family 4, subfamily f, polypeptide 18	Cyp4f18	0.66332
Metabolism	92	BG064988	Mm.202337	Phosphoribosyl pyrophosphate amidotransferase	Ppat	0.664059
Metabolism	93	NM_008828	Mm.336205	Phosphoglycerate kinase 1	Pgk1	0.684212
Metabolism	94	M35797	Mm.229342	Acetyl-Coenzyme A acetyltransferase 2	Acat2	0.741882
Metabolism	95	BG085521	Mm.241152	ATPase family, AAA domain containing 3A	Atad3a	0.745079
Metabolism	96	BG065061	Mm.29815	Methionine adenosyltransferase II, alpha	Mat2a	0.780292
Metabolism	97	NM_008437	Mm.383181	Napsin A aspartic peptidase	Napsa	0.858235
Metabolism	98	AK020181	Mm.180953	Carbonic anhydrase 5b, mitochondrial	Car5b	1.092852
Metabolism	99	NM_008081	Mm.340702	Beta-1,4-N-acetyl-galactosaminyl transferase 2	B4galnt2	1.132612
Proteasome	100	BG070919	Mm.389330	Ubiquitin protein ligase E3 component n-recognin 1	Ubr1	?0.71804
Proteasome	101	AK008671	Mm.235738	Mindbomb homolog 2 (Drosophila)	Mib2	?0.66906
Proteasome	102	AW539669	Mm.40828	Sequestosome 1	Sqstm1	?0.52997
Proteasome	103	C78821	Mm.256910	Ubiquitin specific peptidase 10	Usp10	0.413124
Proteasome	104	BG072746	Mm.18347	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	Psmd7	0.426303
Proteasome	105	BC003446	Mm.41417	Glomulin, FKBP associated protein	Glmn	0.479623
Proteasome	106	BG069742	Mm.10702	Calcyclin binding protein	Cacybp	0.51705
Proteasome	107	BG081667	Mm.11935	F-box only protein 34	Fbxo34	0.751014
Cytoskeleton Orga	108	BG076620	Mm.249311	Myosin IE	Myo1e	?0.7464
Cytoskeleton Orga	109	BC003867	Mm.52297	Formin binding protein 1	Fnbp1	?0.65289
Cytoskeleton Orga	110	BG075073	Mm.142729	Thymosin, beta 4, X chromosome	Tmsb4x	?0.56543
Cytoskeleton Orga	111	BG076976	Mm.43831	Lectin, galactose binding, soluble 1	Lgals1	?0.52901
Unknown Function	112	NM_009447	Mm.1155	Tubulin, alpha 4 Tuba4		0.693075
Unknown Function	113	BG086016	Mm.121878	Tropomyosin 1, alpha	Tpm1	0.951844
Unknown Function	114	AK017597	Mm.33645	Talin 2	Tln2	1.136514
Unknown Function	115	NM_008729	Mm.321648	Catenin (cadherin associated protein), delta 2	Ctnnd2	1.355028
Unknown Function	116	NM_015756	Mm.46014	Shroom	Shrm	1.519791
Unknown Function	117	BG080590	Mm.205421	Fibronectin type III domain containing 3a	Fndc3a	?1.70118
Unknown Function	118	AK004796	Mm.393871	RIKEN cDNA 1700030N03 gene	1700030N03Rik	?1.55955
Unknown Function	119	AF259073	Data not found	M.musculus T-cell receptor alpha-chain V-D-J-region	L1Md-Gf253	?0.78804
Unknown Function	120	AF141311	Mm.45161	RIKEN cDNA 2310016C08 gene	2310016C08Rik	?0.75116
Unknown Function	121	BG088756	Mm.196290	RIKEN cDNA 5830411E10 gene	5830411E10Rik	?0.67114
Unknown Function	122	AK010747	Mm.164436	RIKEN cDNA 2410089E03 gene	2410089E03Rik	?0.67111
Unknown Function	123	BG086834	Mm.275728	RIKEN cDNA 6330549H03 gene	6330549H03Rik	?0.6221
Unknown Function	124	BG075660	Mm.278597	RIKEN cDNA 1500035H01 gene	1500035H01Rik	?0.42681
Unknown Function	125	BG082420	Mm.290183	DNA segment, Chr 19, ERATO Doi 737, expressed	D19Ertd737e	?0.38877
Unknown Function	126	BG067260	Mm.2136	COX4 neighbor	Cox4nb	0.379664
Unknown Function	127	BG064814	Mm.256034	RIKEN cDNA 0610031J06 gene	0610031J06Rik	0.471337
Unknown Function	128	AF357394	Mm.258912	RIKEN cDNA 2310005L22 gene	2310005L22Rik	0.473306
Unknown Function	129	BG078431	Mm.257762	WD repeat domain 43	Wdr43	0.478179
Unknown Function	130	AW558999	Mm.214380	Potassium channel tetramerisation domain containing 15	Kctd15	0.483909
Unknown Function	131	AK008259	Mm.393328	RIKEN cDNA 2010015M23 gene	2010015M23Rik	0.598769
Unknown Function	132	AK006895	Mm.414869	RIKEN cDNA 1700065J18 gene	1700065J18Rik	0.604935
Unknown Function	133	AK017174	Mm.68134	Epithelial stromal interaction 1 (breast)	Epsti1	0.636763
Unknown Function	134	BG081541	Mm.291062	CDNA sequence BC068171	BC068171	0.649218
Unknown Function	135	AK016189	Mm.410805	RIKEN cDNA 4930562D21 gene	4930562D21Rik	0.652225
Unknown Function	136	AK016684	Mm.399508	RIKEN cDNA 4933406D12 gene	4933406D12Rik	0.661275
Unknown Function	137	BC012271	Mm.293321	UBX domain containing 2	Ubxd2	0.699411
Unknown Function	138	AK020492	Mm.265125	WD repeat domain containing 82	Wdr82	0.759859
