Gene Symbol	Affymetrix Probe Set ID	Transcript ID	GeneBank ID	Gene Name
TRAP1	201391_at	g7706484	NM_016292	TNF receptor-associated protein 1
NPM3	205129_at	g6857817	NM_006993	nucleophosmin/nucleoplasmin, 3
DDX28	203785_s_at	g8922975	NM_018380	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
PHB2	201600_at	g6005853	NM_007273	prohibitin 2
RNF24	204668_at	Hs.30524	AL031670	ring finger protein 24
WHSC2	203112_s_at	g5032226	NM_005663	Wolf-Hirschhorn syndrome candidate 2
RUVBL1	201614_s_at	g4506752	NM_003707	RuvB-like 1 (E. coli)
RNPS1	200060_s_at	g12804496	BC001659	RNA binding protein S1, serine-rich domain
TSFM	212656_at	Hs.3273.0	AF110399	Ts translation elongation factor, mitochondrial
TUFM	201113_at	g4507732	NM_003321	Tu translation elongation factor, mitochondrial
AUH	205052_at	g4502326	NM_001698	AU RNA binding protein/enoyl-Coenzyme A hydratase
ATRN	212517_at	Hs.194019	AL132773	attractin
APRT	203219_s_at	g4502170	NM_000485	adenine phosphoribosyltransferase
FYN	212486_s_at	Hs.169370	N20923	FYN oncogene related to SRC, FGR, YES
PMM2	203201_at	g4557838	NM_000303	phosphomannomutase 2
RSL1D1	212018_s_at	Hs.85963	AK025446	ribosomal L1 domain containing 1
RNF11	208924_at	g5931544	AB024703	ring finger protein 11
DAAM1	216060_s_at	Hs.197751	AK021890	dishevelled associated activator of morphogenesis 1
STOML2	215416_s_at	Hs.3439.1	AC_004472	stomatin (EPB72)-like 2
RPL13	212933_x_at	Hs.180842	AA961748	ribosomal protein L13
DST	212254_s_at	Hs.198689	AI798790	dystonin
GCN1L1	212139_at	Hs.75354	D86973	GCN1 general control of amino-acid synthesis 1- like 1 (yeast)
MTHFD2	201761_at	g13699869	NM_006636	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
