miRBase	Chromosomal location	Average level in MCL samples	Average level in normal CD19  cells	Fold change (MCL/N	P
hsa-mir-124-1	8p23.1	1.111	0.162	6.86	0.003
hsa-mir-210	11p15.5	1.358	0.202	6.72	0.05
hsa-mir-361	Xq21.2	1.405	0.259	5.42	0.06
hsa-mir-373	19q13.42	31.953	6.228	5.13	0.05
hsa-mir-374a	Xq13.2	2.967	0.59	5.03	0.08
hsa-mir-375	2q35	1.45	0.309	4.69	0.09
hsa-mir-328	16q22.1	1.66	0.38	4.37	0.02
hsa-mir-372	19q13.42	1.661	0.426	3.9	0.06
hsa-mir-384	Xq21.1	0.734	0.193	3.8	0.1
hsa-mir-345	14q32.2	3.582	0.944	3.79	0.03
hsa-mir-302c	4q25	4.727	1.415	3.34	0.03
hsa-mir-362	Xp11.22	1.371	0.423	3.24	0.07
hsa-mir-326	11q13.4	2.329	0.728	3.2	0.07
hsa-mir-155	21q21.3	1.486	0.515	2.89	0.02
hsa-mir-369	14q32.31	0.229	0.083	2.76	0.06
hsa-mir-433	14q32.31	0.983	0.357	2.75	0.06
hsa-mir-342	14q32.2	1.129	0.411	2.75	0.08
hsa-mir-453	14q32.31	4.088	1.493	2.74	0.07
hsa-mir-367	4q25	0.263	0.098	2.68	0.1
hsa-mir-325	Xq21.1	0.364	0.143	2.55	0.05
hsa-mir-17	13q21.1	1.08	0.715	1.51	0.08
