Spot ID	I.M.A.G.E. Clone ID	UniGene Cluster	Symbol	Name
878406	878406	Hs.247551	MTX1	metaxin 1
756565	756565	Hs.433201	CDK2AP1	CDK2-associated protein 1
788695	788695	Hs.73454	TNNT3	troponin T3, skeletal, fast
841357	841357	Hs.484782	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide
450307	450307	Hs.511762	C12orf8	chromosome 12 open reading frame 8
810496	810496	Hs.58167	ZNF282	zinc finger protein 282
855395	855395	Hs.75760	SCP2	sterol carrier protein 2
788286	788286	Hs.439530	DYRK4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
358643	358643	Hs.23111	FARSLA	phenylalanine-tRNA synthetase-like, alpha subunit
487425	487425	Hs.528302	CETN3	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)
826459	826459	Hs.356739	PPP6C	protein phosphatase 6, catalytic subunit
884673	884673	Hs.227823	LOC283820	hypothetical protein LOC283820
2489458	2489458	Hs.371974	ACVR1B	activin A receptor, type IB
433474	433474	Hs.423854	SURF1	surfeit 1
1470333	1470333	Hs.324125	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
47021	47021	Hs.515694		Transcribed sequence with weak similarity to protein sp:O14640 (H.sapiens) DVL1_HUMAN Segment polarity protein dishevelled homolog DVL-1
824552	824552	Hs.169388	CD99L2	CD99 antigen-like 2
669435	669435	Hs.91161	PFDN4	prefoldin 4
173392	173392	Hs.66581	PDIP	protein disulfide isomerase, pancreatic
	711826	Hs.278526	USP6NL	USP6 N-terminal like
146858	146858	Hs.249441	WEE1	WEE1 homolog (S. pombe)
713839	713839	Hs.3005	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)
796253	796253	Hs.489461	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa
469686	469686	Hs.446472	RIT1	Ras-like without CAAX 1
772912	772912	Hs.239370	GPSM1	G-protein signalling modulator 1 (AGS3-like, C. elegans)
825296	825296	Hs.82399	COG2	component of oligomeric golgi complex 2
257523	257523	Hs.83147	GNL1	guanine nucleotide binding protein-like 1
712401	712401	Hs.426967	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide
486607	486607	Hs.163546	UBE2E1	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)
564846	564846	Hs.1540	THOC1	THO complex 1
509887	509887	Hs.355861	NONO	non-POU domain containing, octamer-binding
838262	838262	Hs.439144	THRAP1	thyroid hormone receptor associated protein 1
628295	628295	Hs.334629	SLN	sarcolipin
685371	685371	Hs.423348	MEN1	multiple endocrine neoplasia I
897641	897641	Hs.440898	FCN1	ficolin (collagen/fibrinogen domain containing) 1
1854596	1854596	Hs.76090	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)
154651	154651	Hs.143288	MGC11271	hypothetical protein MGC11271
825726	825726	Hs.111749	PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)
1893775	1893775	Hs.512679	BGLAP	bone gamma-carboxyglutamate (gla) protein (osteocalcin)
810761	810761	Hs.26126	CLDN10	claudin 10
840325	840325	Hs.325948	VDP	vesicle docking protein p115
814478	814478	Hs.227817	BCL2A1	BCL2-related protein A1
767345	767345	Hs.507365		Similar to cadherin 12, type 2 preproprotein; Brcadherin; cadherin-12; N-cadherin 2; brain-cadherin; neuronal cadherin 2; cadherin, neural type, 2 (LOC391791), mRNA
774751	774751	Hs.1565	NEDD4	neural precursor cell expressed, developmentally down-regulated 4
366481	366481	Hs.432677	KRT6B	keratin 6B
363086	363086	Hs.425633	CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)
759873	759873	Hs.288720	LRRC17	leucine rich repeat containing 17
843398	843398	Hs.73853	BMP2	bone morphogenetic protein 2
823901	823901	Hs.13137	UVRAG	UV radiation resistance associated gene
824426	824426	Hs.278426	PDAP1	PDGFA associated protein 1
236059	236059	Hs.86859	GRB7	growth factor receptor-bound protein 7
430614	430614	Hs.198365	BPGM	2,3-bisphosphoglycerate mutase
731257	731257	Hs.155001	UNC13B	unc-13 homolog B (C. elegans)
300474	300474	Hs.5344	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
322079	322079	Hs.194660	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)
43198	43198	Hs.1614	CHRNA5	cholinergic receptor, nicotinic, alpha polypeptide 5
359976	359976	Hs.512211	IFNAR2	interferon (alpha, beta and omega) receptor 2
770862	770862	Hs.386465	CHERP	calcium homeostasis endoplasmic reticulum protein
