Deregulated Target Genes	GenBank ID	d-value	q-value	Pearson correlation coefficient§	p-value§
MYBL1	NM_001080416	3.126	0.002	-0.53	0.011
TOMM20	NM_014765	2.064	0.016	-0.47	0.026
TRAK1	 NM_001042646	2.96	0.003	-0.654	0.001
SOCS3	 NM_003955	2.048	0.016	-0.538	0.01
JUND	NM_005354	2.186	0.012	-0.604	0.003
ORMDL2	NM_014182	3.193	0.002	-0.455	0.033
CCND2	NM_001759	5.834	0	-0.531	0.011
SEC61G	 NM_014302	1.942	0.021	-0.713	0.0002
SLC7A5	NM_003486	2.799	0.003	-0.533	0.011
ETV1	 NM_004956	3.639	0.001	-0.501	0.018
NBEA	 NM_015678	3.196	0.002	-0.728	0.0001
PELI2	 NM_021255	2.083	0.015	-0.649	0.001
PELI1	 NM_020651	5.744	0	-0.572	0.005
ROBO1	 NM_133631	3.864	0	-0.492	0.02
ORMDL2	NM_014182 	3.193	0.002	-0.452	0.035
ROBO1	 NM_133631	3.864	0	-0.556	0.007
C3orf10	 NM_018462	1.922	0.022	-0.544	0.009
NEB	 NM_004543	4.423	0	-0.535	0.01
GOLM1	 NM_016548	2.03	0.017	-0.434	0.044
IRAK1	 NM_001569	2.453	0.007	-0.431	0.045
TAGLN2	 NM_003564	2.198	0.012	-0.541	0.009
