miRBase	Deregulated Target Genes	GenBank ID	d-value	q-value	Pearson correlation coefficient	p-value
hsa-mir-650	TRAK1	 NM_001042646	3.596	0.002	-0.692	0.003
hsa-mir-651	SESN2	 NM_031459	2.278	0.017	-0.59	0.016
hsa-mir-652	RPL23A	 NM_000984	2.303	0.016	-0.572	0.021
hsa-mir-125a	MKNK2	 NM_199054	1.955	0.031	-0.683	0.004
hsa-mir-125a	ARID3B	 NM_006465	2.556	0.01	-0.586	0.017
hsa-mir-125a	MAP3K11	 NM_002419	2.055	0.025	-0.531	0.034
hsa-mir-375	JUND	 NM_005354	2.121	0.022	-0.553	0.026
hsa-mir-214	EDF1	 NM_003792	2.243	0.018	-0.601	0.014
hsa-mir-95	TMEM208	 NM_014187	3.101	0.005	-0.717	0.002
hsa-mir-199a	HYPK	 NM_016400	2.299	0.016	-0.681	0.004
