Probe Set ID	Gene Title	Symbol	Location	Entrez	Pearson r	P-Value	Spearman r	P-Value	Pearson r	P-Value	Spearman r	P-Value
1552719_at	cancer susceptibility candidate 4	CASC4	15q15.3	113201	0.38781	0.0038	0.46223	0.0004	0.41888	0.0016	0.42925	0.0012
1552773_at	C-type lectin domain family 4, member D	CLEC4D	12p13.31	338339	-0.33819	0.0124	-0.32622	0.0161	-0.30006	0.0275	-0.34017	0.0118
1553508_at	Myelodysplasti c syndrome 2 translocation associated	MDS2	1p36	259283	-0.32868	0.0152	-0.28069	0.0398	-0.3467	0.0102	-0.40197	0.0026
1554765_a_at	chromosome 11 open reading frame 64	C11orf64	11q12.2	283197	-0.38572	0.004	-0.39538	0.0031	-0.33084	0.0145	-0.32763	0.0156
1554874_at	microphthalmia-associated transcription factor	MITF	3p14.2-p14.1	4286	-0.49225	0.0002	-0.56063	0.0001	-0.42711	0.0013	-0.48708	0.0002
1555273_at	GalNAc transferase 10 isoform-like	LOC132604	4q34.1	132604	-0.31942	0.0186	-0.32788	0.0155	-0.48032	0.0002	-0.4584	0.0005
1555688_s_at	Src-like-adaptor 2	SLA2	20q11.23	84174	-0.35053	0.0094	-0.37307	0.0055	-0.32191	0.0176	-0.3635	0.0069
1555897_at	amine oxidase (flavin containing) domain 2	AOF2	1p36.12	23028	0.28079	0.0397	0.3015	0.0267	0.33242	0.0141	0.32237	0.0174
1556253_s_at	CDNA FLJ37989 fis, clone CTONG201167 6	---	---	---	0.31396	0.0208	0.30327	0.0258	0.3342	0.0135	0.31558	0.0201
1556344_at	hypothetical LOC150051	LOC150051	21q22.11	150051	-0.29245	0.0319	-0.3168	0.0196	-0.28597	0.0361	-0.29355	0.0312
1556388_a_at	CDNA FLJ38824 fis, clone LIVER2008945	---	---	---	-0.38239	0.0043	-0.40553	0.0023	-0.3488	0.0097	-0.34616	0.0103
1556992_at	hypothetical LOC550113	LOC550113	4q13.2	550113	-0.29692	0.0292	-0.28714	0.0353	-0.32908	0.0151	-0.36716	0.0063
1557293_at	hypothetical gene supported by AK128346	LOC440993	3q29	440993	0.28837	0.0345	0.32729	0.0157	0.37645	0.005	0.39849	0.0028
1557667_at	CDNA   FLJ36588 fis, clone  TRACH201399 1	---	---	---	0.33038	0.0147	0.37485	0.0052	0.2878	0.0348	0.30833	0.0233
1557861_at	CDNA clone IMAGE:5302109	---	---	---	-0.3756	0.0051	-0.28997	0.0334	-0.29074	0.0329	-0.41474	0.0018
1558007_s_at	Leucine carboxyl methyltransfera se 1	LCMT1	16p12.3-16p12.1	51451	-0.45812	0.0005	-0.45804	0.0005	-0.37448	0.0053	-0.4001	0.0027
1558605_at	CDNA clone IMAGE:4819775	---	---	---	0.27628	0.0431	0.35707	0.008	0.44643	0.0007	0.34818	0.0099
1558714_at	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	ROBO1	3p12	6091	0.41862	0.0016	0.48106	0.0002	0.31392	0.0208	0.27015	0.0482
1558905_at	Homo sapiens, clone   IMAGE:441483 6, mRNA	---	---	---	-0.4072	0.0022	-0.49084	0.0002	-0.36364	0.0069	-0.42918	0.0012
1559195_at	Similar to SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2)	LOC644312	1p12	644312	-0.39931	0.0028	-0.44387	0.0008	-0.37733	0.0049	-0.38085	0.0045
1559491_at	MRNA; cDNA DKFZp761L14 9 (from clone DKFZp761L14 9)	---	---	---	0.29569	0.0299	0.33787	0.0125	0.37313	0.0055	0.38759	0.0038
1561171_a_at	Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// FLJ40198 protein /// hypothetical protein FLJ36131 /// similar to cis-similar to cis-G	LOC283767 /// FLJ36131 /// LOC440243 /// LOC440247 /// LOC440320 /// LOC645202 /// LOC646145	15q11.2 /// 15q13.1	283767 /// 338999 /// 440243 /// 440247 /// 440320 /// 645202 /// 646145	-0.3698	0.0059	-0.35962	0.0076	-0.31524	0.0202	-0.35031	0.0094
1561194_at	Full length insert cDNA YN60E10	---	---	---	-0.31759	0.0193	-0.29863	0.0283	-0.27885	0.0412	-0.30732	0.0238
1561303_at	CDNA clone IMAGE:4828317	---	---	---	-0.3219	0.0176	-0.30221	0.0264	-0.292	0.0322	-0.35468	0.0085
1561427_at	CDNA clone IMAGE:4830402	---	---	---	-0.42782	0.0013	-0.38741	0.0038	-0.32255	0.0174	-0.35504	0.0084
1561467_at	CDNA clone IMAGE:4831108	---	---	---	-0.30767	0.0236	-0.28824	0.0345	-0.34326	0.011	-0.38282	0.0043
1562019_at	5-nucleotidase domain containing 4	NT5DC4	2q13	284958	-0.28066	0.0398	-0.32518	0.0164	-0.39013	0.0035	-0.37833	0.0048
1562162_at	Gamma-  aminobutyric acid (GABA) B receptor, 2	GABBR2	9q22.1-q22.3	9568	-0.31792	0.0191	-0.26937	0.0489	-0.43236	0.0011	-0.42136	0.0015
1562409_s_at	CDNA clone IMAGE:5269062	---	---	---	-0.28963	0.0336	-0.32594	0.0162	-0.31635	0.0198	-0.3178	0.0192
1562462_at	dynein, axonemal, heavy polypeptide 10	DNAH10	12q24.31	196385	-0.37607	0.0051	-0.29466	0.0305	-0.28984	0.0335	-0.29258	0.0318
1562524_at	Homo sapiens, clone  IMAGE:524104 1, mRNA	---	---	---	-0.35957	0.0076	-0.35242	0.009	-0.33233	0.0141	-0.36734	0.0063
1562633_at	rhabdomyosarc oma 2 associated transcript (non-coding RNA)	RMST	12q23.1|12 q21	196475	-0.44641	0.0007	-0.43294	0.0011	-0.40495	0.0024	-0.42209	0.0015
1562827_at	Homo sapiens, clone  IMAGE:516765 2, mRNA	---	---	---	-0.34742	0.0101	-0.28405	0.0374	-0.38255	0.0043	-0.43562	0.001
1563462_at	Hypothetical protein LOC285419	LOC285419	4q28.1	285419	0.38588	0.004	0.40496	0.0024	0.33969	0.012	0.30727	0.0238
1563854_s_at	hypothetical protein LOC283045	LOC283045	10q21.3	283045	-0.31481	0.0204	-0.27986	0.0404	-0.32313	0.0172	-0.31981	0.0184
1564444_at	Solute carrier   family 24 (sodium/potassi um/calcium exchanger), member 3	SLC24A3	20p13	57419	-0.30199	0.0265	-0.36444	0.0067	-0.36213	0.0071	-0.41698	0.0017
1565925_at	solute carrier   family 17 (sodium phosphate), member 4	SLC17A4	6p22-p21.3	10050	-0.39717	0.0029	-0.39306	0.0033	-0.35958	0.0076	-0.39415	0.0032
1568658_at	hypothetical gene supported by AK075484; BC014578	LOC339804	2p15	339804	0.29562	0.03	0.34086	0.0117	0.29501	0.0303	0.31623	0.0198
1569325_at	Actin related   protein 2/3 complex, subunit 5, 16kDa	ARPC5	1q25.3	10092	-0.32574	0.0162	-0.34075	0.0117	-0.32247	0.0174	-0.34105	0.0116
202057_at	karyopherin alpha 1 (importin alpha 5)	KPNA1	3q21	3836	0.31776	0.0192	0.29855	0.0283	0.49654	0.0001	0.46474	0.0004
