Gene Symbol	Gene Description	RefSeq ID	UniGene ID	EntrzGene ID
CANX	Calnexin	NM_001746 NM_001024649	Hs.567968	821
CUL1	Cullin 1	NM_003592	Hs.146806	8454
EDEM1	ER degradation enhancer, mannosidase alpha-like 1	NM_014674	Hs.224616	9695
FBXO2	F-box protein 2	NM_012168	Hs.132753	26232
GANAB	Glucosidase, alpha; neutral AB	NM_198335 NM_198334	Hs.595071	23193
GCS1	Glucosidase I	NM_006302	Hs.516119	7841
LEMD3	LEM domain containing 3	NM_014319	Hs.505905	23592
MAN2A2	Mannosidase, alpha, class 2A, member 2	NM_006122	Hs.116459	4122
RBX1	Ring-box 1	NM_014248	Hs.474949	9978
SAE1	SUMO1 activating enzyme subunit 1	NM_005500	Hs.515500	10055
SEC61A1	Sec61 alpha 1 subunit (S. cerevisiae)	NM_013336	Hs.518236	29927
SKP1A	S-phase kinase-associated protein 1A (p19A)	NM_006930 NM_170679	Hs.171626	6500
SKP1A	S-phase kinase-associated protein 1A (p19A)	BM547085	Hs.643015	6500
UBE2I	Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	NM_194259 NM_003345 NM_194261 NM_194260	Hs.302903	7329
UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1	NM_001025777 NM_020120	Hs.34180	56886
