Accession number	Gene symbol	Chromosomal location	GO biological process description	Probe set ID
J04111	c-JUN	1p32–p31	Regulation of transcription	32583_at
J04111	c-JUN	1p32–p31	Regulation of transcription	1895_at
AF065388	TSPAN-1	1p34.1	Cell proliferation and adhesion	34775_at
M97815	CRABP-II	1q21.3	Regulation of transcription	1057_at
X57985	HIST2H2BE	1q21–q23	Regulation of transcription	33352_at
M82809	ANXA4	2p13		37374_at
U17077	BENE	2q13		33331_at
X05323	MOX2	3q12–q13		37716_at
D16815	NRID2	3p24.1	Regulation of transcription	35705_at
D16815	NRID2	3p24.1	Regulation of transcription	35706_at
AF049884	ARGBP2	4q35.1		39295_s_at
M31661	PRLR	5p14–p13	Embryo implantation	1078_at
X68742	ITGA1	5q11.1	Cell–matrix adhesion	120_at
X70683	SOX4	6p22.3	Regulation of transcription	33131_at
X78947	CTGF	6q23.1	Regulation of cell growth	36638_at
AL033377		6q23.1–q24.3	Neuropeptide signalling	36014_at
M15518	PLAT	8p12	Protein modification	33452_at
D84111	RBPMS	8p12–p11	RNA processing	34162_at
D84111	RBPMS	8p12–p11	RNA processing	34163_g_at
U90878	PDLIM1	10q22–q26.3	Intracellular signalling	36937_a_at
X76488	LIPA	10q23.2–q23.3	Lipid catabolism	38745_at
M64349	CCND1	11q13	Regulation of cell cycle	2017_s_at
W28869	TEGT	12q12–q13	Apoptosis	33989_f_at
U82256	ARG2	14q24.1–q24.3	Urea cycle catabolism	32722_at
D31885	ARL6IP	16p11.2–p12		36572_r_at
Y00503	KRT19	17q21		40899_at
AF002020	NPC1	18q11–q12	Protein transport	37047_at
AF002020	NPC1	18q11–q12	Protein transport	980_at
D00096	TTR	18q12.1	Thyroid transport	32252_at
A1263885	WSX1	19p13.11	Immune response	37844_at
U87947	EMP3	19q13.3	Regulation of cell growth	39182_at
M68840	MAOA	Xp11.4–p11.3	Neurotransmitter catabolism	41772_at
M68840	MAOA	X911.4–p11.3	Neurotransmitter catabolism	41771_g_at
AL049250		16p12.2		40951_at
AF052107	LOC129642	2p25.1		38262_at
