Name	Accession #	FC-2d	FC-14d	Sequence Description
Areg	AK018590	1.93	6.48	length=1206 Mus musculus adult male cecum cDNA, RIKEN full-length enriched library, clone:9130004O17 product:amphiregulin, full insert sequence.
Ctsk	AK003425	1.21	5.73	length=1483 Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110004H19 product:cathepsin K, full insert sequence.
Tnc	NM_011607	5.15	5.23	Mus musculus tenascin C (Tnc), mRNA
1110014L14Rik	AK003709	2.42	4	length=703 Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110014L14 product:unknown EST, full insert sequence.
Eln	NM_007925	3.41	3.59	elastin
Igf1	NM_010512	5.21	3.43	Mus musculus insulin-like growth factor 1 (Igf1), transcript variant 1, mRNA
Lcn2	X14607	3.07	3.12	lipocalin 2
Saa3	NM_011315	2.83	3.07	serum amyloid A 3
Mmp14	NM_008608	1.75	2.9	Mus musculus matrix metalloproteinase 14 (membrane-inserted) (Mmp14), mRNA
Lilrb4	NM_013532	1.41	2.83	Mus musculus leukocyte immunoglobulin-like receptor, subfamily B, member 4 (Lilrb4), mRNA
Fstl1	NM_008047	2.26	2.77	Mus musculus follistatin-like 1 (Fstl1), mRNA
Acp5	AK011915	-1.21	2.71	length=1371 Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610208A12 product:acid phosphatase 5, tartrate resistant, full insert sequence.
Fmod	NM_021355	1.2	2.67	Mus musculus fibromodulin (Fmod), mRNA
Fscn1	NM_007984	1.85	2.56	Mus musculus fascin homolog 1, actin bundling protein (Strongylocentrotus) purpuratus) (Fscn1), mRNA
Csf2rb2	NM_007781	1.27	2.55	Mus musculus colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage) (Csf2rb2), mRNA
Ctsd	NM_009983	-1.19	2.49	Mus musculus cathepsin D (Ctsd), mRNA
Spp1	BC002113	-1.06	2.46	length=1428 Mus musculus secreted phosphoprotein 1, mRNA (cDNA clone MGC:6613 IMAGE:3489075), complete cds.
Fbn1	L29454	2.15	2.43	length=11953 Mouse fibrillin (Fbn-1) mRNA, complete cds.
Serpine2	NM_009255	1.26	2.39	Mus musculus serine (or cysteine) proteinase inhibitor, clade E, member 2 (Serpine2), mRNA
D17H6S56E-5	U69488	-1.06	2.35	Sim:L78788,  Mus musculus solitary LTR, complete sequence; and proviral envelope protein (G7e) mRNA, complete cds.  (e=0.0,score=5765,100% ID over 2908nt [query=2910nt], plus strand, blastn,Mus musculus)
Tgfbi	NM_009369	1.76	2.34	Mus musculus transforming growth factor, beta induced (Tgfbi), mRNA
C1qc	NM_007574	1.43	2.25	Mus musculus complement component 1, q subcomponent, gamma polypeptide (C1qg), mRNA
C1qb	NM_009777	1.44	2.24	Mus musculus complement component 1, q subcomponent, beta polypeptide (C1qb), mRNA
Basp1	AK011545	2.62	2.18	length=1607 Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610024P12 product:BRAIN ACID SOLUBLE PROTEIN 1 (BASP1 PROTEIN) (NEURONAL AXONAL MEMBRANE PROTEIN NAP-22) homolog [Rattus norvegicus], full insert sequence.
Cd68	NM_009853	1.11	2.17	Mus musculus CD68 antigen (Cd68), mRNA
Itgb2	NM_008404	-1.14	2.14	Mus musculus integrin beta 2 (Itgb2), mRNA
Serpine1	NM_008871	4.38	2.06	Mus musculus serine (or cysteine) proteinase inhibitor, clade E, member 1 (Serpine1), mRNA
C1qa	NM_007572	1.37	2.04	complement component 1, q subcomponent, alpha polypeptide
Ccl9	NM_011338	1.21	2.04	Mus musculus chemokine (C-C motif) ligand 9 (Ccl9), mRNA
Fcgr2b	NM_010187	1.07	2	Mus musculus Fc receptor, IgG, low affinity IIb (Fcgr2b), mRNA
Ctps	NM_016748	1.76	1.9	Mus musculus cytidine 5-triphosphate synthase (Ctps), mRNA
Col1a1	U08020	1.87	1.85	length=4589 Mus musculus FVB/N collagen pro-alpha-1 type I chain mRNA, complete cds.
Mpeg1	L20315	-1.3	1.77	length=4231 Mus musculus MPS1 gene and mRNA, 3end.
Lgmn	NM_011175	1.4	1.73	Mus musculus legumain (Lgmn), mRNA
S100a4	AK003065	1.23	1.67	length=501 Mus musculus adult male spleen cDNA, RIKEN full-length enriched library, clone:0910001B22 product:S100 calcium binding protein A4, full insert sequence.
Lgals1	NM_008495	1.99	1.63	lectin, galactose binding, soluble 1
Capg	NM_007599	1.03	1.6	Mus musculus capping protein (actin filament), gelsolin-like (Capg), mRNA
Bcl3	AF067774	3.2	1.58	length=1805 Mus musculus BCL3 (Bcl3) mRNA, complete cds.
Cdkn1a	AK007630	1.36	1.57	length=1909 Mus musculus 10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810028E17 product:cyclin-dependent kinase inhibitor 1A (P21), full insert sequence.
Fcer1g	NM_010185	-1	1.56	Mus musculus Fc receptor, IgE, high affinity I, gamma polypeptide (Fcer1g), mRNA
Alox5ap	BC026209	1.03	1.55	arachidonate 5-lipoxygenase activating protein
Lip1	NM_021460	-1.11	1.51	Mus musculus lysosomal acid lipase 1 (Lip1), mRNA
Gadd45g	AK002237	2.98	1.46	length=1077 Mus musculus adult male kidney cDNA, RIKEN full-length enriched library, clone:0610006E16 product:growth arrest and DNA-damage-inducible 45 gamma, full insert sequence.
Scarb1	NM_016741	1.75	1.43	scavenger receptor class B, member 1
Col1a2	NM_007743	1.62	1.42	Mus musculus procollagen, type I, alpha 2 (Col1a2), mRNA
Cfb	NM_008198	1.56	1.3	Mus musculus histocompatibility 2, complement component factor B (H2-Bf), mRNA
Serpina3g	BC002065	1.61	1.15	length=1827 Mus musculus serine (or cysteine) proteinase inhibitor, clade A, member 3G, mRNA (cDNA clone IMAGE:3484201), partial cds.
