Gene symbol	Gene name	Region of amplification
MEOX1	Mesenchyme homeobox 1	17q21
SPAG9	Sperm-associated antigen 9	17q21
ESTs N26608		17q23
ESTs AI339225		17q23
MS12	Musashi homolog 2	17q24
POPX1	Partner of PIX1	17q24
ESTs AA046023		17q24
ESTs N51514	LOC51136 PTD016 protein	17q24
TBX2	T-box 2	17q24
ESTs AI203113		17q24
AXIN2	Axin 2 (conductin, axil)	17q24
PRKCA	Protein kinase C, alpha	17q25
ESTs R98003		17q25
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	17q25
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	17q25
CEP4	Cdc42 effector protein 4; binder of Rho GTPases	17q25
TTYH2	Tweety homolog 2	17q25
FDXR	Ferredoxin reductase	17q25
ESTs AA452113		17q25
FLJ20753	Hypothetical protein FLJ20753	17q25
RAB40B	RAB40B, member RAS oncogene family	17q25
GRB2	Growth factor receptor-bound protein 2	17q25
ESTs AI192496		17q25
PNUTL1	Peanut-like 1	22q11
ARVCF	Armadillo repeat gene deletes in velocardiofacial syndrome	22q11
ESTs AA443624		22q11
ESTs H87363		22q11
	Sushi domain (SCR repeat) containing	22q11
RBM9	RNA binding motif protein 9	22q12
ESTs AI003064		22q12
PDGFbeta	Platelet-derived growth factor beta polypeptide	22q13
