Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
Hbb-b1	hemoglobin, beta adult major chain	15129	3.2	0.0276
Dus1l	dihydrouridine synthase 1-like (S. cerevisiae)	68730	3.2	0.0005
EG383229	predicted gene, EG383229	383229	2.93	0.0009
Alas2	aminolevulinic acid synthase 2, erythroid	11656	2.5	0.0023
Rsad2	radical S-adenosyl methionine domain containing 2	58185	2.4	0.0007
Fech	ferrochelatase	14151	2.38	0.0013
Snca	synuclein, alpha	20617	2.37	0.0013
2810453I06Rik	RIKEN cDNA 2810453I06 gene	67238	2.32	0.0299
Slc25a37	solute carrier family 25, member 37	67712	2.18	0.0034
Mkrn1	makorin, ring finger protein, 1	54484	2.15	0.0035
Nppa	natriuretic peptide precursor type A	230899	2.1	0.0329
Ptp4a3	protein tyrosine phosphatase 4a3	19245	2.05	0.0274
Bcor	Bcl6 interacting corepressor	71458	2.02	0.0433
Angptl4	angiopoietin-like 4	57875	2.02	0.0075
Hbb-y	hemoglobin Y, beta-like embryonic chain	15135	2	0.033
2700045P11Rik	RIKEN cDNA 2700045P11 gene	72555	1.99	0.002
Mylk2	myosin, light polypeptide kinase 2, skeletal muscle	228785	1.97	0.0246
Fibp	fibroblast growth factor (acidic) intracellular binding protein	58249	1.97	0.0044
Olfr138	olfactory receptor 138	170648	1.96	0.0156
Col14a1	procollagen, type XIV, alpha 1	12818	1.96	0.0372
4931419H13Rik	RIKEN cDNA 4931419H13 gene	70970	1.95	0.0131
Kcna7	potassium voltage-gated channel, shaker-related subfamily, member 7	16495	1.94	0.0158
Tmc6	transmembrane channel-like gene family 6	217353	1.94	0.0446
Fgf13	fibroblast growth factor 13	14168	1.93	0.0198
Slc4a1	solute carrier family 4 (anion exchanger), member 1	20533	1.92	0.0306
Agr2	anterior gradient 2 (Xenopus laevis)	23795	1.91	0.0084
2410076I21Rik	RIKEN cDNA 2410076I21 gene	73673	1.9	0.015
1110013L07Rik	RIKEN cDNA 1110013L07 gene	68521	1.89	0.0323
Nxph4	neurexophilin 4	104080	1.89	0.0055
Bpgm	2,3-bisphosphoglycerate mutase	12183	1.87	0.0141
Hbq1	hemoglobin, theta 1	216635	1.86	0.0028
Mb	myoglobin	17189	1.86	0.0059
1700022I11Rik	RIKEN cDNA 1700022I11 gene	67317	1.86	0.005
Tsc22d3	TSC22 domain family 3	14605	1.86	0.0088
Fgf8	fibroblast growth factor 8	14179	1.84	0.0182
Slc22a8	solute carrier family 22 (organic anion transporter), member 8	19879	1.83	0.0128
Adat1	adenosine deaminase, tRNA-specific 1	30947	1.83	0.0063
Sprn	shadow of prion protein	212518	1.83	0.0293
Orm3	orosomucoid 3	18407	1.83	0.0089
1810058N15Rik	RIKEN cDNA 1810058N15 gene	76513	1.82	0.0196
Mag	myelin-associated glycoprotein	17136	1.81	0.0064
Olfr1255	olfactory receptor 1255	258979	1.81	0.0065
Adora2a	adenosine A2a receptor	11540	1.81	0.0066
Slc22a12	solute carrier family 22 (organic anion/cation transporter), member 12	20521	1.81	0.0066
Eya4	eyes absent 4 homolog (Drosophila)	14051	1.8	0.0132
