Class	Gene symbol	Gene name	Probe sets
Chromatin remodeling	SMARCA2	SWI/SNF related regulator of chromatin	206542_s_at, 206544_x_at
Chromatin remodeling	SMARCD3	SWI/SNF related regulator of chromatin	204099_at
Expression regulation	ITGB4BP	Similar to eIF-6, B4 integrin interacter	210213_s_at
Expression regulation	ERF	Ets2 repressor factor	203643_at
Expression regulation	ACO1	Aconitase 1	207071_s_at
Expression regulation	PRPF38B	PRP38 pre-mRNA processing factor 38	218040_at
Ubiquitin regulation	USP25	Ubiquitin specific peptidase 25	220419_s_at
Ubiquitin regulation	USP12	Ubiquitin specific peptidase 12	213327_s_at
Ubiquitin regulation	SENP6	SUMO1/sentrin specific peptidase 6	212319_at
Cell motility, adhesion	ELMO1	Engulfment and cell motility 1	204513_s_at
Cell motility, adhesion	ENTPD1	Engulfment and cell motility 1	209473_at
Cell motility, adhesion	GNE	Glucosamine (UDP-N-acetyl)-2-epimerase	205042_at
Drug metabolism	NNMT	Nicotinamide N-methyltransferase	202237_at
Drug metabolism	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP)	209994_s_at
Signal transduction	SHC1	Src homology 2 domain containing transforming protein 1	214853_s_at
Signal transduction	TNFRSF1A	Tumor necrosis factor receptor superfamily, member 1A	207643_s_at
Signal transduction	PIP5K1B	Phosphatidylinositol-4-phosphate 5-kinase, type I, beta	205632_at
Cell proliferation	TIMP1	Metallopeptidase inhibitor 1	201666_at
Miscellaneous	FLJ32679	Golgin-like hypothetical protein	22149_x_at
Miscellaneous	CG018	NEDD4 binding protein 2-like 1	213375_s_at
Miscellaneous	TRIM68	Tripartite motif-containing 68	219405_at
Miscellaneous	UTRN	Utrophin	213022_s_at, 213023_at
Miscellaneous	GNGT2	G protein, gamma transducing activity, Polypeptide 2	217629_at
