Biological function	Gene symbol	P value
Protein transport/metabolism	GALNT13	0.0009408
Protein transport/metabolism	EXOC1	0.0007878
Signal transduction	PIP5K1B	0.0004431
Signal transduction	CAB39	0.0005004
Signal transduction	GRBP	0.0008775
Nucleic acid processing and transcription	SNAPC3	0.0003496
Nucleic acid processing and transcription	INTS12	0.0009488
Cell cycle/proliferation	MOBK1B	<1x10E-7
Cell cycle/proliferation	BMI1	0.0002498
Cell cycle/proliferation	GSPT1	0.0005487
Cell cycle/proliferation	DYRK2	0.0007878
Cell cycle/proliferation	RUNX3	0.0001817
Steroid metabolism	OSBPL8	9.5x10E-6
Immunology	COL4A3BP	<1x10E-7
Membrane solute transport	SLCO3A1	0.0005407
Membrane solute transport	ABCA5	0.0005487
Membrane solute transport	SLC27A1	0.0005842
Membrane solute transport	SLC11A2	0.0007395
Other	C1QC	0.0003251
