Gene	GenBank accession no.	Chromosomal location (human)	Regulation by LIF In vitro	Regulation by LIF In vivo†	Gene Description
Glypican I	NM_030828	2q35-q37	Up	NA	Extracellular matrix proteins
Collagen 1 alpha I	XM_213440	17q21.3-q22.1	Up	Up	Extracellular matrix proteins
Biglycan	NM_017087	Xq28	Up	Up/down	Extracellular matrix proteins
PRELP	NM_053385	1q32	Up	Down	Extracellular matrix proteins
Hyaluronan synthase 2	NM_013153	8q24.12	Up	Up/down	Extracellular matrix proteins
Gremlin	NM_019282	15q13-q15	Up	Up/down	Secreted factors
Ubiquitin-like protein/ribosomal protein S30 (FAU)	XM_215164	11q13	Up	Up	Secreted factors
EST similar to IL-18BP3	8080741	11q13	Up	NA	Secreted factors
F-spondin	NM_172067	11p15.2	Down	Down	Secreted factors
Ribosomal protein L27	NM_022514	17q21.1-q21.2	Up	NA	RNA/protein/lipid metabolism
DEAD/H box polypeptide 6	XM_232703	11q23.3	Down	NA	RNA/protein/lipid metabolism
EST similar to DEAD/H box polypeptide 17	8501671	22q13.1	Up	NA	RNA/protein/lipid metabolism
Hormone-sensitive lipase	NM_012859	19q13.2	Up	NA	RNA/protein/lipid metabolism
Similar to human IDI2	XM_225507	10p15.3	Up	Up	RNA/protein/lipid metabolism
Similar to mouse STAT6-Nab2	MMU66575	12q13.3-q14.1	Up	NA	Signaling/transcription
Similar to protein-tyrosine phosphatase-like N precursor	XM_217447	2q35-q36.1	Down	NA	Signaling/transcription
EST similar to mouse EPLIN	3730110 and 2938411	12q13	Up	NA	Signaling/transcription
EST similar to NuMA 1	8080741	11q13	Up	NA	Signaling/transcription
EST similar to AHNAK	4607494	11q12-q13	Down	NA	Signaling/transcription
Integral transmembrane protein 2b	XM_214228	13q14.3	Up	NA	Receptor/transmembrane protein
