Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Gene Title	Other ID	UG Cluster	LocusLink	Chromosome
ADAMTS8	AW207389	0.009557	0.029183244	7.567	7.569	8.425	8.135	0.126	0.248	0.204	0.047	7.567	7.569	8.425	8.135	ADAM metallopeptidase with thrombospondin type 1 motif, 8	MmugDNA.36578.1.S1_at	Hs.271605	11095	11
ANG	NM_001145	0.000774	0.005988151	10.991	9.868	10.196	9.896	0.096	0.161	0.098	0.226	10.991	9.868	10.196	9.896	Angiogenin, ribonuclease, RNase A family, 5	MmugDNA.17941.1.S1_at	Hs.283749	283	14
ANG	NM_002937	0.001892	0.010263654	12.049	10.979	11.125	10.999	0.102	0.240	0.156	0.142	12.049	10.979	11.125	10.999	Angiogenin, ribonuclease, RNase A family, 5	MmugDNA.25143.1.S1_at	Hs.283749	283	14
AOF2	AB011173	0.000555	0.004907941	10.336	10.721	10.602	10.746	0.044	0.018	0.078	0.056	10.336	10.721	10.602	10.746	Amine oxidase (flavin containing) domain 2	MmugDNA.6812.1.S1_at	Hs.591518	23028	1
APPL1	NM_012096	0.004259	0.016979775	10.801	10.523	10.430	10.433	0.015	0.102	0.032	0.068	10.801	10.523	10.430	10.433	Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	MmugDNA.13663.1.S1_at	Hs.476415	26060	3
AR	AF162704	0.000141	0.00222133	10.350	10.303	9.793	9.259	0.201	0.100	0.046	0.101	10.350	10.303	9.793	9.259	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease	MmugDNA.8701.1.S1_at	Hs.496240	367	X
ASPM	AK001380	0.007954	0.025854593	3.283	4.129	3.527	3.420	0.068	0.256	0.109	0.076	3.283	4.129	3.527	3.420	Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	MmugDNA.25197.1.S1_at	Hs.121028	259266	1
AXIN2	AF205888	0.002772	0.013022625	7.317	6.709	7.017	6.777	0.163	0.037	0.079	0.042	7.317	6.709	7.017	6.777	Axin 2 (conductin, axil)	MmugDNA.4909.1.S1_at	Hs.156527	8313	17
AZGP1	D90427	0.004536	0.0176715	6.187	5.892	5.871	5.814	0.089	0.051	0.050	0.045	6.187	5.892	5.871	5.814	Alpha-2-glycoprotein 1, zinc-binding	MmugDNA.14825.1.S1_at	Hs.546239	563	7
B4GALT1	U10473	0.000014	0.000691017	6.129	7.095	8.038	7.827	0.065	0.202	0.198	0.167	6.129	7.095	8.038	7.827	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	MmugDNA.42671.1.S1_at	Hs.651277	2683	9
B4GALT1	AI492393	0.001219	0.007891421	7.531	7.748	8.076	7.909	0.074	0.068	0.071	0.076	7.531	7.748	8.076	7.909	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	MmugDNA.12271.1.S1_at	Hs.651277	2683	9
B4GALT1	M22921	0.000277	0.003248994	6.423	6.891	7.269	7.225	0.075	0.090	0.124	0.116	6.423	6.891	7.269	7.225	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	MmugDNA.11775.1.S1_at	Hs.651277	2683	9
BCAT1	NM_005504	0.006677	0.022922041	6.182	7.273	7.276	6.866	0.128	0.221	0.283	0.118	6.182	7.273	7.276	6.866	Branched chain aminotransferase 1, cytosolic	MmugDNA.10516.1.S1_at	Hs.438993	586	12
BCL6	NM_001706	0.010261	0.030520272	12.482	11.944	12.318	12.296	0.088	0.146	0.063	0.040	12.482	11.944	12.318	12.296	B-cell CLL/lymphoma 6 (zinc finger protein 51)	MmugDNA.12134.1.S1_at	Hs.478588	604	3
BIRC6	AK023788	0.000022	0.000873959	9.268	8.934	8.914	8.957	0.048	0.020	0.037	0.024	9.268	8.934	8.914	8.957	Baculoviral IAP repeat-containing 6 (apollon)	MmugDNA.5778.1.S1_at	Hs.150107	57448	2
BLM	NM_000057	0.000263	0.003147379	9.882	9.406	9.287	9.438	0.059	0.053	0.078	0.079	9.882	9.406	9.287	9.438	Bloom syndrome	MmugDNA.18046.1.S1_at	Hs.169348	641	15
BRCA2	NM_000059	0.009451	0.028965017	4.448	4.899	4.449	4.491	0.124	0.116	0.036	0.040	4.448	4.899	4.449	4.491	Breast cancer 2, early onset	MmugDNA.12810.1.S1_at	Hs.34012	675	13
BTG1	BC009050	0.003805	0.015817604	6.650	5.624	5.934	5.863	0.203	0.108	0.186	0.113	6.650	5.624	5.934	5.863	Hypothetical protein LOC256021	MmugDNA.3937.1.S1_at	Hs.651357	694	12
BUB1	AF043294	0.000459	0.004397109	4.734	6.843	5.177	5.353	0.187	0.417	0.197	0.107	4.734	6.843	5.177	5.353	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	MmugDNA.6277.1.S1_at	Hs.469649	699	2
BUB1B	NM_001211	0.000179	0.00253209	5.850	8.259	6.341	6.490	0.099	0.354	0.361	0.117	5.850	8.259	6.341	6.490	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	MmugDNA.14075.1.S1_at	Hs.631699	701	15
BUB3	AF081496	0.011019	0.032013767	9.403	9.855	9.608	9.438	0.077	0.130	0.069	0.042	9.403	9.855	9.608	9.438	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	MmugDNA.40767.1.S1_at	Hs.418533	9184	10
C2orf29	AK024221	0.004861	0.018523503	9.555	10.983	10.812	11.291	0.132	0.376	0.368	0.162	9.555	10.983	10.812	11.291	Chromosome 2 open reading frame 29	MmugDNA.40457.1.S1_at	Hs.593973	55571	2
C6orf108	NM_006443	0.020607	0.049147823	8.630	9.481	9.254	9.038	0.194	0.183	0.154	0.121	8.630	9.481	9.254	9.038	Chromosome 6 open reading frame 108	MmugDNA.39371.1.S1_at	Hs.109752	10591	6
CADM1	AF132811	0.002938	0.013531626	8.521	9.719	8.939	9.121	0.084	0.164	0.285	0.064	8.521	9.719	8.939	9.121	Cell adhesion molecule 1	MmugDNA.37985.1.S1_s_at	Hs.370510	23705	11
CADM1	AL519710	0.007	0.023680983	10.607	11.656	11.037	11.183	0.064	0.170	0.272	0.078	10.607	11.656	11.037	11.183	Cell adhesion molecule 1	MmugDNA.23824.1.S1_at	Hs.370510	23705	11
CADM1	AF132811	0.003072	0.013917485	5.869	7.112	6.512	6.637	0.080	0.159	0.305	0.054	5.869	7.112	6.512	6.637	Cell adhesion molecule 1	MmugDNA.37985.1.S1_at	Hs.370510	23705	11
CALCRL	AI478743	0.001244	0.007968043	7.797	8.519	7.908	7.709	0.034	0.189	0.119	0.037	7.797	8.519	7.908	7.709	Calcitonin receptor-like	MmugDNA.30710.1.S1_at	Hs.470882	10203	2
CALCRL	U17473	0.007162	0.024062378	6.549	7.201	7.046	6.249	0.173	0.211	0.158	0.138	6.549	7.201	7.046	6.249	Calcitonin receptor-like	MmugDNA.18858.1.S1_at	Hs.470882	10203	2
CAPNS1	NM_001749	0.006532	0.02257928	11.539	12.095	11.837	11.838	0.038	0.074	0.091	0.125	11.539	12.095	11.837	11.838	Calpain, small subunit 1	MmugDNA.13536.1.S1_at	Hs.515371	826	19
CCDC88A	AB033038	0.018614	0.045864019	8.937	8.960	8.584	8.534	0.088	0.135	0.100	0.074	8.937	8.960	8.584	8.534	Coiled-coil domain containing 88A	MmugDNA.15397.1.S1_at	Hs.292925	55704	2
CCND3	AL833425	0.000409	0.004118831	6.944	6.066	6.351	6.228	0.041	0.102	0.170	0.058	6.944	6.066	6.351	6.228	Cyclin D3	MmugDNA.7342.1.S1_at	Hs.534307	896	6
CD164	BF669455	0.007317	0.024373399	10.816	11.200	11.194	11.155	0.110	0.021	0.070	0.060	10.816	11.200	11.194	11.155	CD164 molecule, sialomucin	MmugDNA.19526.1.S1_at	Hs.520313	8763	6
CD164	AF263279	0.00437	0.017243845	9.708	10.231	10.381	10.198	0.127	0.041	0.142	0.087	9.708	10.231	10.381	10.198	CD164 molecule, sialomucin	MmugDNA.19523.1.S1_at	Hs.520313	8763	6
CD164	AF263279	0.002568	0.012421991	9.385	10.017	10.139	9.864	0.138	0.035	0.134	0.112	9.385	10.017	10.139	9.864	CD164 molecule, sialomucin	MmugDNA.19523.1.S1_s_at	Hs.520313	8763	6
CD276	NM_025240	0.007682	0.025220337	7.021	7.654	7.277	7.282	0.141	0.084	0.093	0.081	7.021	7.654	7.277	7.282	CD276 molecule	MmugDNA.8269.1.S1_at	Hs.77873	80381	15
CD40	NM_001250	0.0159	0.041128644	8.173	7.671	8.013	7.947	0.097	0.141	0.048	0.047	8.173	7.671	8.013	7.947	CD40 molecule, TNF receptor superfamily member 5	MmugDNA.5900.1.S1_s_at	Hs.472860	958	20
CD47	Z25521	0.000009	0.000573432	10.966	11.351	11.322	11.208	0.023	0.055	0.023	0.014	10.966	11.351	11.322	11.208	CD47 molecule	MmugDNA.12247.1.S1_at	Hs.446414	961	3
CD86	NM_006889	0.016881	0.042809248	5.646	5.404	5.339	5.202	0.128	0.043	0.057	0.074	5.646	5.404	5.339	5.202	CD86 molecule	MmugDNA.6272.1.S1_at	Hs.171182	942	3
CDC16	AF164598	0.000101	0.001859969	11.836	11.571	11.568	11.624	0.048	0.015	0.023	0.024	11.836	11.571	11.568	11.624	Cell division cycle 16 homolog (S. cerevisiae)	MmugDNA.38812.1.S1_at	Hs.374127	8881	13
CDC25C	AF277724	0.002209	0.0112659	5.814	6.429	5.774	5.761	0.123	0.168	0.046	0.041	5.814	6.429	5.774	5.761	Cell division cycle 25 homolog C (S. pombe)	MmugDNA.8073.1.S1_at	Hs.656	995	5
CDC6	NM_001254	0.000948	0.006748669	5.009	6.924	5.283	5.403	0.097	0.373	0.295	0.189	5.009	6.924	5.283	5.403	Cell division cycle 6 homolog (S. cerevisiae)	MmugDNA.14956.1.S1_at	Hs.405958	990	17
CDCA7	AY029179	0.016309	0.041843091	11.127	11.914	12.151	12.187	0.308	0.214	0.203	0.091	11.127	11.914	12.151	12.187	Cell division cycle associated 7	MmugDNA.17329.1.S1_at	Hs.470654	83879	2
CDK4	NM_000075	0.000094	0.001788333	11.016	11.470	11.275	11.189	0.062	0.042	0.022	0.042	11.016	11.470	11.275	11.189	Cyclin-dependent kinase 4	MmugDNA.15020.1.S1_at	Hs.95577	1019	12
CDK5	NM_004935	0.000005	0.000449238	8.530	9.276	9.087	9.012	0.023	0.085	0.029	0.064	8.530	9.276	9.087	9.012	Cyclin-dependent kinase 5	MmugDNA.16390.1.S1_at	Hs.647078	1020	7
CDK6	AW274756	0.002359	0.011769926	9.361	10.719	10.421	10.603	0.241	0.215	0.244	0.114	9.361	10.719	10.421	10.603	Cyclin-dependent kinase 6	MmugDNA.37021.1.S1_at	Hs.119882	1021	7
CDK6	AW051349	0.003197	0.014223249	9.103	10.371	9.904	10.052	0.119	0.269	0.208	0.117	9.103	10.371	9.904	10.052	Cyclin-dependent kinase 6	MmugDNA.37022.1.S1_at	Hs.119882	1021	7
CDK7	L20320	0.006654	0.022860143	7.306	7.665	7.467	7.423	0.054	0.074	0.064	0.031	7.306	7.665	7.467	7.423	Cyclin-dependent kinase 7	MmugDNA.790.1.S1_at	Hs.184298	1022	5
CDKN1B	BC001971	0.000009	0.000573432	10.627	9.446	9.586	9.603	0.024	0.187	0.054	0.053	10.627	9.446	9.586	9.603	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	MmugDNA.23933.1.S1_at	Hs.238990	1027	12
CDKN1C	N33167	0.000472	0.00447505	12.438	11.364	11.522	11.694	0.158	0.153	0.111	0.098	12.438	11.364	11.522	11.694	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	MmugDNA.41458.1.S1_at	Hs.106070	1028	11
CDKN1C	R78668	0.000021	0.000857941	11.137	9.770	10.008	10.062	0.155	0.145	0.083	0.094	11.137	9.770	10.008	10.062	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	MmugDNA.22652.1.S1_s_at	Hs.106070	1028	11
CDKN2A	U38945	0.001495	0.008855652	8.587	8.603	8.320	8.322	0.048	0.040	0.056	0.055	8.587	8.603	8.320	8.322	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	MmugDNA.16295.1.S1_at	Hs.512599	1029	9
CDKN2B	NM_004936	0.018301	0.045325864	6.434	6.160	6.157	6.241	0.032	0.033	0.098	0.044	6.434	6.160	6.157	6.241	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	MmugDNA.12064.1.S1_at	Hs.72901	1030	9
CDKN2B	AW444761	0.000653	0.005414439	6.991	5.461	5.531	5.959	0.132	0.323	0.171	0.127	6.991	5.461	5.531	5.959	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	MmugDNA.20899.1.S1_at	Hs.72901	1030	9
CHEK1	NM_001274	0.000214	0.002809483	5.397	7.182	6.216	6.486	0.094	0.318	0.155	0.095	5.397	7.182	6.216	6.486	CHK1 checkpoint homolog (S. pombe)	MmugDNA.15754.1.S1_at	Hs.24529	1111	11
CKLF	NM_016326	0.002639	0.012645758	11.103	10.842	10.759	10.739	0.066	0.035	0.066	0.056	11.103	10.842	10.759	10.739	Chemokine-like factor	MmugDNA.9974.1.S1_s_at	Hs.15159	51192	16
CKS1B	NM_001826	0.001995	0.010590121	11.138	10.762	10.951	10.914	0.037	0.074	0.039	0.045	11.138	10.762	10.951	10.914	CDC28 protein kinase regulatory subunit 1B	MmugDNA.15861.1.S1_s_at	Hs.374378	1163	1
CKS2	NM_001827	0.000002	0.000289321	7.999	10.980	10.149	10.121	0.188	0.160	0.317	0.066	7.999	10.980	10.149	10.121	CDC28 protein kinase regulatory subunit 2	MmugDNA.15862.1.S1_at	Hs.83758	1164	9
CLEC11A	D86586	0.001275	0.008085546	9.110	10.517	9.811	9.776	0.162	0.261	0.154	0.106	9.110	10.517	9.811	9.776	C-type lectin domain family 11, member A	MmugDNA.39057.1.S1_at	Hs.512680	6320	19
CLEC11A	BC005810	0.001768	0.009844049	9.181	10.394	9.768	9.790	0.143	0.217	0.133	0.137	9.181	10.394	9.768	9.790	C-type lectin domain family 11, member A	MmugDNA.30249.1.S1_s_at	Hs.512680	6320	19
CLEC11A	D86586	0.00232	0.011630846	9.621	10.794	10.244	10.286	0.147	0.217	0.156	0.108	9.621	10.794	10.244	10.286	C-type lectin domain family 11, member A	MmugDNA.39057.1.S1_s_at	Hs.512680	6320	19
