Over-expression (Z score)	Probe set	Description	Common	GeneBank
6,94	215076_s_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	AU144167
5,35	209687_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12	U19495
5,14	203868_s_at	vascular cell adhesion molecule 1	VCAM1	NM_001078
4,83	201289_at	cysteine-rich, angiogenic inducer, 61	CYR61	NM_001554
4,54	202237_at	nicotinamide N-methyltransferase	NNMT	NM_006169
4,04	208782_at	follistatin-like 1	FSTL1	BC000055
3,75	212667_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	AL575922
3,51	225664_at	collagen, type XII, alpha 1	COL12A1	AA788946
8,666	211719_x_at	fibronectin 1	FN1	BC005858
6,502	208747_s_at	complement component 1, s subcomponent	C1S	M18767
6,424	218541_s_at	chromosome 8 open reading frame 4	C8orf4	NM_020130
6,419	225575_at	leukemia inhibitory factor receptor	LIFR	AI680541
6,361	205890_s_at	ubiquitin D	UBD (FAT10)	NM_006398
6,152	211161_s_at			AF130082
5,982	217757_at	alpha-2-macroglobulin	A2M	NM_000014
5,967	201163_s_at	insulin-like growth factor binding protein 7	IGFBP7	NM_001553
5,891	209183_s_at	chromosome 10 open reading frame 10	C10orf10	AL136653
5,891	212077_at	caldesmon 1	CALD1	AL583520
5,806	218232_at	complement component 1, q subcomponent, alpha polypeptide	C1QA	NM_015991
5,666	209120_at	nuclear receptor subfamily 2, group F, member 2	NR2F2	AL037401
5,627	219134_at	EGF, latrophilin and seven transmembrane domain containing 1	ELTD1	NM_022159
5,471	200795_at	SPARC-like 1 (mast9, hevin)	SPARCL1	NM_004684
5,429	204416_x_at	apolipoprotein C-I	APOC1	NM_001645
5,426	211980_at	collagen, type IV, alpha 1	COL4A1	AI922605
5,384	202403_s_at	collagen, type I, alpha 2	COL1A2	AA788711
5,341	200986_at	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	SERPING1	NM_000062
4,966	202404_s_at			NM_000089
4,925	215388_s_at	H factor (complement)-like 1	HFL1	X56210
4,758	202411_at	interferon, alpha-inducible protein 27	IFI27 (p27)	NM_005532
4,615	211964_at	collagen, type IV, alpha 2	COL4A2	X05610
4,563	204112_s_at	histamine N-methyltransferase	HNMT	NM_006895
4,484	235229_at	olfactory receptor, family 2, subfamily I, member 6	OR2I6	AI694413
4,445	201645_at	tenascin C (hexabrachion)	TNC	NM_002160
4,389	223204_at	hypothetical protein DKFZp434L142	DKFZp434L142	AF260333
4,291	217853_at	tensin-like SH2 domain containing 1	TENS1	NM_022748
4,234	212067_s_at	complement component 1, r subcomponent	C1R	AL573058
4,202	209289_at	nuclear factor I/B	NFIB	AI700518
4,053	202133_at	transcriptional co-activator with PDZ-binding motif (TAZ)	TAZ	BF674349
4,031	203131_at	platelet-derived growth factor receptor, alpha polypeptide	PDGFRA	NM_006206
3,985	201667_at	gap junction protein, alpha 1, 43kDa (connexin 43)	GJA1	NM_000165
3,934	202800_at	solute carrier family 1 (glial high affinity glutamate transporter), member 3	SLC1A3	NM_004172
3,923	201505_at	laminin, beta 1	LAMB1	NM_002291
3,916	212698_s_at	septin 10	SEPT10	BF966021
3,858	201279_s_at	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	BC003064
3,854	221748_s_at	tensin	TNS	AL046979
3,823	228220_at	hypothetical protein BC014311	LOC115548	AI627666
3,765	222453_at	cytochrome b reductase 1	CYBRD1	AL136693
3,739	209210_s_at	pleckstrin homology domain containing, family C (with FERM domain) member 1	PLEKHC1	Z24725
3,695	212724_at	ras homolog gene family, member E	ARHE	BG054844
3,667	207173_x_at	cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11	D21254
3,644	224894_at	Yes-associated protein 1, 65kDa	YAP1	BF247906
3,638	202766_s_at	fibrillin 1 (Marfan syndrome)	FBN1	NM_000138
3,482	226621_at	fibrinogen, gamma polypeptide	FGG	AI133452
3,434	225040_s_at	ribulose-5-phosphate-3-epimerase	RPE	AV699857
3,415	210986_s_at	tropomyosin 1 (alpha)	TPM1	Z24727
3,353	209656_s_at	transmembrane 4 superfamily member 10	TM4SF10	AL136550
3,247	203910_at	PTPL1-associated RhoGAP 1	PARG1	NM_004815
3,204	226022_at	SAM and SH3 domain containing 1	SASH1	AU144882
3,196	226837_at	sprouty-related, EVH1 domain containing 1	SPRED1	BE967019
3,194	203324_s_at	caveolin 2	CAV2	NM_001233
3,131	202878_s_at	complement component 1, q subcomponent, receptor 1	C1QR1	NM_012072
3,042	202011_at	tight junction protein 1 (zona occludens 1)	TJP1	NM_003257
2,854	225202_at	Rho-related BTB domain containing 3	RHOBTB3	BE620739
2,623	240481_at	Transcribed sequences		BE502509
