GenBank Acc. No.	Symbol	Description	Fold Increase	Function
M77196	Ceacam1	CEA-related cell adhesion molecule 1	2	Cell adhesion
U30292	Col13a1	Procollagen, type XIII, - &#2;1	2.1	Cell adhesion
L18880	Vcl	Vinculin	2	Cell adhesion
D13867	Itga3	Integrin- &#2;3	2.2	Cell adhesion
X66084	Cd44	CD44 antigen	2.4	Cell adhesion
X76505	Ddr2	Discoidin domain receptor family, member 2	2	Cell adhesion
D85785	Ptpns1	Protein tyrosine phosphatase	2.4	Integral membrane protein
AI849587	Pr1	Protein distantly related to the &#11;-subunit family	2	Integral membrane protein
X62646	Il6st	Interleukin-6 signal transducer	2.1	Integral membrane protein
AA797989	Ms4a1	Membrane-spanning 4-domains, subfamily A, member 1	2.1	Integral membrane protein
AI850484	Kcna3	Potassium voltage-gated channel	2.2	Integral membrane protein
AA754887	Cd97	CD97 antigen	2	Integral membrane protein
M58004	Ccl6	Chemokine (C-C motif) ligand 6	2.1	Immune response
AA050273	Ccrl1	Chemokine (C-C) receptor-like 1	2.1	Immune response
M31418	Ifi202a	Interferon activated gene 202A	2.1	Immune response
AA672499	Ccl27	Chemokine (C-C motif) ligand 27	2	Immune response
M94584	Chi3l3	Chitinase 3-like 3	2.5	Inflammatory response
AJ009862	Tgfb1	Transforming growth factor- &#7;1	2	Inflammatory response
AB015595	Calcrl	Calcitonin receptor-like	2	G protein-coupled receptor activity
M63659	Gna12	Guanine nucleotide binding protein- &#2;12	2	G protein-coupled receptor protein signaling pathway
L03529	F2r	Coagulation factor II (thrombin) receptor	2	G protein-coupled receptor protein signaling pathway
U25691	Hells	Helicase, lymphoid specific	4.2	Antiapoptosis
U49393	Atp2a3	ATPase, Ca2. transporting, ubiquitous	2.2	Hydrolase
AW122753	Crko	Avian sarcoma virus CT10 (v-crk) oncogene homolog	2.2	Intracellular signaling cascade
X04435	Nr3c1	Nuclear receptor subfamily 3, group C, member 1	3.1	Regulation of transcription
AF084480	Baz1b	Bromodomain adjacent to zinc finger domain, 1B	2	Regulation of transcription
AF000294	Pparbp	Peroxisome proliferator activated receptor binding protein	2.5	Regulation of transcription
X59421	Fli1	Friend leukemia integration 1	2	Transcription factor
AV220470	Tbx2	T-box 2	2.6	Transcription regulation
X81627	Lcn2	Mus musculus 24p3 gene.	2.6	Transport
X62622	Timp2	Tissue inhibitor of metalloproteinase 2	2.9	Metalloendopeptidase inhibitor
U28423	Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	2.4	Negative regulation of protein kinase activity
L25126	Ddx3	DEAD (aspartate-glutamate-alanine-aspartate) box polypeptide 3	2.2	Nucleic acid binding
U43384	Cybb	Cytochrome b-245,  &#7;-polypeptide	2.3	Oxidoreductase
AF061346	Tnfaip1	Edp1 protein (Edp1) gene	2.4	Potassium ion transport
AB028241	Csnk1e	Casein kinase 1, epsilon	2	Protein amino acid phosphorylation
AF022962	Sec8	SEC8	2.7	Protein transport
X57349	Trfr	Transferrin receptor	2.1	Proteolysis and peptidolysis
X13135	Fasn	Fatty acid synthase	2	Fatty acid biosynthesis
AB025217	Chp	Calcium binding protein P22	2.2	Calcium ion binding activity
U62386	Igk-V8	Immunoglobulin heavy and light chain variable region	2	Humoral defense mechanism
AJ249706	Myo10	Myosin X	2	Cytoskeleton organization and biogenesis
J05277	Hk1	Hexokinase 1	2	Glycolysis
