p Value	CloneID	Description	Locus	CytoBand
7.719E-08	128208	Hypothetical protein DKFZp586I1420	DKFZp586I1420	7p15.1
0.000001108	23658	SET domain and mariner transposase fusion gene	SETMAR	3p26.1
0.000001313	271702	Alkylglycerone phosphate synthase	AGPS	2q31
0.000004678	1186121	CDNA FLJ12676 fis, clone NT2RM4002383	NA	NA
0.000005981	259432	FLJ46385 protein	FLJ46385	19q13.42
0.00000633	774198	Cell division cycle 26	KIAA0828	7q32.3
0.000006535	726485	Transcribed locus, moderately similar to XP_498099.1	NA	NA
0.000006885	200307	Hypothetical protein FLJ31153	FLJ31153	16p13.11
0.000009319	1623656	Transcribed locus	NA	NA
0.000009486	198528	Transcribed locus, weakly similar to XP_517454.1	NA	NA
0.00001174	1032836	Zinc finger protein 253	LOC114977	19p13.11
0.0000173	1646105	APG10 autophagy 10-like (S. cerevisiae)	APG10L	5q14.1-q14.2
0.00001748	258404	Solute carrier family 6, member 15	SLC6A15	12q21.3
0.00001751	267778	MYST histone acetyltransferase 1	MYST1	16p11.2
0.00001909	143365	Hypothetical protein DKFZp761E198	DKFZp761E198	11q13.1
0.00002497	195750	CDNA FLJ32429 fis, clone SKMUS2001014	NA	NA
0.0000287	2405186	Cytochrome P450, family 4, subfamily F, polypeptide 11	CYP4F11	19p13.1
0.00002871	810099	KIAA1217	KIAA1217	10p12.31
0.00003255	258776	Hypothetical protein MGC33365	MGC33365	3q24
0.00005522	42420	Membrane-associated ring finger (C3HC4) 6	MARCH-VI	5p15.2
0.00006043	39544	Carbonic anhydrase VB, mitochondrial	CA5B	Xp21.1
0.00006105	262028	Hypothetical LOC344595	NA	3q13.12
0.00006115	145171	Phosphatase and actin regulator 2	PHACTR2	6q24.2
0.000062	487430	Chromosome 6 open reading frame 93	C6orf93	6q24.2
0.00006357	204377	Lysyl oxidase	LOX	5q23.2
0.00006945	199296	TIA1 cytotoxic granule-associated RNA binding protein	TIA1	2p13
0.00007062	2357262	Ankyrin repeat and KH domain containing 1	ANKHD1	5q31.2
0.00007241	122034	Ribosomal protein L24	RPL24	3q12
0.00007309	26579	Radical fringe homolog (Drosophila)	RFNG	17q25
0.00007374	49553	ADP-ribosylation factor 4-like	ARF4L	17q12-q21
0.00007768	1185901	BTB and CNC homology 1, basic leucine zipper transcription factor 2	BACH2	6q15
0.00008055	125699	NA	NA	NA
0.00008441	197975	NA	NA	NA
0.00009241	32604	Chromosome 9 open reading frame 95	C9orf95	9q21.13
0.00009286	729440	Zinc finger protein 91 (HPF7, HTF10)	ZNF91	19p13.1-p12
0.00009883	111549	Splicing factor, arginine/serine-rich 11	SFRS11	1p31
0.00009917	43618	Transcribed locus, moderately similar to NP_775735.1 l(3)mbt-like 4	NA	NA
0.000101	162204	Transcribed locus	NA	NA
0.0001034	796122	Maternal embryonic leucine zipper kinase	MELK	9p13.2
0.000104	38792	Arylsulfatase G	KIAA1001	17q24.2
0.0001058	194401	KIAA0146 protein	KIAA0146	8q11.21
0.0001091	21615	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan	SPOCK	5q31
0.0001111	200529	Aldehyde dehydrogenase 9 family, member A1	ALDH9A1	1q23.1
0.0001231	208194	Nemo like kinase	NLK	17q11.2
0.0001238	739983	Kinesin family member 14	KIF14	1pter-q31.3
0.0001246	129610	Transmembrane 4 L six family member 18	LOC116441	3q25.1
0.0001403	1033710	Phosphatidic acid phosphatase type 2A	PPAP2A	5q11
0.0001404	137016	Transcribed locus	NA	NA
0.0001415	46232	Hypothetical protein MGC39900	MGC39900	Xq22.2
0.00016	121248	KH-type splicing regulatory protein (FUSE binding protein 2)	KHSRP	19p13.3
0.0001658	123843	Zinc finger protein 146	ZNF146	19q13.1
0.0001698	277411	PI-3-kinase-related kinase SMG-1	SMG1	16p12.3
0.0001759	205615	Interleukin 15 receptor, alpha	IL15RA	10p15-p14
0.0001779	150865	Hypothetical gene supported by AK127273	NA	7
0.0001791	1723501	Hypothetical protein FLJ30469	FLJ30469	19q13.31
0.0001798	134537	Syntaxin binding protein 5 (tomosyn)	STXBP5	6q24.3
0.0001812	230344	KIN, antigenic determinant of recA protein homolog (mouse)	KIN	10p15-p14
0.000193	244299	Transcribed locus, moderately similar to XP_496299.1	NA	NA
0.0001956	1645979	Transcribed locus	NA	NA
0.0001968	193533	WD repeat domain 57 (U5 snRNP specific)	HPRP8BP	1p35.2
0.000197	35526	Leucyl/cystinyl aminopeptidase	LNPEP	5q15
0.0001983	141983	Cyclin H	CCNH	5q13.3-q14
0.0002125	154652	Hypothetical protein DKFZp547C195	DKFZp547C195	11q23.3
0.000215	110220	Homo sapiens, clone IMAGE:3621928	NA	NA
0.0002195	789313	Hypothetical gene supported by AK096370	NA	11q24.2
0.0002203	753931	Chemokine (C-X-C motif) receptor 4	CXCR4	2q21
0.0002211	1568373	CDNA FLJ36727 fis, clone UTERU2012286	NA	NA
0.0002214	1642453	CCCTC-binding factor (zinc finger protein)-like	CTCFL	20q13.31
0.000222	26914	Hypothetical protein FLJ13089	FLJ13089	12q24.13
0.0002235	139653	MRNA; cDNA DKFZp434L201 (from clone DKFZp434L201)	NA	NA
0.0002276	129131	Sec1 family domain containing 2	SCFD2	4q12
0.0002493	126739	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	NDUFV2	18p11.31-p11.2
0.0002524	1645287	Signal transducer and activator of transcription 5B	STAT5B	17q11.2
0.000259	741035	Coronin, actin binding protein, 2A	CORO2A	9q22.3
0.0002652	125300	Hypothetical protein MGC4308	MGC4308	3q12.1
0.0002676	37689	Membrane-spanning 4-domains, subfamily A, member 8B	MS4A8B	11q12.2
0.0002684	723874	Membrane component, chromosome 11, surface marker 1	M11S1	11p13
0.0002694	171986	CDNA clone IMAGE:4824710, with apparent retained intron	NA	NA
0.0002836	51847	Hect domain and RLD 2	HERC2	15q13
0.0002837	122160	Cell growth regulator with ring finger domain 1	CGRRF1	14q22.2
0.0002846	1696665	NA	NA	NA
0.0002978	1712248	Similar to KIAA0160 gene product is novel	NA	17q11.2
0.0003008	201393	Chromosome 6 open reading frame 203	C6orf203	6q21
0.000305	194151	Solute carrier family 6, member 16	SLC6A16	19q13.1-q13.4
0.0003107	150793	Hypothetical protein MGC15634	MGC15634	1q42.13
0.0003187	179888	Solute carrier family 8 (sodium-calcium exchanger), member 2	SLC8A2	19q13.3
0.0003188	176543	TAO kinase 2	TAOK2	16p11.2
0.0003192	137790	Rho-related BTB domain containing 1	RHOBTB1	10q21.2
0.0003247	133462	MSTP146 (MST146)	NA	NA
0.0003369	1713432	NA	NA	NA
0.0003411	1506167	CDNA FLJ37855 fis, clone BRSSN2014636	NA	NA
0.0003435	196180	OCIA domain containing 2	OCIAD2	4p12
0.0003511	248283	NA	NA	NA
0.0003526	270537	Zinc finger protein 253	LOC114977	19p13.11
0.000355	279770	Similar to Zinc finger protein 93 (Zinc finger protein HTF34)	LOC163233	19p12
0.0003676	133180	Hypothetical LOC389188	NA	3q29
0.0003681	321808	DNA segment on chromosome X and Y (unique)	DXYS155E	Xp22.32
