Gene Symbol	Affymetrix Probe Set ID	Transcript ID	GeneBank ID	Gene Name
MAPT	203929_s_at	Hs.101174	AI056359	Microtubule-associated protein
MAPT	203930_s_at	g8400712	NM_016835	Microtubule-associated protein
BBS4	212745_s_at	Hs.26471.0	AI813772	Bardet-Biedl syndrome 4
MAPT	203928_x_at	Hs.101174	AI870749	Microtubule-associated protein
THRAP2	212207_at	Hs.4084.0	BG426689	Thyroid hormone receptor associated protein 2
MGC5370	217542_at	Hs.168732	BE930512	Hypothetical protein MGC5370
MAPT	206401_s_at	g338684	J03778	Microtubule-associated protein
	215304_at	Hs.159264	U79293	Human clone 23948 mRNA sequence
ZNF552	219741_x_at	g13443019	NM_024762	Zinc finger protein 552
RAMP1	204916_at	g5032018	NM_005855	Receptor (calcitonin) activity modifying protein 1
BECN1	208945_s_at	Hs.12272	AF139131	Beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)
BTG3	213134_x_at	Hs.77311	AI765445	BTG family, member 3
SCUBE2	219197_s_at	Hs.222399	NM_020974	Signal peptide, CUB domain,EGF-like 2
MELK	204825_at	g7661973	NM_014791	Maternal embryonic leucinezipper kinase
BTG3	205548_s_at	g5802989	NM_006806	BTG family, member 3
AMFR	202204_s_at	g5931954	NM_001144	Autocrine motility factor receptor
CTNND2	209617_s_at	g2661061	AF035302	Catenin (cadherin-associated protein), delta 2 (neural plakophilin-related armrepeat protein)
GAMT	205354_at	g7549759	NM_000156	Guanidinoacetate Nmethyltransferase
CA12	204509_at	g8923149	NM_017689	Carbonic anhydrase XII
FGFR1OP	214124_x_at	Hs.108548	AL043487	FGFR1 oncogene partner
KIAA1467	213234_at	Hs.6189.0	AB040900	KIAA1467 protein
MTRN	219051_x_at	g13128999	NM_024042	Meteorin, glial cell differentiation regulator
FLJ10916	219044_at	g8922765	NM_018271	Hypothetical protein FLJ10916
E2F3	203693_s_at	g12669913	NM_001949	E2F transcription factor 3
ERBB4	214053_at	Hs.390729	AW772192	V-erb-a erythroblastic leukemia viral oncogene homolog 4(avian)
JMJD2B	215616_s_at	Hs.301011	AB020683	Jumonji domain containing 2B
RRM2	209773_s_at	g12804874	BC001886	Ribonucleotide reductase M2 polypeptide
FLJ12650	219438_at	g13375663	NM_024522	Hypothetical protein FLJ12650
GFRA1	205696_s_at	g4885268	U97144	GDNF family receptor 1
IGFBP4	201508_at	g10835020	NM_001552	Insulin-like growth factor binding protein 4
