Accession number	Gene name	Gene function	Ratio value
U06863	Alpha 1 (III) collagen	Extracellular metrix	33.89
X91148	Microsomal triglyceride transfer protein	Microsomal triglyceride transfer	21.89
AF017986	Secreted apoptosis related protein 1 (SARP1)	Repress apoptosis	20.32
Y00755	Extracellular matrix protein BM-40	Extracellular metrix	20.23
Z74616	Alpha2 (I) collagen	Extracellular metrix	12.52
D32039	Proteoglycan PG-M(V3)	Extracellular metrix	11.9
J03607	40-kDa keratin intermediate filament precursor	Extracellular metrix	11.62
AF144103	Novel chemokine family member with altered expression in human head and neck squamous cell carcinoma	Cytokine	9.93
AF141201	Ubiquitin fusion-degradation 1 protein (UFD1)	Protease	8.29
X02761	Fibronectin (FN)	Extracellular metrix	8.01
U06863	Follistatin-related protein precursor	Nucleoprotein	6.92
M14219	Chondroitin/dermatan sulfate proteoglycan (PG40) core protein	Extracellular metrix	6.65
M17783	Glia-derived nexin (GDN)	Protease inhibitor	6.49
U59877	Low-Mr GTP-binding protein (RAB31)	Signal transduction	5.97
AF000989	Thymosin beta 4 Y isoform (TB4Y)	Thymosin isoform	5.71
L20688	GDP-dissociation inhibitor protein (Ly-GDI)	Signal transduction	5.62
X57351	1-8D gene from interferon-inducible gene	Signal transduction	5.51
U18728	Lumican	Extracellular metrix	5.15
L02326	Lambda-like gene	Immunity correlation	4.77
M14144	Vimentin	Extracellular metrix	4.64
J05633	Integrin beta-5 subunit	Cell adhesion molecule	4.42
AF070523	JWA protein	-	4.32
M27749	Immunoglobulin-related 14.1 protein	Immunity correlation	4.28
S83308	Sry-related HMG box gene (SOX5)	Transcription factor	4.16
U05875	Interferon gamma receptor accessory factor-1 (AF-1)	Immunity correlation	3.92
M17733	Thymosin beta-4	Thymosin isoform	3.89
M20259	Thymosin beta-10	Thymosin isoform	3.75
M36501	Alpha-2-macroglobulin	Protease inhibitor	3.72
AF026977	Microsomal glutathione S-transferase 3 (MGST3)	Oxidation-reduction	3.62
M14630	Prothymosin-a	Nucleoprotein	3.45
