Symbol/category	GenBank no.	Name	Chr#	Specific/other categories	Fold change	Function
BCL2L11	AF032457	BCL2-like 11	2	induction of apoptosis	5.5	Apoptosis
FOXO1A	AF032885	forkhead box O1A (rhabdomyosarcoma)	13	anti-apoptosis, cell cycle, cell maintenance, nuc. metabolism, reg. of transcription pol II/DNA	5.7	Apoptosis
CDKN1A	U03106	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	6	induction of apop. by intracell. signaling, cell cycle arrest, cell maintenance, negative reg. of cell prolif., reg. of biological process	5.5	Apoptosis
CCNE2	AF091433	cyclin E2 maintenance, cytokinesis	8	cell prolif., cell cycle check point, cell	10.6	Cell cycle (list below +FOX01A, CDKN1A)
CDKN2C	AF041248	cyclin-dep. kinase inhibitor 2C (p18, inhibitsCDK4)	1	neg. reg. of cell prolif., cell cycle arrest, cell maintenance, reg. of bio. process	8.6	Cell cycle (list below +FOX01A, CDKN1A)
CCNE1	M74093	cyclin E1	19	cell prolif., cell maintenance cytokinesis, G1/S transition of mitotic cycle	6.5	Cell cycle (list below +FOX01A, CDKN1A)
RRM2	X59618	ribonucleotide reductase M2 polypeptide	2	cell prolif., S phase of mitotic cycle, cell maintenance (DNA metabolism/replication chr. cycle)	5.1	Cell cycle (list below +FOX01A, CDKN1A)
MYC	V00568	v-myc myelocytomatosis viral oncogene homolog (avian)	8	cell prolif., cell cycle arrest, nuc. metabolism, reg. of transcription pol II and DNA, cell maintenance, iron ion homeostasis	-7.2	Cell cycle (list below +FOX01A, CDKN1A)
CHRNA7	X70297	cholinergic receptor, nicotinic, a polypeptide 7	15	activation of MAPKKK cascade, cell maintenance, transmission of nerve impulse ion transport	5.1	MAPKKK cascade/activity
FGFR3	M64347	fibroblast growth factor receptor 3 (achondroplasia,  thanatophoric dwarfism)	4	(JAK-STAT)-MAPKKK cascade, cell growth, protein metabolism, development, morphogenesis, oncogenesis	22.6	MAPKKK cascade/activity
MAP3K5	1327_s_at	mitogen-activated protein kinase kinase kinase 5		MAPKKK cascade, induction of apoptosis by extracell. signals, response to stress, activation of JUNK, ATP binding	6.3	MAPKKK cascade/activity
BMP2	M22489	Bone morphogenetic protein 2	20	cell–cell signaling, skeletal development, morphogenesis, growth	16.6	Cell maintenance/growth (list below +FOX01A, CDKN1A, CCNE2, CDKN2C, CCNE1, RRM2, MYC, CHRNA7, FGFR3)
INHBB	M31682	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	2	cell diff., cell–cell signal., immune response, macromol./cytokine biosynth., neg. and pos. reg. of follicle-stim. neg. reg. of hepatocyte growth factor, neg. reg. of hormone secretion, post-embryonic development, development, morphogenesis	24.3	Cell maintenance/growth (list below +FOX01A, CDKN1A, CCNE2, CDKN2C, CCNE1, RRM2, MYC, CHRNA7, FGFR3)
